# Summary of K2 Program GO12081

Title: Jets or Disks? Using K2 to distinguish between the origins of optical variability in quasars.

PI: Wehrle, Ann E. (Space Science Institute)
CoIs: Carini, Michael Thomas; Wiita, Paul J

We propose to measure the  long cadence light curves  of a large sample of 417 quasars in Campaign 12 and  2 quasars in Campaign 13. By doubling the size of our currently approved samples, we will increase the number of AGN in which K2 detects variability enough to form  good statistical samples in each quasar class. The AGN are drawn primarily from the Sloan Digital Sky Survey, the Parkes radio surveys, and the 2nd Fermi LAT AGN catalog. They include 4 gamma-ray blazars. Many quasars have been observed in the PanSTARRS Medium Deep Field 10.  Our ongoing K2 observations have already detected significant optical variability in ~ 88% of gamma-ray blazars, including binary black hole candidate OJ 287, ~ 16% of radio loud quasars (RLQs), and ~ 5% of radio quiet quasars (RQQs). 

Our  first goal is to determine the origin of optical emission in the quasars at the time of K2 observations. Three candidate
origins are: 1) a single dominant synchrotron-emitting region in a jet; 2) multiple synchrotron-emitting regions in a jet; and 3) an accretion disk  with one or more thermal emitting regions. 

Our  second  goal is to see how the optical variability amplitude and power spectral densities of the three main classes of quasars -- blazars, radio loud quasars, and radio quiet quasars -- differ on minute-to-months timescales. We will measure the power spectral densities of the light curves and determine the power spectral density slopes which are related to the underlying variability processes, such as turbulence in the relativistic jets or stochastic fluctuations in thermal emission from segments of the accretion disk.

# Targets requested by this program that have been observed (328)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
245931849, 348.690758, -11.622853, 16.937, GO12081_LC|GO12001_LC
245944933, 353.956841, -11.023769, 19.06, GO12081_LC|GO12013_LC
245947905, 352.796052, -10.922309, 17.661, GO12081_LC|GO12013_LC|GO12001_LC
245953109, 347.877392, -10.757401, 18.926, GO12081_LC|GO12013_LC
245953174, 350.099795, -10.755483, 19.372, GO12081_LC|GO12013_LC
245953906, 348.251546, -10.731702, 18.862, GO12081_LC|GO12013_LC
245955715, 349.894942, -10.676916, 18.149, GO12081_LC|GO12013_LC|GO12001_LC
245958290, 354.784509, -10.604406, 19.636, GO12081_LC|GO12013_LC
245958633, 354.914527, -10.594276, 18.8, GO12081_LC|GO12013_LC
245959677, 347.135448, -10.566001, 18.427, GO12081_LC|GO12013_LC|GO12001_LC
245959743, 349.299231, -10.563891, 17.609, GO12081_LC|GO12013_LC|GO12001_LC
245960332, 354.682045, -10.547884, 19.364, GO12081_LC|GO12013_LC
245962801, 351.048839, -10.478379, 19.162, GO12081_LC|GO12013_LC
245962853, 347.773103, -10.477047, 17.996, GO12081_LC|GO12013_LC|GO12001_LC
245965856, 350.903553, -10.394998, 18.101, GO12081_LC|GO12013_LC|GO12001_LC
245968612, 354.926619, -10.316625, 18.432, GO12081_LC|GO12013_LC|GO12001_LC
245972132, 352.513038, -10.220902, 19.114, GO12081_LC|GO12013_LC
245974133, 347.969404, -10.164725, 19.123, GO12081_LC|GO12013_LC
245974293, 350.756234, -10.160693, 19.311, GO12081_LC|GO12013_LC
245975340, 352.802669, -10.13282, 18.222, GO12081_LC|GO12013_LC|GO12001_LC
245975490, 354.368573, -10.129021, 19.046, GO12081_LC|GO12013_LC
245975493, 355.355833, -10.128899, 17.939, GO12081_LC|GO12013_LC|GO12001_LC
245978001, 355.413622, -10.062282, 18.424, GO12081_LC|GO12013_LC|GO12001_LC
