# Summary of K2 Program GO12116

Title: The K2 Extragalactic Survey (KEGS) for Transients

PI: Rest, Armin (Space Telescope Science Institute)
CoIs: Kasen, Daniel Nathan; Garnavich, Peter M.; Mushotzky, Richard; Shaya, Ed; Olling, Robert P; Tucker, Brad E

Supernovae (SN) and Active Galactic Nuclei (AGN) vary on timescales of hours to months and are still shrouded in mystery. We propose a Large K2 Program to monitor ~2500 bright galaxies in Campaign C12 which should yield 2-5 great light curves (LCs) of supernovae. In Kepler GO programs, we identified 3 SN Ia (Olling et al. 2015), 2 SN IIP (Garnavich et al., in press; Tucker et al., submitted), and 1 SN IIn/Ia-csm (Garnavich et al., in prep.). We also found that ~4% of our galaxies display AGN activity with variability at >0.001% level (Shaya et al 2015). In K2 Campaigns C3, C5, and C6 we identified 3, 3, and 2 SNe, respectively, two of which were spectroscopically classified. Analysis of the K2 data is ongoing.

With our program, we plan to determine the types of companions to progenitors of SNe using features in the early breakout (t < 4 days) LCs; explore the explosion physics of SN, especially SN Ia, using subtle features during their rise (t < 20 days); improve the calibration of SN Ia as standard candles for measuring distances, Ho, and dark energy using K2 LCs of unprecedented detail; and add significant knowledge to the virtually unexplored very low-Eddington regime of AGN.

There is an ongoing controversy over the basic physics of one of the key tools in cosmology, the SN Ia standard candle. Do SNe Ia gradually reach critical mass via accretion from a companion star or does it merge with another WD? If a white dwarf had been accreting mass from a companion star, as the ejecta reaches the companion a shock would form with observable optical emission (Kasen 2010). The emission would be short and strongest from certain viewing angles, requiring rapid cadence for several SNe before definitive conclusions can be reached. For the 3 SN Ia discovered by Kepler monitoring of ~500 galaxies (Olling et al. 2015), no signatures of a companion were found and tight constraints were placed. With a larger sample, we can determine the statistics for the two possible channels that trigger SN Ia. Meanwhile, features due to the different explosion physics (detonation, deflagration, inwards-moving diffusion waves, etc) of Ia and core collapse SNe will also be revealed. K2 will allow for the first time to test models more complicated than simple "expanding fireballs."

Our program will improve the SN Ia calibration for distance measurements. By determining correlations among the key parameters needed for distance fitting (light-curve width, maximum, and the explosion time) on the scale of minutes rather than days, this program will improve the precision of distances and hence the constraints on dark energy.

We will undertake a major, concurrent ground-based effort to observe the entire field every other day using SkyMapper, ATLAS and DECam.  We will also coordinate multi-color photometry and spectra to classify discovered transients using Lick, Gemini, and Keck. In Campaign C5 and C6, we successfully identified 4 SNe with DECam observations, of which we classified 2 with Gemini spectra as SN Ia.  These data, coupled with high precision 30 minute K2 data will have enormous legacy value.

Methods:
We have developed and proven a highly successful detrending method that simultaneously solves for the sawtooth pattern caused by pointing motion and for the coefficients of vectors from principal component analysis of targets on the same channel. This iterative technique permits us to define aperture sizes better suited to this problem and to make excellent corrections for sensitivity variations on all time scales.  To properly correct SN light curves, the technique is applied to the quiet time before the event and then extrapolated through to the end of the campaign. 

References:
Garnavich et al. 2016, ApJ, in press (KEGS paper)
Garnavich et al., ApJ, in prep. (KEGS paper)
Kasen 2010, AJ, 708, 1025
Olling et al. 2015, Nature, 521, 332 (KEGS paper)
Shaya et al. 2015, AJ, 150, 188 (KEGS paper)
Tucker et al., submitted (KEGS paper)

# Targets requested by this program that have been observed (2454)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
206352083, 344.812762, -7.413443, 16.975, GO12116_LC
206373112, 344.648338, -7.065898, 16.641, GO12116_LC
206390523, 344.44471, -6.785527, 17.297, GO12116_LC
206412226, 344.32785, -6.431126, 16.064, GO12116_LC
206414898, 344.165561, -6.386448, 18.063, GO12116_LC
206424952, 344.134704, -6.217851, 17.651, GO12116_LC
206429498, 343.917528, -6.14101, 17.177, GO12116_LC
206436299, 344.028929, -6.029583, 16.679, GO12116_LC
245910434, 352.634725, -12.866188, 17.787, GO12116_LC
245910589, 352.654611, -12.85428, 17.337, GO12116_LC
245911199, 352.594845, -12.810578, 16.762, GO12116_LC
245911432, 352.714354, -12.794773, 17.477, GO12116_LC
245912496, 352.692335, -12.724531, 14.842, GO12001_LC|GO12116_LC
245913264, 352.676262, -12.673723, 17.843, GO12116_LC
245913445, 352.616647, -12.663328, 17.556, GO12116_LC
245913537, 352.569458, -12.656261, 16.776, GO12116_LC
245913779, 352.407281, -12.642305, 16.931, GO12116_LC
245914614, 352.28727, -12.587601, 18.677, GO12116_LC
245914647, 352.645869, -12.585745, 17.689, GO12116_LC
245915091, 352.319175, -12.556616, 15.406, GO12116_LC
245916376, 352.208997, -12.474848, 17.195, GO12116_LC
245916834, 352.230226, -12.446344, 17.462, GO12116_LC
245918068, 352.577728, -12.36871, 17.614, GO12116_LC
245918969, 352.667151, -12.313683, 16.891, GO12116_LC
245920111, 351.957976, -12.244378, 17.24, GO12116_LC
245920190, 352.593192, -12.239239, 16.558, GO12116_LC
245920355, 352.652891, -12.230313, 17.153, GO12116_LC
245920521, 353.01638, -12.220879, 17.84, GO12116_LC
245921224, 352.176591, -12.178504, 17.262, GO12116_LC
245921763, 353.642611, -12.147812, 17.352, GO12116_LC
245922280, 352.127006, -12.116637, 17.761, GO12116_LC
245922384, 352.463797, -12.111301, 17.343, GO12116_LC
245922509, 352.331722, -12.103737, 15.421, GO12116_LC
245922586, 352.240269, -12.099493, 17.35, GO12116_LC
245922625, 353.004656, -12.096911, 17.335, GO12116_LC
245922788, 352.985844, -12.087353, 17.308, GO12116_LC
245922926, 352.299904, -12.078678, 18.33, GO12116_LC
245922941, 352.362891, -12.077826, 17.162, GO12116_LC
245923223, 352.305794, -12.060789, 16.613, GO12116_LC
245923348, 348.922198, -12.052689, 17.93, GO12116_LC
245923360, 348.403419, -12.051709, 17.791, GO12116_LC
245923453, 348.906925, -12.045975, 18.318, GO12116_LC
245923660, 353.287893, -12.031985, 17.382, GO12116_LC
245924193, 348.360345, -12.001597, 17.888, GO12116_LC
245924209, 348.754627, -12.00093, 17.955, GO12116_LC
245924308, 353.615297, -11.995815, 16.163, GO12116_LC
245924431, 352.206412, -11.989742, 17.961, GO12116_LC
245924554, 352.613349, -11.98395, 16.473, GO12116_LC
245924572, 348.15344, -11.982914, 17.499, GO12116_LC
245924683, 352.115422, -11.977982, 16.922, GO12116_LC
245924721, 348.353065, -11.976144, 18.55, GO12116_LC
245925015, 348.722749, -11.961388, 15.831, GO12116_LC
245925185, 348.521932, -11.952538, 17.491, GO12116_LC
245925205, 348.879526, -11.951479, 17.033, GO12116_LC
245925624, 351.751566, -11.931534, 16.908, GO12116_LC
245925724, 349.021338, -11.926143, 18.295, GO12116_LC
245926031, 348.826626, -11.910818, 18.245, GO12116_LC
245926113, 352.591951, -11.907322, 17.266, GO12116_LC
245926226, 353.81012, -11.901243, 18.275, GO12116_LC
245926657, 348.576642, -11.879793, 17.221, GO12116_LC
245927165, 353.212235, -11.856843, 18.243, GO12116_LC
