# Summary of K2 Program GO12901

Title: Faint, Close White Dwarf Binaries in K2 Field 12

PI: Hermes, J J (UNC-Chapel Hill)
CoIs: 



# Targets requested by this program that have been observed (36)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
246002682, 357.121224, -9.416929, 19.706, GO12901_LC|GO12901_SC
246191060, 357.843201, -5.204369, 19.152, GO12901_LC
246203947, 357.611021, -4.942037, 18.595, GO12901_LC
246278422, 356.975924, -3.495472, 18.878, GO12901_LC
246296824, 354.993056, -3.129946, 19.308, GO12901_LC
246312513, 349.272262, -2.811649, 19.871, GO12901_LC
246326500, 358.152396, -2.535189, 19.928, GO12901_LC
246330296, 353.886697, -2.461208, 19.449, GO12027_LC|GO12901_LC
246371026, 350.574642, -1.663329, 19.372, GO12027_LC|GO12901_LC
246378195, 349.792487, -1.521, 19.786, GO12901_LC
246394334, 349.167409, -1.16432, 18.661, GO12027_LC|GO12901_LC|GO12901_SC
246402637, 351.640488, -0.915337, 18.273, GO12901_LC
246436085, 352.269671, 0.139141, 18.451, GO12002_LC|GO12901_LC
246439487, 347.560848, 0.244435, 18.621, GO12002_LC|GO12901_LC
246449947, 349.561462, 0.574999, 18.401, GO12027_LC|GO12002_LC|GO12901_LC
246462856, 352.066827, 1.009961, 18.116, GO12002_LC|GO12901_LC
246462907, 349.326132, 1.011352, 18.482, GO12002_LC|GO12901_LC
246483959, 349.886693, 1.629577, 19.2, GO12027_LC|GO12901_LC
246498596, 350.877867, 2.045669, 19.851, GO12901_LC
251455479, , , , GO12013_LC|GO12002_LC|GO12901_LC
251455480, , , , GO12002_LC|GO12901_LC
251455481, , , , GO12002_LC|GO12901_LC
251455482, , , , GO12002_LC|GO12901_LC
251455483, , , , GO12037_LC|GO12013_LC|GO12002_LC|GO12901_LC
251456064, , , , GO12013_LC|GO12901_LC|GO12903_LC
251456383, , , , GO12027_LC|GO12901_LC
251456944, , , , GO12901_LC
251456945, , , , GO12901_LC
251456946, , , , GO12901_LC
251456947, , , , GO12901_LC
251456948, , , , GO12901_LC
251456949, , , , GO12901_LC
251456950, , , , GO12901_LC
251456951, , , , GO12901_LC
251456952, , , , GO12901_LC
251456953, , , , GO12901_LC
