# Summary of K2 Program GO12902

Title: Reobserving Targets from the 2014 K2 Engineering Test in K2 C12

PI: Vanderburg, Andrew (Harvard-Smithsonian Center for Astrophysics)
CoIs: 



# Targets requested by this program that have been observed (214)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
246018746, 355.746956, -9.004945, 14.647, GO12123_LC|GO12049_LC|GO12902_LC|GO12903_LC|GO12902_SC
246025993, 355.350679, -8.824211, 14.386, GO12018_LC|GO12123_LC|GO12049_LC|GO12902_LC|GO12903_LC
246026580, 355.847111, -8.808287, 14.176, GO12019_LC|GO12006_LC|GO12018_LC|GO12123_LC|GO12902_LC|GO12903_LC
246027029, 355.834052, -8.796403, 11.005, GO12036_LC|GO12006_LC|GO12002_LC|GO12122_LC|GO12071_LC|GO12049_LC|GO12902_LC
246030393, 355.000605, -8.709981, 10.775, GO12098_LC|GO12122_LC|GO12071_LC|GO12049_LC|GO12902_LC|GO12903_LC|GO12904_LC
246030441, 355.469682, -8.709074, 11.691, GO12048_LC|GO12123_LC|GO12049_LC|GO12902_LC|GO12903_LC
246031188, 355.054006, -8.690675, 11.35, GO12098_LC|GO12048_LC|GO12122_LC|GO12071_LC|GO12123_LC|GO12902_LC|GO12903_LC
246033727, 356.667875, -8.630717, 10.277, GO12019_LC|GO12024_LC|GO12048_LC|GO12123_LC|GO12902_LC|GO12903_LC
246034998, 356.464044, -8.601488, 10.743, GO12019_LC|GO12024_LC|GO12122_LC|GO12902_LC
246036360, 354.961524, -8.56818, 9.751, GO12122_LC|GO12071_LC|GO12123_LC|GO12902_LC
246037052, 358.472003, -8.551532, 12.879, GO12019_LC|GO12018_LC|GO12071_LC|GO12123_LC|GO12902_LC
246038863, 358.594031, -8.50913, 11.034, GO12122_LC|GO12071_LC|GO12123_LC|GO12049_LC|GO12902_LC|GO12903_LC
246039145, 355.264658, -8.501609, 11.337, GO12024_LC|GO12122_LC|GO12071_LC|GO12049_LC|GO12902_LC|GO12903_LC
246040585, 354.883895, -8.468561, 14.252, GO12018_LC|GO12123_LC|GO12049_LC|GO12902_LC|GO12903_LC
246041087, 355.626432, -8.45768, 14.311, GO12123_LC|GO12049_LC|GO12902_LC|GO12903_LC
246043057, 356.570084, -8.412244, 11.5, GO12019_LC|GO12024_LC|GO12122_LC|GO12071_LC|GO12049_LC|GO12902_LC|GO12903_LC
246043223, 358.777027, -8.408832, 14.908, GO12018_LC|GO12123_LC|GO12902_LC|GO12903_LC
246043511, 358.744923, -8.401785, 14.545, GO12019_LC|GO12902_LC
246052223, 355.222709, -8.205488, 14.765, GO12123_LC|GO12049_LC|GO12902_LC|GO12903_LC
246053567, 356.118057, -8.172725, 16.545, GO12902_LC
246057376, 356.82645, -8.086691, 10.34, GO12019_LC|GO12052_LC|GO12002_LC|GO12122_LC|GO12097_LC|GO12902_LC|GO12903_LC|GO12097_SC
246057698, 356.79758, -8.079076, 14.941, GO12902_LC
246057992, 358.369379, -8.0721, 10.907, GO12019_LC|GO12002_LC|GO12122_LC|GO12071_LC|GO12123_LC|GO12049_LC|GO12902_LC|GO12903_LC
246058677, 356.134708, -8.055291, 12.059, GO12019_LC|GO12122_LC|GO12902_LC|GO12903_LC
246058759, 356.448558, -8.053713, 13.6, GO12019_LC|GO12122_LC|GO12902_LC
246058916, 356.934306, -8.050068, 14.801, GO12018_LC|GO12123_LC|GO12902_LC|GO12903_LC
246060815, 356.978197, -8.00685, 15.902, GO12902_LC
246064042, 355.900614, -7.93298, 12.546, GO12122_LC|GO12071_LC|GO12902_LC
246064476, 355.895483, -7.923335, 9.922, GO12015_LC|GO12122_LC|GO12071_LC|GO12123_LC|GO12049_LC|GO12902_LC|GO12903_LC|GO12904_LC
246065739, 356.754117, -7.894546, 11.399, GO12019_LC|GO12024_LC|GO12122_LC|GO12071_LC|GO12049_LC|GO12902_LC|GO12903_LC
246069739, 354.698197, -7.80666, 14.828, GO12018_LC|GO12123_LC|GO12902_LC|GO12903_LC
246073455, 356.801556, -7.72095, 11.374, GO12019_LC|GO12065_LC|GO12122_LC|GO12071_LC|GO12049_LC|GO12902_LC|GO12903_LC
246074853, 354.711392, -7.688892, 13.34, GO12037_LC|GO12027_LC|GO12039_LC|GO12007_LC|GO12040_LC|GO12902_LC|GO12903_LC|GO12037_SC|GO12007_SC|GO12040_SC
246078239, 354.767576, -7.613885, 11.751, GO12122_LC|GO12071_LC|GO12123_LC|GO12049_LC|GO12902_LC|GO12903_LC
246078306, 356.195087, -7.612618, 14.211, GO12019_LC|GO12018_LC|GO12123_LC|GO12902_LC
246078820, 357.023219, -7.600642, 9.929, GO12019_LC|GO12024_LC|GO12006_LC|GO12122_LC|GO12071_LC|GO12049_LC|GO12902_LC
246078874, 356.999357, -7.599351, 10.421, GO12019_LC|GO12024_LC|GO12006_LC|GO12122_LC|GO12071_LC|GO12049_LC|GO12902_LC|GO12903_LC
246079618, 356.175858, -7.583035, 12.898, GO12019_LC|GO12122_LC|GO12071_LC|GO12902_LC
246082749, 354.874611, -7.515687, 10.304, GO12024_LC|GO12065_LC|GO12122_LC|GO12071_LC|GO12049_LC|GO12902_LC|GO12903_LC
246084693, 356.48302, -7.47259, 15.818, GO12111_LC|GO12902_LC|GO12903_LC
246084993, 354.335754, -7.465948, 10.711, GO12122_LC|GO12071_LC|GO12049_LC|GO12902_LC|GO12903_LC
246085053, 356.51037, -7.464599, 12.854, GO12019_LC|GO12122_LC|GO12071_LC|GO12902_LC
246085184, 357.855939, -7.461926, 14.671, GO12123_LC|GO12902_LC|GO12903_LC
246085362, 357.540371, -7.457612, 11.804, GO12122_LC|GO12071_LC|GO12123_LC|GO12049_LC|GO12902_LC|GO12903_LC
246095799, 358.170917, -7.232944, 12.463, GO12019_LC|GO12122_LC|GO12071_LC|GO12049_LC|GO12902_LC|GO12903_LC
246108890, 357.67055, -6.944623, 11.796, GO12019_LC|GO12122_LC|GO12071_LC|GO12049_LC|GO12902_LC|GO12903_LC
246109155, 358.009218, -6.938228, 11.003, GO12019_LC|GO12065_LC|GO12122_LC|GO12071_LC|GO12123_LC|GO12902_LC|GO12903_LC
246109508, 357.694146, -6.930473, 14.851, GO12018_LC|GO12123_LC|GO12902_LC
246112922, 353.868412, -6.856238, 14.991, GO12018_LC|GO12123_LC|GO12049_LC|GO12902_LC|GO12903_LC
246117946, 357.152846, -6.749256, 11.687, GO12122_LC|GO12071_LC|GO12049_LC|GO12902_LC|GO12903_LC
246119693, 353.821827, -6.709983, 14.668, GO12018_LC|GO12123_LC|GO12049_LC|GO12902_LC|GO12903_LC
246134269, 353.498322, -6.398233, 13.941, GO12018_LC|GO12123_LC|GO12049_LC|GO12902_LC|GO12903_LC
246135566, 353.667491, -6.370969, 14.483, GO12018_LC|GO12123_LC|GO12049_LC|GO12902_LC|GO12903_LC
246136034, 353.651672, -6.3604, 14.835, GO12123_LC|GO12902_LC
246136225, 353.655918, -6.356709, 13.244, GO12122_LC|GO12902_LC
246136706, 353.757591, -6.345816, 13.494, GO12122_LC|GO12018_LC|GO12123_LC|GO12049_LC|GO12902_LC|GO12903_LC
246140525, 353.223949, -6.262985, 13.374, GO12123_LC|GO12049_LC|GO12902_LC|GO12903_LC
246142272, 353.896238, -6.225065, 14.319, GO12019_LC|GO12018_LC|GO12123_LC|GO12902_LC|GO12903_LC
246142467, 353.341886, -6.221057, 14.592, GO12123_LC|GO12902_LC
246143556, 353.353432, -6.198836, 14.998, GO12902_LC
246143982, 353.338239, -6.190056, 14.835, GO12018_LC|GO12123_LC|GO12049_LC|GO12902_LC|GO12903_LC
246145090, 353.214479, -6.167149, 14.877, GO12123_LC|GO12049_LC|GO12902_LC|GO12903_LC
246145802, 353.551066, -6.152545, 11.353, GO12122_LC|GO12071_LC|GO12049_LC|GO12902_LC|GO12903_LC
246151331, 353.329157, -6.032153, 12.024, GO12122_LC|GO12071_LC|GO12902_LC|GO12903_LC
246160842, 353.604773, -5.833043, 11.778, GO12122_LC|GO12071_LC|GO12049_LC|GO12902_LC|GO12903_LC
246167393, 352.76553, -5.695306, 14.96, GO12018_LC|GO12123_LC|GO12049_LC|GO12902_LC|GO12903_LC
246173071, 357.814042, -5.576238, 14.601, GO12018_LC|GO12123_LC|GO12049_LC|GO12902_LC|GO12903_LC
246182115, 353.115223, -5.393144, 15.089, GO12111_LC|GO12902_LC|GO12903_LC
246183140, 352.818328, -5.371656, 11.27, GO12002_LC|GO12122_LC|GO12071_LC|GO12123_LC|GO12049_LC|GO12902_LC|GO12903_LC
246184671, 357.602191, -5.339245, 11.103, GO12122_LC|GO12071_LC|GO12049_LC|GO12902_LC|GO12903_LC
246190522, 352.520083, -5.216182, 12.896, GO12002_LC|GO12122_LC|GO12071_LC|GO12902_LC|GO12903_LC
246192763, 353.166467, -5.169467, 10.179, GO12024_LC|GO12122_LC|GO12071_LC|GO12049_LC|GO12902_LC|GO12903_LC
246195373, 353.020746, -5.116942, 12.101, GO12122_LC|GO12071_LC|GO12049_LC|GO12902_LC
246196614, 353.034197, -5.090551, 14.253, GO12018_LC|GO12123_LC|GO12049_LC|GO12902_LC|GO12903_LC
246196788, 357.530731, -5.087061, 11.37, GO12122_LC|GO12071_LC|GO12049_LC|GO12902_LC|GO12903_LC
246204836, 352.993268, -4.924227, 17.323, GO12111_LC|GO12902_LC|GO12903_LC
246204962, 358.513873, -4.921266, 14.996, GO12123_LC|GO12049_LC|GO12902_LC|GO12903_LC
246213364, 358.402473, -4.751098, 13.802, GO12123_LC|GO12049_LC|GO12902_LC|GO12903_LC
246218413, 358.337383, -4.648956, 13.772, GO12019_LC|GO12018_LC|GO12123_LC|GO12902_LC|GO12903_LC
246219413, 353.895417, -4.630028, 12.658, GO12122_LC|GO12018_LC|GO12071_LC|GO12123_LC|GO12049_LC|GO12902_LC
246220009, 353.855584, -4.618741, 12.287, GO12122_LC|GO12071_LC|GO12049_LC|GO12902_LC
246221886, 354.114796, -4.58359, 14.731, GO12018_LC|GO12123_LC|GO12902_LC|GO12903_LC
246226194, 357.045344, -4.50145, 11.514, GO12122_LC|GO12071_LC|GO12049_LC|GO12902_LC|GO12903_LC
246227876, 353.798184, -4.468316, 10.615, GO12024_LC|GO12122_LC|GO12071_LC|GO12049_LC|GO12902_LC|GO12903_LC
246228229, 352.041071, -4.46148, 14.499, GO12050_LC|GO12018_LC|GO12123_LC|GO12049_LC|GO12902_LC|GO12903_LC
246229372, 359.393354, -4.440067, 14.074, GO12019_LC|GO12122_LC|GO12123_LC|GO12902_LC
246230372, 359.388488, -4.421156, 13.321, GO12019_LC|GO12018_LC|GO12123_LC|GO12902_LC
246230426, 359.403175, -4.420154, 14.436, GO12019_LC|GO12018_LC|GO12123_LC|GO12902_LC|GO12903_LC
246230928, 351.786709, -4.410234, 13.928, GO12127_LC|GO12044_LC|GO12072_LC|GO12902_LC|GO12903_LC|GO12072_SC
246231100, 357.538615, -4.406448, 10.086, GO12052_LC|GO12024_LC|GO12038_LC|GO12122_LC|GO12902_LC|GO12903_LC
246233135, 358.906979, -4.369421, 12.208, GO12019_LC|GO12122_LC|GO12071_LC|GO12049_LC|GO12902_LC|GO12903_LC
246233179, 353.770051, -4.368661, 11.742, GO12071_LC|GO12123_LC|GO12049_LC|GO12902_LC|GO12903_LC
