# Summary of K2 Program GO13015

Title: A search for exoplanets and close stellar/substellar companions in the local halo population for K2 campaigns 11-12-13

PI: Lepine, Sebastien (Georgia State University)
CoIs: Jao, Wei-Chun

We propose to continue the systematic search for exoplanets orbiting the very old stars of the Galactic halo, a population of stars that was not targeted to any significant degree in the original Kepler mission, but which we have now been systematically targeting starting in K2 campaign 4. Following the recent discovery of exoplanets orbiting Kapteyn's star, a known local halo M subdwarf, and the determination of a very old age (~10Gyr) for the exoplanet bearing star Kepler-10, it is now suspected that stars of the Galactic halo population also harbor exoplanets in significant numbers. However, very little is known about the prevalence and properties of exoplanets orbiting old metal-poor stars because this population has been largely overlooked by most exoplanet surveys. Our astrometric and photometric analysis of the fields to be observed by K2 in campaigns 11, 12, and 13 identifies 2,604 high-velocity subdwarfs that are unambiguous members of the local Galactic halo. We propose to monitor these halo stars with Kepler, in order to identify and characterize the first generations of exoplanets in our Galaxy. Light curves of the targeted halo stars will be searched for eclipses or transits, following the methodologies developed in the first Kepler mission. Candidates will be targeted for ground-based, follow-up observations to confirm the existence of the transit, and determine if it is from a planet of from a stellar companion. The detection of eclipsing stellar companions would also be of high interest for stellar astrophysics, as it would provide natural calibrators of the mass-radius relationship; while this relationship is critical to constrain models of stellar structure, such calibrators currently do not exist for low-mass, metal-poor stars. Relevance: this program will directly expand on the original goal of Kepler to find exoplanets orbiting main sequence stars in the Galactic disk. The data collected on local Galactic halo stars will be complement existing result from the Kepler mission by providing statistics and/or properties of exoplanets orbiting old, metal-poor stars.

# Targets requested by this program that have been observed (591)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
210529411, 67.213217, 15.892791, 17.369, GO13015_LC
210530576, 67.218881, 15.911506, 17.93, GO13014_LC|GO13015_LC
210531202, 67.091124, 15.921305, 18.009, GO13015_LC
210533034, 67.067319, 15.950575, 18.356, GO13015_LC
210533498, 67.207602, 15.958054, 17.258, GO13015_LC
210534106, 67.204314, 15.967493, 17.627, GO13015_LC
210537975, 67.149296, 16.029234, 17.539, GO13015_LC
210538477, 67.307431, 16.036774, 16.222, GO13015_LC
210541498, 67.040053, 16.084741, 15.996, GO13015_LC
210543594, 67.104211, 16.116901, 16.559, GO13015_LC
210557070, 66.970627, 16.32406, 17.551, GO13015_LC
210576231, 66.802234, 16.615341, 16.733, GO13015_LC
210579236, 66.853898, 16.65936, 15.577, GO13018_LC|GO13015_LC
210583167, 67.235546, 16.718012, 16.891, GO13015_LC
210591592, 67.258655, 16.842774, 15.748, GO13015_LC
210602136, 67.37112, 16.9963, 17.61, GO13015_LC
210604596, 67.492384, 17.031017, 18.122, GO13015_LC
210624115, 66.588217, 17.305012, 18.266, GO13015_LC
210625989, 66.522429, 17.331611, 15.0, GO13015_LC
210640165, 67.18142, 17.533762, 16.352, GO13018_LC|GO13015_LC
210643042, 67.325046, 17.573337, 15.192, GO13015_LC
210644574, 66.413808, 17.59445, 14.97, GO13049_LC|GO13018_LC|GO13015_LC|GO13902_LC|GO13904_LC
210645408, 67.477695, 17.605801, 15.446, GO13015_LC
210650451, 66.38906, 17.675697, 18.882, GO13015_LC|GO13902_LC|GO13904_LC
210654971, 66.490787, 17.73781, 15.611, GO13015_LC|GO13902_LC|GO13904_LC
