# Summary of K2 Program GO14001

Title: Gyrochronology and Magnetic Activity in Wide Binaries with K2

PI: Davenport, James Robert Arthur (Western Washington University)
CoIs: Otani, Tomomi; Buzasi, Derek L; Oswalt, Terry D

We propose to observe approximately 660 wide binary star systems with K2 to simultaneously constrain their rotation periods and flare rates. These systems will allow us to improve calibrations of the age-rotation-activity relationship for field stars across a wide range in age. Flare rates and rotation periods will be measured using previously developed toolkits, and this sample will add to the ongoing analysis of Kepler and K2 wide binary systems.

Stars lose angular momentum as they age, causing their rotation periods to decline at a predictable rate. This "gyrochronology" method provides us with a means to determine stellar ages to within ~10% for Sun-like stars (Barnes 2010 ApJ 722 222). Wide binary systems help to extend the usable mass and age range for gyrochronology, and will be able to test new models of weakened magnetic braking in old field stars (e.g. van Saders et al. 2016 Nature, 529, 181).  A subset of the proposed sample contains white dwarf components whose cooling ages provide a benchmark against which their main sequence companions rotation ages may be compared.

Because slower rotation weakens the internal magnetic dynamo, flare rates are predicted to decline over time. As a result, older stars like the Sun exhibit very few "super flares". The detailed evolution of flare rates for main sequence stars of spectral types G, K, and M is poorly constrained, however, due to the small number of flare stars with known ages. Any wide binary component with a measurable flare rate and rotation age is extremely valuable for such calibrations. These systems will also become important benchmarks for other facets of magnetic activity, such as tracking the evolution of activity cycles and starspot filling factors.

# Targets requested by this program that have been observed (249)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200182925, , , , GO14001|GO14003
200182926, , , , GO14001|GO14003|GO14052|GO14063
200182927, , , , GO14001|GO14003|GO14004|GO14063|GO14068
200182929, , , , GO14001|GO14003
200182931, , , , GO14001|GO14050
201468457, 163.567312, 0.049899, 12.232, GO14041_LC|GO14001_LC|GO14009_LC|GO14052_LC|GO14005_LC|GO14021_LC|GO14020_LC
201505158, 163.520243, 0.600549, 15.768, GO14001_LC|GO14052_LC
201521456, 163.713017, 0.852334, 13.806, GO14001_LC|GO14052_LC|GO14021_LC
201532540, 163.057051, 1.024974, 6.458, GO14001_LC|GO14021_LC
201536340, 162.967552, 1.081668, 15.654, GO14074_LC|GO14001_LC|GO14052_LC|GO14005_LC
201557521, 163.531106, 1.40005, 13.474, GO14041_LC|GO14074_LC|GO14001_LC|GO14052_LC|GO14005_LC
201594287, 166.725865, 1.955526, 5.374, GO14003_LC|GO14068_LC|GO14063_LC|GO14001_LC|GO14004_LC
201609758, 164.749359, 2.195072, 8.966, GO14001_LC
201659614, 165.13496, 2.969227, 9.212, GO14001_LC|GO14009_LC|GO14052_LC|GO14004_LC|GO14901_LC
201673181, 167.0818, 3.194732, 8.949, GO14001_LC|GO14052_LC
201674768, 167.111194, 3.222647, 8.126, GO14003_LC|GO14001_LC
201679174, 166.660763, 3.293393, 14.179, GO14001_LC
201703096, 165.190889, 3.692118, 12.008, GO14014_LC|GO14056_LC|GO14001_LC|GO14009_LC|GO14052_LC|GO14005_LC
201730127, 166.769858, 4.152947, 17.235, GO14046_LC|GO14001_LC
201798024, 164.203233, 5.33125, 16.607, GO14001_LC|GO14039_LC
201820874, 164.297434, 5.748552, 12.142, GO14014_LC|GO14056_LC|GO14001_LC|GO14009_LC|GO14052_LC|GO14005_LC|GO14020_LC
201856517, 163.916598, 6.435331, 16.809, GO14001_LC
201862814, 164.523795, 6.565665, 13.129, GO14041_LC|GO14001_LC|GO14052_LC
201930121, 164.698752, 7.978797, 10.691, GO14001_LC|GO14009_LC|GO14028_LC|GO14021_LC
248408524, 160.727288, -0.107137, 10.232, GO14074_LC|GO14001_LC|GO14009_LC|GO14028_LC|GO14021_LC|GO14083_LC
248414522, 159.157047, 0.128063, 15.074, GO14001_LC|GO14052_LC
248416043, 159.500696, 0.193337, 9.616, GO14001_LC|GO14009_LC|GO14028_LC|GO14052_LC|GO14004_LC|GO14021_LC
248425831, 156.332114, 0.573513, 14.804, GO14074_LC|GO14001_LC|GO14052_LC|GO14005_LC
248428765, 159.038192, 0.686063, 8.788, GO14001_LC|GO14009_LC|GO14028_LC|GO14021_LC
248429645, 157.492203, 0.721317, 11.298, GO14041_LC|GO14074_LC|GO14001_LC|GO14009_LC|GO14052_LC|GO14021_LC|GO14020_LC|GO14083_LC
248430029, 156.286573, 0.735644, 16.201, GO14001_LC|GO14039_LC
248430917, 156.540345, 0.769185, 16.739, GO14001_LC
248432108, 161.712572, 0.810123, 10.397, GO14001_LC|GO14009_LC|GO14021_LC
248432764, 159.392379, 0.834999, 16.537, GO14001_LC
248433088, 161.654515, 0.846428, 10.724, GO14001_LC|GO14009_LC|GO14028_LC|GO14021_LC|GO14083_LC
248434301, 160.551702, 0.890865, 10.668, GO14001_LC|GO14009_LC|GO14020_LC|GO14083_LC
248435473, 157.935446, 0.937571, 11.386, GO14041_LC|GO14074_LC|GO14001_LC|GO14009_LC|GO14052_LC|GO14021_LC|GO14020_LC|GO14083_LC
248437142, 156.30561, 1.000776, 9.244, GO14001_LC|GO14009_LC|GO14028_LC|GO14021_LC
248445922, 160.951444, 1.332346, 13.665, GO14041_LC|GO14074_LC|GO14001_LC|GO14052_LC|GO14005_LC|GO14021_LC|GO14083_LC
248446284, 162.340088, 1.345644, 17.097, GO14001_LC|GO14039_LC
248447141, 160.716318, 1.377325, 16.434, GO14001_LC
248447745, 161.828756, 1.399112, 15.328, GO14084_LC|GO14001_LC|GO14052_LC
248447862, 162.203718, 1.403346, 9.287, GO14001_LC|GO14028_LC|GO14021_LC
248457725, 160.255512, 1.748624, 14.196, GO14001_LC|GO14052_LC|GO14021_LC|GO14039_LC
248464757, 157.63101, 1.983355, 11.714, GO14001_LC|GO14021_LC
248465085, 157.269609, 1.99342, 14.854, GO14001_LC
248466261, 160.003155, 2.031039, 17.099, GO14001_LC
248466469, 159.118614, 2.038291, 15.26, GO14001_LC|GO14052_LC|GO14005_LC|GO14083_LC
248467403, 159.463933, 2.071063, 16.762, GO14001_LC
