# Summary of K2 Program GO14008

Title: AGN variability studies with K2 Campaigns 14-16

PI: Edelson, Rick (University of Maryland, College Park)
CoIs: Vanderburg, Andrew; Stern, Daniel K; Vaughan, Simon; Starkey, David A; Horne, Keith; Malkan, Matthew A; Graham, Matthew J; Tsan, Tran Que

Kepler's unprecedented precision, sampling, and duty cycle is revolutionizing Active Galactic Nuclei (AGN) optical variability studies, leading to the first observation of a break in the optical power spectrum of a Type 1 AGN and quantification of microvariability in blazars.  We propose monitoring 540 AGN and robust AGN candidates in Campaigns 14-16 (C14-16).  Our highest priority is the forward-facing C16 that will repeat monitoring of 41 C5 AGN.  These data will be used to test the stationarity of AGN variability.  We also plan to obtain full ~60 day simultaneous multicolor monitoring with other telescopes to measure interband lags and perform accretion disk reverberation mapping.  By the end of this Cycle well over 1000 AGN will have been monitored by K2, providing an invaluable legacy to characterize AGN optical variability.  Among the many uses of these data, we will perform the first large survey of AGN optical power spectra and an unparalleled quantitative search for quasi-periodic oscillation, as has been seen in X-ray binaries.  This could elucidate the link between AGN and these possible low-mass counterparts.

# Targets requested by this program that have been observed (268)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
201436056, 163.528295, -0.419807, 16.347, GO14008_LC|GO14079_LC
201441056, 163.670859, -0.346799, 18.116, GO14008_LC
201447820, 163.142676, -0.250173, 18.38, GO14008_LC
201508155, 162.865753, 0.646709, 18.064, GO14088_LC|GO14008_LC
201562968, 163.894343, 1.480492, 18.454, GO14008_LC
201600342, 166.412494, 2.049313, 15.87, GO14008_LC|GO14040_LC
201600959, 165.43082, 2.058266, 17.74, GO14008_LC
201609973, 165.647662, 2.198389, 17.669, GO14008_LC|GO14079_LC
201613184, 166.140998, 2.247676, 18.431, GO14088_LC|GO14008_LC
201627462, 166.930971, 2.468033, 18.487, GO14016_LC|GO14008_LC
201631822, 165.935563, 2.536085, 18.466, GO14088_LC|GO14008_LC
201633318, 165.338652, 2.559178, 18.397, GO14088_LC|GO14008_LC
201647813, 166.048443, 2.782038, 18.229, GO14088_LC|GO14008_LC
201653712, 165.35946, 2.873885, 18.341, GO14016_LC|GO14088_LC|GO14008_LC
201656462, 165.37924, 2.917769, 17.842, GO14088_LC|GO14008_LC
201660192, 166.75201, 2.979113, 18.262, GO14016_LC|GO14008_LC
201660711, 166.916852, 2.987502, 17.828, GO14008_LC|GO14079_LC
201672091, 165.361109, 3.176966, 18.039, GO14088_LC|GO14008_LC
201674174, 166.48409, 3.211955, 17.076, GO14008_LC
201714436, 166.418599, 3.885862, 16.849, GO14008_LC|GO14079_LC
201728942, 166.260774, 4.132412, 18.011, GO14088_LC|GO14008_LC
201739409, 165.183502, 4.305297, 18.24, GO14088_LC|GO14008_LC
201817537, 164.444461, 5.68939, 17.269, GO14008_LC
248410145, 160.389217, -0.043376, 18.165, GO14008_LC|GO14079_LC
248411891, 160.375536, 0.021891, 18.263, GO14008_LC
248415479, 160.775118, 0.168551, 18.096, GO14088_LC|GO14008_LC
248418716, 161.404463, 0.304042, 18.14, GO14008_LC|GO14079_LC
248418947, 159.574236, 0.312285, 18.34, GO14088_LC|GO14008_LC
248421364, 161.468441, 0.402869, 18.433, GO14088_LC|GO14008_LC
248421508, 163.613002, 0.407418, 18.319, GO14008_LC
248426347, 156.202407, 0.593942, 17.133, GO14008_LC|GO14079_LC
248428917, 159.107095, 0.691486, 18.234, GO14088_LC|GO14008_LC
248432749, 160.946776, 0.834275, 18.217, GO14088_LC|GO14008_LC
248435201, 162.257125, 0.926133, 18.291, GO14088_LC|GO14008_LC
248436036, 159.031651, 0.959167, 17.536, GO14088_LC|GO14008_LC
248437136, 160.627763, 1.000438, 18.424, GO14008_LC
248440454, 157.953718, 1.122951, 16.988, GO14008_LC|GO14079_LC
248443962, 155.863048, 1.258815, 17.969, GO14088_LC|GO14008_LC
248445967, 156.009976, 1.334149, 18.09, GO14008_LC|GO14079_LC
248446289, 159.615972, 1.345802, 18.278, GO14088_LC|GO14008_LC
248446800, 156.487981, 1.364839, 17.699, GO14008_LC|GO14079_LC
248447040, 162.349856, 1.373481, 17.583, GO14088_LC|GO14071_LC|GO14008_LC
248447755, 155.887807, 1.3995, 17.564, GO14008_LC|GO14079_LC
248449009, 156.068843, 1.4434, 16.629, GO14008_LC|GO14079_LC
248449434, 156.65584, 1.457733, 17.126, GO14008_LC|GO14079_LC
248450650, 155.96096, 1.496846, 17.192, GO14008_LC|GO14079_LC
248450799, 157.066586, 1.501841, 18.135, GO14016_LC|GO14088_LC|GO14008_LC
248451618, 156.52923, 1.529319, 17.757, GO14016_LC|GO14088_LC|GO14071_LC|GO14008_LC
248452675, 156.595559, 1.566152, 17.135, GO14008_LC|GO14079_LC
248456289, 161.891403, 1.694543, 16.117, GO14008_LC|GO14079_LC
248456936, 160.786407, 1.719197, 17.049, GO14008_LC|GO14079_LC
248459299, 161.649433, 1.804811, 17.267, GO14008_LC|GO14079_LC
248459647, 159.197905, 1.81621, 18.463, GO14088_LC|GO14008_LC
248461222, 161.648728, 1.867925, 17.197, GO14008_LC|GO14079_LC
248464670, 161.047563, 1.980655, 16.364, GO14088_LC|GO14008_LC
248467031, 156.939166, 2.057796, 18.273, GO14088_LC|GO14008_LC
248467624, 159.357119, 2.078675, 17.29, GO14008_LC|GO14079_LC
248468062, 159.771417, 2.095241, 18.217, GO14088_LC|GO14008_LC
248468523, 160.300222, 2.113097, 17.564, GO14008_LC|GO14079_LC
248474124, 158.217346, 2.302006, 18.166, GO14016_LC|GO14088_LC|GO14008_LC
248475423, 158.883131, 2.341144, 18.49, GO14016_LC|GO14088_LC|GO14008_LC
248478388, 157.086652, 2.436979, 18.445, GO14088_LC|GO14008_LC
248487944, 156.089, 2.752405, 18.1, GO14008_LC
248489675, 161.083808, 2.805496, 16.561, GO14071_LC|GO14008_LC
248500661, 158.084511, 3.163676, 18.122, GO14008_LC
248502034, 160.11589, 3.204531, 18.123, GO14088_LC|GO14008_LC
248503559, 160.473361, 3.250149, 16.614, GO14071_LC|GO14008_LC|GO14079_LC
248505898, 159.065308, 3.321332, 18.282, GO14088_LC|GO14008_LC
248513076, 155.024996, 3.552305, 16.637, GO14008_LC
248514765, 156.637018, 3.600356, 18.155, GO14088_LC|GO14008_LC
248518050, 160.779062, 3.689618, 18.049, GO14008_LC
248519678, 157.028943, 3.733937, 17.016, GO14008_LC|GO14079_LC
248520286, 154.28842, 3.751483, 16.805, GO14008_LC|GO14079_LC
248526099, 160.349792, 3.914102, 18.46, GO14088_LC|GO14008_LC
248530247, 158.336157, 4.027873, 15.429, GO14008_LC|GO14052_LC
248530689, 154.413233, 4.039293, 17.142, GO14008_LC
248530766, 156.346008, 4.041408, 17.988, GO14008_LC|GO14103_LC|GO14079_LC
248530919, 159.451534, 4.045049, 17.861, GO14088_LC|GO14008_LC
248532320, 160.996785, 4.081931, 18.496, GO14008_LC
248535392, 159.832825, 4.162294, 17.279, GO14008_LC|GO14079_LC
248538486, 160.720665, 4.244764, 16.649, GO14071_LC|GO14008_LC|GO14079_LC
248541564, 154.204252, 4.324456, 17.286, GO14088_LC|GO14008_LC|GO14040_LC
248547699, 156.61921, 4.485911, 14.421, GO14008_LC|GO14052_LC
248548353, 156.315362, 4.502392, 18.4, GO14088_LC|GO14008_LC
248549715, 157.797094, 4.536518, 18.402, GO14008_LC
248550991, 154.362699, 4.570823, 18.414, GO14088_LC|GO14008_LC
248558293, 154.013009, 4.766736, 17.559, GO14008_LC|GO14079_LC
248562259, 156.290221, 4.879686, 18.074, GO14088_LC|GO14008_LC
248564637, 154.309543, 4.944901, 16.872, GO14008_LC|GO14079_LC
248566949, 153.649322, 5.004189, 17.569, GO14008_LC
248570077, 155.010502, 5.080323, 18.217, GO14088_LC|GO14008_LC
248574410, 154.316759, 5.195059, 17.95, GO14008_LC|GO14079_LC
248577113, 156.941012, 5.266325, 17.411, GO14088_LC|GO14071_LC|GO14008_LC
248577292, 158.699923, 5.271362, 18.271, GO14008_LC
248577888, 164.225651, 5.287025, 18.31, GO14008_LC|GO14040_LC
248578136, 155.311873, 5.29315, 18.237, GO14008_LC
248579128, 163.596929, 5.319408, 18.393, GO14008_LC
248580600, 155.555467, 5.357711, 18.4, GO14008_LC
248583472, 157.272988, 5.432076, 17.606, GO14071_LC|GO14008_LC|GO14079_LC
248583744, 163.183319, 5.439678, 17.85, GO14088_LC|GO14071_LC|GO14008_LC
248584585, 155.567678, 5.46273, 17.623, GO14008_LC
248586655, 162.889054, 5.521135, 17.965, GO14088_LC|GO14071_LC|GO14008_LC
248595038, 162.371226, 5.748169, 18.493, GO14088_LC|GO14008_LC
248595974, 154.558351, 5.773783, 17.802, GO14088_LC|GO14008_LC
248597344, 162.814166, 5.806899, 16.61, GO14071_LC|GO14008_LC|GO14079_LC
248601564, 155.355641, 5.912967, 18.3, GO14008_LC
248601606, 154.269228, 5.913961, 17.664, GO14088_LC|GO14008_LC
248602742, 163.261252, 5.942428, 16.862, GO14008_LC|GO14079_LC
248604549, 158.602727, 5.988091, 17.273, GO14071_LC|GO14008_LC|GO14079_LC
248606214, 158.775308, 6.028311, 18.188, GO14008_LC
248607609, 163.012364, 6.063753, 15.097, GO14008_LC|GO14052_LC
248611911, 160.321423, 6.171348, 16.888, GO14008_LC|GO14027_LC
248620502, 164.383621, 6.393073, 18.208, GO14008_LC
248621588, 160.031573, 6.419197, 17.968, GO14088_LC|GO14071_LC|GO14008_LC
248622284, 163.930424, 6.436372, 18.037, GO14088_LC|GO14008_LC
248623190, 156.63313, 6.459139, 18.041, GO14088_LC|GO14008_LC|GO14040_LC
248624270, 155.999131, 6.485455, 14.882, GO14008_LC|GO14079_LC
248624431, 162.403744, 6.48946, 16.822, GO14088_LC|GO14008_LC
248625640, 156.976139, 6.518746, 18.076, GO14008_LC
248627144, 158.694961, 6.559265, 18.343, GO14088_LC|GO14008_LC
248628270, 158.262999, 6.588852, 18.009, GO14008_LC
248630630, 155.436117, 6.646246, 18.325, GO14008_LC
248630660, 164.366072, 6.646907, 18.189, GO14008_LC
248630883, 158.895692, 6.652848, 18.326, GO14088_LC|GO14008_LC
248631858, 162.465826, 6.67698, 17.97, GO14008_LC|GO14079_LC
248636321, 154.99738, 6.789214, 17.38, GO14008_LC|GO14079_LC
248636669, 156.782991, 6.797421, 18.111, GO14088_LC|GO14008_LC
248638784, 155.9614, 6.851076, 17.684, GO14088_LC|GO14008_LC
248639472, 158.04232, 6.86818, 16.123, GO14071_LC|GO14008_LC|GO14079_LC
248643658, 154.408063, 6.970886, 15.068, GO14008_LC|GO14079_LC
248646562, 164.015488, 7.043044, 18.31, GO14088_LC|GO14008_LC
248647665, 158.377716, 7.068699, 18.153, GO14008_LC|GO14079_LC
248648381, 162.832358, 7.084945, 18.414, GO14008_LC
248649580, 153.783007, 7.111397, 17.741, GO14008_LC|GO14079_LC
248649696, 161.192374, 7.114304, 18.007, GO14088_LC|GO14008_LC
248649854, 156.831004, 7.118311, 17.262, GO14088_LC|GO14071_LC|GO14008_LC
248650911, 161.132326, 7.14486, 17.455, GO14088_LC|GO14071_LC|GO14008_LC
248652286, 161.665322, 7.178993, 17.829, GO14071_LC|GO14008_LC
248653739, 160.985488, 7.215605, 17.601, GO14088_LC|GO14008_LC|GO14079_LC
248658606, 155.128903, 7.333897, 17.175, GO14088_LC|GO14008_LC
248658622, 158.551413, 7.334339, 18.414, GO14008_LC
248659505, 162.971056, 7.356331, 17.91, GO14088_LC|GO14071_LC|GO14008_LC
248660611, 161.042227, 7.384897, 18.318, GO14088_LC|GO14008_LC
248660769, 155.2179, 7.388464, 17.636, GO14088_LC|GO14008_LC|GO14079_LC
248667381, 156.960652, 7.554417, 17.489, GO14088_LC|GO14071_LC|GO14008_LC
248667886, 158.828078, 7.568421, 16.472, GO14071_LC|GO14008_LC|GO14079_LC
248668621, 156.89423, 7.587193, 18.084, GO14088_LC|GO14008_LC
248668733, 154.480482, 7.589816, 16.928, GO14008_LC|GO14079_LC
248671649, 161.203387, 7.657947, 18.242, GO14088_LC|GO14008_LC
248671983, 160.200566, 7.666169, 18.444, GO14088_LC|GO14008_LC
248672544, 157.017376, 7.680815, 17.661, GO14088_LC|GO14071_LC|GO14008_LC
248675998, 161.387482, 7.766601, 18.102, GO14008_LC
248678190, 157.835452, 7.819457, 18.252, GO14088_LC|GO14008_LC
248678434, 161.028196, 7.825587, 18.447, GO14088_LC|GO14008_LC
248679013, 161.225397, 7.839636, 18.352, GO14088_LC|GO14008_LC
248682847, 160.078185, 7.931566, 17.787, GO14088_LC|GO14071_LC|GO14008_LC
248682891, 154.367239, 7.93254, 18.089, GO14088_LC|GO14008_LC
248683723, 161.152683, 7.952835, 18.148, GO14088_LC|GO14008_LC
248686080, 158.057126, 8.010634, 16.506, GO14008_LC
