# Summary of K2 Program GO14065

Title: Eclipsing Binary Stars as Tracers of Stellar Populations across Galactic Latitudes

PI: Prsa, Andrej (Villanova University)
CoIs: Pepper, Joshua; LaCourse, Daryll M; Abdul-Masih, Michael; Wells, Mark Andrew; Conroy, Kyle; Torres, Guillermo; Southworth, John

The K2 mission observes fields along the ecliptic; these fields range from -70 to 70-deg in galactic latitudes, thus probing inherently different parts of our Galaxy. These parts (the bulge, thick disk, thin disk, halo) feature distinct stellar populations, and understanding the properties of those populations is an ongoing effort. Studying these properties relies on reliable fundamental parameters of stars: their masses, radii, temperatures and luminosities. Eclipsing binary stars lend themselves naturally to this task, since their favorable geometrical orientation and basic laws of gravity enable us to determine fundamental parameters to a ~1% accuracy. We scoured the published catalogs and proprietary KELT and SuperWASP data for all eclipsing binary stars in K2 C14, C15 and C16 fields. We propose to observe these stars and, along with other serendipitous discoveries of binarity in the fields, build a stellar population model based on the fundamental parameters derived from K2 data and follow-up multi-color photometry and spectroscopy. Studying the intrinsic differences in stellar populations across K2 fields will allow us to infer the dependence on galactic latitude and contribute to our understanding of stellar population distribution in our Galaxy.

# Targets requested by this program that have been observed (142)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
201544130, 163.3113, 1.200396, 14.918, GO14058_LC|GO14065_LC
201552850, 163.915575, 1.33068, 15.956, GO14058_LC|GO14065_LC
201591587, 166.667596, 1.914254, 14.849, GO14016_LC|GO14065_LC
201614561, 166.701102, 2.268418, 16.281, GO14065_LC
201708734, 166.834638, 3.786971, 13.583, GO14021_LC|GO14065_LC
201726855, 166.241817, 4.097478, 16.773, GO14065_LC
201744662, 165.278472, 4.392202, 13.796, GO14021_LC|GO14065_LC
201749391, 165.264565, 4.472659, 15.843, GO14058_LC|GO14065_LC|GO14058_SC
201860482, 164.047735, 6.518366, 15.873, GO14058_LC|GO14065_LC
201903805, 164.771287, 7.404309, 15.93, GO14016_LC|GO14065_LC
248408635, 162.098519, -0.102977, 15.437, GO14052_LC|GO14065_LC
248412967, 161.846209, 0.064885, 16.384, GO14065_LC
248421843, 160.592974, 0.420906, 15.807, GO14065_LC
248426490, 161.866212, 0.599385, 16.591, GO14065_LC
248426633, 161.51921, 0.60492, 14.502, GO14058_LC|GO14065_LC|GO14058_SC
248431622, 160.866008, 0.794023, 14.374, GO14065_LC
248432941, 157.231462, 0.841006, 8.771, GO14025_LC|GO14014_LC|GO14068_LC|GO14056_LC|GO14030_LC|GO14063_LC|GO14031_LC|GO14028_LC|GO14065_LC
248433020, 158.631027, 0.843883, 16.391, GO14065_LC
248433964, 160.063982, 0.877888, 14.789, GO14052_LC|GO14065_LC
248436130, 162.28486, 0.96234, 14.752, GO14065_LC
248438270, 158.180521, 1.041991, 15.647, GO14058_LC|GO14065_LC
248439909, 160.881984, 1.102544, 15.671, GO14052_LC|GO14065_LC
248444785, 161.095382, 1.28947, 16.522, GO14058_LC|GO14065_LC
