# Summary of K2 Program GO14084

Title: The K2 Remote Halo Project: Probing the Metallicity Distribution of Red Giants

PI: Peterson, Ruth (SETI Institute)
CoIs: Stello, Dennis; Guhathakurta, Puragra; Sharma, Sanjib

Goals. Galactic halo stellar populations strongly constrain star formation at the earliest epochs, and the assembly and the mass of the halo. The best halo tracers are K giants, for they occur in populations of all metallicities and ages, and remain visible to 100 kpc. The main obstacle is in distinguishing remote halo giants from intervening dwarfs. Spectroscopic confirmation, for example by SEGUE and LAMOST, has tried to improve the ~3% yield of giants in sparse halo fields by targeting warm red giants of low metallicity. Consequently, the underlying halo profile and metallicity distribution cannot be directly extracted from the known giant sample (Xue et al. 2014). Our goal is to provide the true metallicity distribution of distant halo stars by reducing the metallicity bias in their selection.

We propose to distinguish dozens of remote giants solely from Kepler 2 long-cadence light curves. Unlike multi-object spectroscopy, Kepler 2 can observe a thousand halo stars at once. This C14 work adds 14 known giants and 901 faint cool red giant candidates with temperatures < 4600K, and a minimal metallicity bias, to the thousands of such targets we have already obtained in previous K2 halo campaign fields, beginning with C6. The C14 data are required to yield fifty or more giants > 35 kpc, necessary for a meaningful metallicity distribution. We will make public all derived parameters and provide a legacy of Kepler light curves for remote halo giants and thick disk dwarfs.

Our program extends to fainter magnitudes the work of the Galactic Archaeology Program on the inner Galactic halo. Due to noisier light curves, our work sacrifices asteroseismology parameters for a simple derivation of dwarf/giant status and of log g, and relies on SDSS photometry for temperature determinations. Since luminosity is metallicity-dependent in old giants, this assessment of luminosity also yields an estimate of metallicity.

Methods. Our approach in C14, as in previous halo campaigns, selects stars likely to be giants based on their ugr colors compared to those of Castelli & Kurucz (2003) model photospheres, as verified from known giants and dwarfs. We remove stars with photometry more consistent with dwarfs than giants, yielding giant targets with a much lower metallicity bias. To limit this bias and to remove M dwarfs, our targets have 0.90 < (g-r)o < 1.22. 853 have 15.0 < Kp < 18.5, too faint for APOGEE, GAIA, or GALAH. Keck/DEIMOS follow-up spectroscopy, covering 6450 - 9150A at 1.2A resolution (R ~ 6500), is anticipated for dozens of giants, during twilight hours in time granted to us for giants in very remote systems (e.g. Gilbert et al. 2014).

Unlike dwarfs, light curves of luminous giants have a strong p-mode and granulation signal at low frequencies (e.g. Stello et al. 2014). These can be detected to Kp ~ 18.5, for which a giant with Mr = -2 is over 100 kpc distant. We have demonstrated this by measuring p-mode peaks in the power spectra of Kepler light curves of low-metallicity APOKASC giants, breaking them into quarters and adding noise at various levels. Kallinger et al. (2016) derived log g from the time scale of granulation and p-mode oscillations combined, an approach also very well suited to these faint but luminous giants. The interloping stars are mid- to late-K dwarfs well above the Galactic plane, whose light curves can reveal close binaries and rapidly-rotating stars. A comparison of their binary and rotation frequency with that of Kepler thin disk K-dwarfs will constrain thick-disk formation.

Relevance. The original Kepler field is at low Galactic latitude, b = +13.5deg, with significant and variable reddening; halo giants are swamped by dwarfs of the thin disk. In contrast, C14 targets are at b = +53deg, as are our previous K2 targets, with low reddening and a sightline that runs past the Galactic thick disk into its halo. The K2 high-latitude fields C1 and C3 contained very few suitable faint stellar targets.

# Targets requested by this program that have been observed (912)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
201429262, 163.681877, -0.519144, 14.967, GO14084_LC|GO14052_LC
201439028, 162.910237, -0.37558, 17.051, GO14084_LC
201455382, 162.807243, -0.14258, 16.252, GO14084_LC
201460873, 162.941748, -0.062106, 16.896, GO14084_LC
201462124, 162.782416, -0.043832, 15.866, GO14084_LC
201464005, 163.32487, -0.017002, 17.609, GO14084_LC
201464221, 163.702059, -0.014007, 16.645, GO14084_LC
201489850, 163.339564, 0.370527, 16.464, GO14084_LC
201503558, 162.921027, 0.576203, 16.908, GO14084_LC|GO14052_LC
201508974, 163.146275, 0.659326, 16.209, GO14084_LC
201523650, 162.833446, 0.886816, 17.561, GO14084_LC
201523832, 163.718231, 0.890051, 18.391, GO14084_LC
201532469, 163.443984, 1.024036, 14.594, GO14084_LC|GO14052_LC
201546740, 163.49116, 1.237386, 17.051, GO14084_LC
201550922, 163.078487, 1.301635, 16.734, GO14084_LC
201555643, 162.818929, 1.372311, 17.514, GO14084_LC
201557209, 162.991931, 1.395076, 15.939, GO14084_LC
201559009, 163.765796, 1.423082, 17.142, GO14084_LC
201566805, 163.78618, 1.53689, 16.527, GO14084_LC
201568431, 162.91164, 1.561693, 14.063, GO14084_LC|GO14052_LC|GO14021_LC
201569850, 163.1659, 1.583184, 17.085, GO14084_LC
201570751, 162.619149, 1.596556, 14.038, GO14084_LC|GO14052_LC
201575484, 163.253045, 1.667718, 16.978, GO14084_LC
201582834, 163.821577, 1.778109, 18.227, GO14084_LC
201597465, 166.160074, 2.005035, 16.089, GO14084_LC
201602537, 166.466207, 2.082329, 17.239, GO14084_LC
201614640, 165.862885, 2.269792, 15.278, GO14084_LC|GO14052_LC
201617451, 165.556082, 2.313341, 18.101, GO14084_LC
201617575, 165.996347, 2.31515, 18.011, GO14084_LC
201618482, 166.380654, 2.3289, 15.853, GO14084_LC
201618833, 165.405305, 2.334279, 17.228, GO14084_LC
201619719, 165.664354, 2.348407, 16.858, GO14084_LC
201622260, 166.498384, 2.387186, 17.306, GO14084_LC
201622350, 164.950267, 2.388775, 17.445, GO14084_LC
201623272, 166.63088, 2.401582, 14.455, GO14084_LC|GO14052_LC|GO14021_LC
201623998, 166.527573, 2.413457, 16.455, GO14084_LC
201624348, 166.584368, 2.418772, 17.128, GO14084_LC
201624733, 165.261893, 2.42513, 17.015, GO14084_LC
201624809, 165.17797, 2.426171, 17.017, GO14084_LC
201624850, 164.980318, 2.426867, 15.014, GO14084_LC|GO14052_LC
201628969, 165.162534, 2.491338, 17.247, GO14084_LC
201633934, 164.710611, 2.568617, 17.559, GO14084_LC
201638484, 166.852476, 2.639511, 15.893, GO14084_LC|GO14052_LC
201639460, 165.200557, 2.654011, 16.758, GO14084_LC
201647243, 165.158814, 2.773022, 17.328, GO14084_LC
201647487, 166.118966, 2.777126, 15.722, GO14084_LC
201654304, 165.6266, 2.883639, 17.588, GO14084_LC
201654969, 165.121053, 2.894614, 16.765, GO14084_LC|GO14052_LC
201657445, 165.179527, 2.933096, 17.113, GO14084_LC
201675441, 165.803721, 3.233625, 15.501, GO14084_LC|GO14052_LC
201683035, 166.134515, 3.356171, 15.647, GO14084_LC|GO14052_LC
