EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200193072, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193073, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193074, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193075, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193076, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193077, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193078, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193079, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193080, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193081, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193082, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193083, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193084, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193085, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193086, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193087, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193088, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193089, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193090, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193091, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193092, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193093, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193094, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193095, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193096, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193097, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193098, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193099, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193100, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193101, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193102, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193103, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193104, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193105, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193106, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193107, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193108, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193109, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193110, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193111, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193112, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193113, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193114, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193115, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193116, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193117, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193118, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193119, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193120, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193121, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193122, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193123, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193124, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193125, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193126, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193127, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193128, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193129, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193130, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193131, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193132, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193133, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193134, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193135, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193136, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193137, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193138, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193139, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193140, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193141, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193142, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193143, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193144, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193145, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193146, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193147, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193148, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193149, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193150, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193151, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193152, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193153, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193154, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193155, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193156, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193157, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193158, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193159, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193160, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193161, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193162, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193163, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193164, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193165, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193166, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193167, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193168, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193169, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193170, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193171, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193172, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193173, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193174, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193175, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193176, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193177, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193178, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193179, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193180, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193181, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193182, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193183, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193184, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193185, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193186, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193187, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193188, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193189, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193190, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193191, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193192, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193193, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193194, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193195, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193196, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193197, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193198, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193199, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193200, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193201, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193202, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193203, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193204, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193205, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193206, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193207, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193208, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193209, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193210, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193211, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193212, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193213, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193214, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193215, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193216, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193217, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193218, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193219, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193220, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193221, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193222, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193223, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193224, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193225, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193226, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193227, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193228, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193229, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193230, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193231, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193232, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193233, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193234, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193235, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193236, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193237, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193238, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193239, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193240, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193241, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193242, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193243, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193244, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193245, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193246, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193247, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193248, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193249, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193250, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193251, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193252, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193253, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193254, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193255, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193256, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193257, , , , GO15061_LC|Ryugu-LC-SSO_TILE
200193258, , , , GO15061_LC|Ryugu-LC-SSO_TILE
