# Summary of K2 Program GO15079

Title: The K2 ExtraGalactic Survey (KEGS) for Transients

PI: Rest, Armin (Space Telescope Science Institute)
CoIs: Tucker, Brad E; Garnavich, Peter M.; Olling, Robert P; Shaya, Ed; Mushotzky, Richard; Kasen, Daniel Nathan

Supernovae (SN) and Active Galactic Nuclei (AGN) vary on timescales of hours to months and are still shrouded in mystery. We propose a Large K2 Program to monitor on the order of 10,000 bright galaxies in each of Campaign C14, C15, and C16, which should yield in total more than 15 great light curves (LCs) of supernovae. In Kepler GO programs, we have identified to date 3 SN Ia (Olling et al. 2015), 2 SN IIP (Garnavich et al. 2016; Tucker et al., submitted), and 1 SN IIn/Ia-csm (Garnavich et al., in prep.). We also found that ~4% of our galaxies display AGN activity with variability at >0.001% level (Shaya et al 2015). In K2 Campaign C3, C5, C6, C8, and C10 we identified more than 15 SNe, three of which we spectroscopically classified. Analysis of the K2 data is ongoing. 

With our program, we plan to a) determine the types of companions to progenitors of SNe using features in the early breakout (t < 4 days) LCs; b) explore the explosion physics of SN, especially SN Ia, using subtle features during their rise (t < 20 days); c) improve the calibration of SN Ia as standard candles for measuring distances, Ho, and dark energy using K2 LCs of unprecedented detail; and d) add significant knowledge to the virtually unexplored very low-Eddington regime of AGN. 

There is an ongoing controversy over the basic physics of one of the key tools in cosmology, the SN Ia standard candle. Do SNe Ia gradually reach critical mass via accretion from a companion star or does it merge with another WD? If a white dwarf had been accreting mass from a companion star, as the ejecta reaches the companion a shock would form with observable optical emission (Kasen 2010). The emission would be short and strongest from certain viewing angles, requiring rapid cadence for several SNe before definitive conclusions can be reached. For the 3 SN Ia discovered by Kepler monitoring of ~500 galaxies (Olling et al. 2015), no signatures of a companion were found and tight constraints were placed. With a larger sample, we can determine the statistics for the two possible channels that trigger SN Ia. Meanwhile, features due to the different explosion physics (detonation, deflagration, inwards-moving diffusion waves, etc) of Ia and core collapse SNe will also be revealed. K2 will allow for the first time to test models more complicated than simple "expanding fireballs." 

We will undertake a major, concurrent ground-based effort to observe the entire field every other day using SkyMapper, ATLAS and DECam. We will also coordinate multi-color photometry and spectra to classify discovered transients using Lick, Gemini, and Keck. In Campaign C5 and C6, we successfully identified 4 SNe with DECam observations, of which we classified 2 with Gemini spectra as SN Ia. These data, coupled with high precision 30 minute K2 data will have enormous legacy value. 

Methods: 
We have developed and proven a highly successful detrending method that simultaneously solves for the sawtooth pattern caused by pointing motion and for the coefficients of vectors from principal component analysis of targets on the same channel. This iterative technique permits us to define aperture sizes better suited to this problem and to make excellent corrections for sensitivity variations on all time scales. To properly correct SN light curves, the technique is applied to the quiet time before the event and then extrapolated to the end of the campaign. 

References: 
Garnavich et al. 2016, ApJ, 820, 23 (KEGS paper) 
Garnavich et al., ApJ, in prep. (KEGS paper) 
Kasen 2010, AJ, 708, 1025 
Olling et al. 2015, Nature, 521, 332 (KEGS paper) 
Shaya et al. 2015, AJ, 150, 188 (KEGS paper) 
Tucker et al., submitted (KEGS paper)

# Targets requested by this program that have been observed (3466)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
203425665, 237.941462, -26.180647, 16.594, GO15079_LC
203442414, 237.929331, -26.124605, 17.811, GO15079_LC
203448829, 238.033911, -26.103041, 18.033, GO15079_LC
203581248, 237.99823, -25.653122, 17.006, GO15079_LC
203612932, 237.956302, -25.54397, 18.454, GO15079_LC
203630113, 237.862407, -25.484219, 17.762, GO15079_LC
203638880, 238.06323, -25.453514, 17.053, GO15079_LC
203669741, 237.632788, -25.346094, 16.508, GO15079_LC
203729194, 237.874277, -25.139835, 17.263, GO15079_LC
203745042, 237.575884, -25.084497, 18.597, GO15079_LC
203771143, 237.735711, -24.990191, 17.667, GO15079_LC
203839763, 237.589867, -24.736481, 17.069, GO15079_LC
203851181, 237.772414, -24.692081, 16.809, GO15079_LC
203863496, 237.707111, -24.642553, 16.223, GO15079_LC
203865274, 237.946574, -24.635195, 17.45, GO15079_LC
203866046, 237.854532, -24.63213, 16.121, GO15079_LC
203866473, 237.830063, -24.630388, 16.493, GO15079_LC
203867058, 237.94123, -24.628069, 16.966, GO15079_LC
203867392, 237.858428, -24.626751, 15.943, GO15079_LC
203870240, 237.887607, -24.61536, 18.868, GO15079_LC
203870251, 237.419528, -24.615318, 17.54, GO15079_LC
203874660, 237.868832, -24.597534, 16.475, GO15079_LC
204002964, 239.594227, -24.056126, 16.315, GO15079_LC
204007464, 239.629506, -24.036692, 17.513, GO15079_LC
204014961, 238.655941, -24.003918, 16.901, GO15079_LC
204015383, 238.702386, -24.002111, 17.187, GO15079_LC
204016011, 238.862618, -23.999352, 18.064, GO15079_LC
204016073, 241.020079, -23.999037, 17.742, GO15079_LC
204019352, 238.766472, -23.986292, 17.901, GO15079_LC
204019684, 240.491645, -23.985054, 18.213, GO15079_LC
204022532, 239.984699, -23.97414, 16.107, GO15079_LC
204025877, 239.976261, -23.961176, 17.308, GO15079_LC
204026776, 240.354178, -23.957708, 17.12, GO15079_LC
204030184, 240.894693, -23.944553, 17.397, GO15079_LC
204031161, 238.742373, -23.940798, 18.159, GO15079_LC
204034057, 239.948768, -23.929552, 17.362, GO15079_LC
204036245, 240.921285, -23.92098, 16.711, GO15079_LC
204036670, 240.159245, -23.919224, 17.738, GO15079_LC
204039889, 240.012157, -23.906824, 15.985, GO15079_LC
204041927, 240.71333, -23.899061, 17.166, GO15079_LC
204043045, 240.707675, -23.894623, 17.476, GO15079_LC
204044843, 238.773043, -23.887934, 17.277, GO15079_LC
204047223, 238.746187, -23.878649, 17.443, GO15079_LC
204048937, 240.058896, -23.872196, 17.339, GO15079_LC
204049802, 240.444823, -23.86894, 16.97, GO15079_LC
204052862, 238.707384, -23.857128, 15.901, GO15079_LC
204053384, 238.702458, -23.855097, 17.427, GO15079_LC
204054405, 241.093483, -23.851288, 17.703, GO15079_LC
204054516, 240.64824, -23.850847, 17.855, GO15079_LC
204054982, 238.712088, -23.848923, 15.776, GO15079_LC
204055596, 240.722433, -23.846598, 17.614, GO15079_LC
204056522, 240.814529, -23.842815, 16.944, GO15079_LC
204059717, 238.712006, -23.82983, 18.587, GO15079_LC
204060932, 240.808455, -23.824928, 15.896, GO15079_LC
204066819, 238.740763, -23.800838, 16.185, GO15079_LC
204067379, 238.718573, -23.798534, 17.604, GO15079_LC
204069549, 240.749574, -23.789598, 17.84, GO15079_LC
204069979, 240.886366, -23.787954, 16.615, GO15079_LC
204072000, 240.18521, -23.779902, 17.591, GO15079_LC
204075595, 238.642878, -23.765179, 16.916, GO15079_LC
204078154, 238.798263, -23.754929, 17.631, GO15079_LC
204080378, 240.834101, -23.745928, 16.096, GO15079_LC
204082837, 238.704357, -23.73612, 15.903, GO15079_LC
204084571, 240.896728, -23.729279, 15.885, GO15079_LC
204091931, 239.163613, -23.699228, 16.972, GO15079_LC
204092059, 240.94771, -23.69879, 16.391, GO15079_LC
204093105, 238.766599, -23.694651, 17.026, GO15079_LC
204096677, 238.844358, -23.680508, 16.49, GO15079_LC
204098964, 240.797874, -23.671211, 16.794, GO15079_LC
204099925, 240.071827, -23.667519, 17.38, GO15079_LC
204100947, 239.106467, -23.663536, 18.461, GO15079_LC
204105486, 240.705439, -23.644718, 17.762, GO15079_LC
204113802, 240.930448, -23.611412, 17.339, GO15079_LC
204117361, 240.744705, -23.596991, 17.654, GO15079_LC
204124037, 238.740243, -23.570465, 17.317, GO15079_LC
204124537, 240.662806, -23.568344, 17.705, GO15079_LC
204124655, 240.242505, -23.567909, 18.823, GO15079_LC
204125561, 240.22992, -23.564381, 16.747, GO15079_LC
204126771, 240.422555, -23.55961, 17.713, GO15079_LC
204127598, 238.711306, -23.556105, 16.292, GO15079_LC
204129882, 240.780732, -23.547222, 17.617, GO15079_LC
204129907, 240.715367, -23.547129, 16.609, GO15079_LC
204130166, 238.853543, -23.546139, 17.554, GO15079_LC
204131033, 240.741728, -23.542669, 16.432, GO15079_LC
204136902, 239.431445, -23.519712, 18.426, GO15079_LC
204138783, 240.853038, -23.512064, 16.908, GO15079_LC
204141682, 240.166987, -23.500893, 17.529, GO15079_LC
204141735, 240.811453, -23.500658, 16.475, GO15079_LC
204142098, 240.947, -23.49921, 17.597, GO15079_LC
204145624, 240.827199, -23.485334, 15.768, GO15079_LC
204147777, 240.086442, -23.476809, 16.504, GO15079_LC
204149880, 239.073153, -23.468472, 17.373, GO15079_LC
204150656, 240.814943, -23.465187, 17.545, GO15079_LC
204151371, 239.112587, -23.462442, 17.706, GO15079_LC
204154432, 239.311846, -23.450237, 17.438, GO15079_LC
204155460, 239.1707, -23.446075, 16.357, GO15079_LC
204159166, 240.801784, -23.431774, 16.538, GO15079_LC
204159236, 240.063378, -23.43149, 17.322, GO15079_LC
204164836, 238.965, -23.409054, 17.286, GO15079_LC
204167556, 240.798351, -23.398371, 16.991, GO15079_LC
204177606, 239.640038, -23.359282, 17.577, GO15079_LC
204195318, 239.347072, -23.289801, 17.195, GO15079_LC
204203035, 240.857194, -23.259991, 16.834, GO15079_LC
204206674, 239.20587, -23.246096, 17.51, GO15079_LC
204208719, 239.697823, -23.23789, 18.927, GO15079_LC
204209819, 239.698549, -23.233751, 16.36, GO15079_LC
204215752, 240.411288, -23.210924, 17.556, GO15079_LC
204221386, 240.444656, -23.188797, 16.863, GO15079_LC
204230744, 239.919398, -23.152082, 18.415, GO15079_LC
204231963, 239.498205, -23.147291, 17.646, GO15079_LC
204238687, 240.457045, -23.120562, 18.593, GO15079_LC
204245833, 239.33105, -23.092136, 16.415, GO15079_LC
204250247, 240.693907, -23.074629, 17.338, GO15079_LC
204274041, 241.058481, -22.981384, 16.986, GO15079_LC
204281574, 239.409949, -22.952803, 17.381, GO15079_LC
204286542, 239.906699, -22.933491, 17.287, GO15079_LC
204290369, 240.894365, -22.918308, 18.256, GO15079_LC
204295535, 239.699502, -22.897615, 17.265, GO15079_LC
204298973, 241.032687, -22.884165, 17.595, GO15079_LC
204300390, 240.574664, -22.878384, 16.973, GO15079_LC
204316430, 240.897794, -22.814165, 18.036, GO15079_LC
204319070, 240.116563, -22.803757, 17.133, GO15079_LC
204323908, 238.917749, -22.784344, 17.423, GO15079_LC
204327276, 239.34367, -22.770824, 17.63, GO15079_LC
204328035, 240.562635, -22.767893, 17.233, GO15079_LC
204330929, 240.610218, -22.756386, 17.366, GO15079_LC
204330997, 239.526524, -22.756124, 17.616, GO15079_LC
204335376, 239.000608, -22.738913, 17.343, GO15079_LC
204335723, 239.597423, -22.737461, 16.421, GO15079_LC
