# Summary of K2 Program GO16009

Title: Characterizing Small K2 Planets with the HARPS-N Spectrograph

PI: Charbonneau, David (Harvard University Dept of Astronomy)
CoIs: Vanderburg, Andrew; Dressing, Courtney D; Haywood, Raphaelle Dawn; Lopez-Morales, Mercedes; Sasselov, Dimitar; Latham, David W.

Follow-up studies of the small planets detected by Kepler have revealed a remarkable diversity of planet densities, indicating that predicting planetary properties from a radius measurement alone could lead to significant errors in our estimate of the frequency of rocky (and possibly habitable) worlds. We propose to study the relationship between the masses, radii, insolation, and metallicities of small planets by targeting moderately bright stars with K2, conducting reconnaissance spectroscopy, and ultimately gathering high-precision radial velocity (RV) measurements with HARPS-N. Our goal is to obtain a mass precision of 15%, the minimum value required to distinguish between compositional models. 

This project requires new K2 data for two reasons. First, most transiting small planets detected by Kepler orbit stars too faint for RV observations, and some of the bright Kepler host stars are not amenable to RV observations because of the variability of the host star or the presence of nearby stars. Second, the anticipated number of small planets orbiting quiet, bright stars detected in K2 campaigns to date is small, and the properties of the systems to date don't adequately sample the desired range of planetary and stellar properties. 

We propose a ranked list of 14,287 FGKM dwarf stars that are bright enough for RV follow-up and faint enough that they will not require unreasonably large K2 target apertures. We will generate this list by first searching for all moderately bright stars that will be on silicon during Campaigns 14, 15, and 16, and then using the available photometry to remove likely giants and constrain the properties of the remaining dwarfs. We also propose two targets, found to have planets in previous K2 campaigns, for short cadence observations.

We will identify planet candidates using the planet detection pipeline developed by our team members. We will vet candidates by measuring the centroid shifts, acquiring high-resolution adaptive optics images, and gathering high-resolution spectra. We will then conduct HARPS-N observations of the best candidates with small radii, and spanning the range of insolation and stellar metallicities. 

The HARPS-N instrument, located at the Telescopio Nazionale Galileo in La Palma, Spain, is an extremely stable, fiber-fed echelle spectrograph designed to measure radial velocities with exquisite precision. All of the members of our proposal team are members of the HARPS-N Consortium, which has 80 nights per year of guaranteed time per year. The follow-up of small planets from Kepler and K2 is the top scientific priority of HARPS-N. 

We will deliver the following value added community resource products to the NASA archives: light curves and estimated stellar parameters for all targets; phase-folded light curves and reconnaissance spectra for planet-candidate host stars; and tables of precise radial velocities for the subset of planet candidate host stars pursued by HARPS-N. Our team has already delivered such products for previous K2 campaigns; in particular, our 446 K2 reconnaissance spectra are the only spectroscopic observations listed on ExoFOP-K2 as of 6 Dec 2016.

Our campaign to measure the masses of small K2 planets with precision better than 15% will have a significant impact on our understanding of small planets. By increasing the number of small planets with precise mass and radius estimates, we will enable investigations of the fraction of rocky planets as a function of planetary and stellar parameters such as orbital period, the presence of additional planets, and stellar metallicity. Improving our understanding of the relationship between the masses and radii of small planets will provide useful information when selecting targets for atmospheric characterization with the James Webb Space Telescope and prioritizing the follow-up observations of planets detected by the Transiting Exoplanet Survey Satellite.

# Targets requested by this program that have been observed (4218)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
211390956, 137.03348, 11.499193, 10.758, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
211393018, 136.690289, 11.533407, 12.066, GO16009_LC|GO16021_LC|GO16028_LC
211394406, 136.204178, 11.555243, 9.284, GO16009_LC|GO16021_LC|GO16028_LC
211394764, 137.328227, 11.56091, 12.058, GO16009_LC|GO16021_LC|GO16083_LC
211395369, 136.070948, 11.570236, 12.397, GO16009_LC|GO16021_LC|GO16083_LC
211395494, 136.239922, 11.572482, 8.861, GO16009_LC|GO16010_LC|GO16021_LC|GO16025_LC|GO16028_LC|GO16063_LC|GO16068_LC
211396283, 135.278892, 11.584533, 12.527, GO16009_LC|GO16021_LC|GO16083_LC
211396504, 136.432829, 11.587655, 12.947, GO16009_LC|GO16021_LC
211397763, 134.614738, 11.60646, 12.163, GO16009_LC|GO16021_LC|GO16083_LC
211397787, 136.866212, 11.606712, 10.597, GO16009_LC|GO16021_LC|GO16028_LC
211397814, 136.867466, 11.607102, 12.171, GO16009_LC|GO16083_LC
211397909, 135.254138, 11.608432, 11.445, GO16009_LC|GO16021_LC|GO16028_LC
211398031, 135.912655, 11.610581, 12.804, GO16009_LC|GO16021_LC
211398115, 136.810028, 11.61169, 12.072, GO16009_LC|GO16020_LC|GO16021_LC|GO16052_LC
211398941, 134.42956, 11.624461, 11.849, GO16009_LC|GO16021_LC|GO16083_LC
211399408, 137.269521, 11.631482, 12.701, GO16009_LC|GO16020_LC|GO16021_LC|GO16083_LC
211399448, 135.359376, 11.632074, 12.715, GO16009_LC|GO16021_LC|GO16083_LC
211400196, 135.896008, 11.643298, 12.387, GO16005_LC|GO16009_LC|GO16020_LC|GO16021_LC|GO16052_LC|GO16083_LC
211400372, 134.56008, 11.646018, 12.06, GO16009_LC|GO16020_LC|GO16021_LC|GO16083_LC
211400445, 134.269524, 11.646989, 9.801, GO16005_LC|GO16009_LC|GO16014_LC|GO16030_LC|GO16037_LC|GO16052_LC|GO16056_LC|GO16063_LC|GO16065_LC
211400808, 135.970276, 11.652311, 12.955, GO16009_LC|GO16021_LC
211401937, 134.565551, 11.669973, 12.115, GO16009_LC|GO16021_LC|GO16083_LC
211401995, 136.383488, 11.670883, 11.458, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
211402398, 135.400559, 11.677572, 11.943, GO16009_LC|GO16021_LC
211402436, 133.248515, 11.678151, 12.49, GO16009_LC|GO16021_LC|GO16031_LC|GO16064_LC
211403083, 137.118347, 11.688641, 12.188, GO16009_LC|GO16021_LC|GO16083_LC
211403198, 137.178051, 11.690308, 12.222, GO16009_LC|GO16021_LC|GO16083_LC
211404578, 136.137026, 11.711549, 11.807, GO16009_LC|GO16021_LC|GO16052_LC
211405091, 131.244422, 11.719077, 12.926, GO16009_LC|GO16021_LC
211405094, 132.428707, 11.719106, 12.757, GO16009_LC|GO16021_LC|GO16031_LC|GO16064_LC
211405649, 131.732452, 11.727347, 10.749, GO16001_LC|GO16009_LC|GO16021_LC|GO16083_LC
211406112, 131.741398, 11.734385, 11.682, GO16009_LC|GO16020_LC|GO16021_LC|GO16052_LC|GO16074_LC|GO16083_LC
211406138, 133.873894, 11.734773, 11.549, GO16009_LC|GO16020_LC|GO16021_LC|GO16052_LC
211406402, 136.020556, 11.738632, 12.408, GO16009_LC|GO16021_LC
211406438, 136.39238, 11.739286, 12.408, GO16009_LC|GO16021_LC
211407035, 132.385915, 11.748631, 11.49, GO16009_LC|GO16020_LC|GO16021_LC|GO16052_LC
211407746, 136.162154, 11.759246, 12.628, GO16009_LC|GO16021_LC
211407857, 133.781842, 11.760837, 11.799, GO16009_LC|GO16021_LC
211408339, 132.316436, 11.768203, 12.607, GO16009_LC|GO16021_LC|GO16031_LC|GO16064_LC|GO16065_LC
211408352, 136.717847, 11.768472, 12.723, GO16009_LC|GO16021_LC
211408377, 136.275373, 11.768913, 12.46, GO16009_LC|GO16020_LC|GO16021_LC|GO16083_LC
211408492, 136.399581, 11.770831, 12.802, GO16009_LC|GO16021_LC
211408662, 130.034755, 11.772938, 11.424, GO16009_LC|GO16021_LC|GO16028_LC
211409178, 133.875249, 11.780919, 12.608, GO16009_LC|GO16015_LC|GO16021_LC
211409299, 130.925501, 11.782618, 11.951, GO16009_LC|GO16011_LC|GO16021_LC|GO16065_LC
211409996, 134.358242, 11.792518, 12.786, GO16009_LC|GO16021_LC|GO16083_LC
211410192, 136.008295, 11.795368, 11.437, GO16009_LC|GO16021_LC|GO16083_LC
211410665, 134.355407, 11.802458, 12.373, GO16009_LC|GO16021_LC
211410778, 133.666349, 11.803854, 12.65, GO16009_LC|GO16021_LC
211410882, 134.678347, 11.80544, 11.562, GO16005_LC|GO16009_LC|GO16020_LC|GO16021_LC|GO16083_LC
211410912, 135.208027, 11.805799, 12.447, GO16009_LC|GO16021_LC
211411679, 134.397464, 11.816729, 10.372, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
211411704, 130.941602, 11.81712, 12.781, GO16009_LC|GO16021_LC
211411753, 136.427412, 11.817795, 12.342, GO16009_LC|GO16021_LC
211411891, 136.495718, 11.819727, 12.776, GO16009_LC|GO16021_LC|GO16052_LC|GO16083_LC
