# Summary of K2 Program GO16028

Title: Planets Around Low-Metallicity Stars (K2 GO5)

PI: Cochran, William D. (The University of Texas at Austin)
CoIs: Yong, David; Rauer, Heike; Fridlund, Malcolm Carl Wilhelm; Paetzold, Martin; Endl, Michael

Objectives:
A major result from surveys for extrasolar planets that has dramatically shaped our thinking about the formation of planetary systems is the very strong tendency for gas-giant planets to be found around metal-rich stars.  This trend is not seen, however, around super-Earth and Earth-size planets (Buchhave et al 2015).  We propose to search a large sample of sub-solar metallicity ([Fe/H] < 0.0) stars in the fields of K2 GO Cycle 5 Campaigns 14, 15, and 16 for transiting planets of all sizes.  Stars in this metallicity range fall into three populations: a) the thin-disk (which also extends into super-solar metallicity), b) the thick-disk, and c) the halo (which extends to extremely metal poor stars). These three populations differ both kinematically and chemically.  Thick disk stars exhibit a larger vertical scale height in the galactic orbits, and they also show alpha-capture element abundances enhanced by about a factor of two over thin-disk stars.  Halo stars show even more extreme kinematics and also exhibit significant enhancement of alpha-capture elements.  K2 field 14, being located at high galactic latitude, will be especially important for its larger fraction of thick disk and halo stars than are found in fields at lower galactic latitude. The discovery of the Kepler-444 system (Campante et al 2015), which comprises five sub-Earth size planets orbiting an ancient (11.2 Gy age) thick-disk star with significantly sub-solar metallicity ([Fe=H]=-0.69 +/- 0.09 dex) shows that planet formation started very early in the history of the galaxy.  We will obtain the data necessary to compute planet occurrence rates for stars as a function of stellar metallicity, stellar population and of planet radius.  For stellar metallicity, we will consider not just the standard [Fe/H] abundance, but also the abundance of the very important alpha-capture elements.  The goal of our program is to determine the characteristics of the first stars in our Galaxy to form potentially habitable planetary systems.

Methodology:
We have assembled a large, diverse and highly experienced international team for this investigation.  The DLR group (led by Dr. H. Rauer) will extract the K2 photometry and model the light curves.  The Cologne group (led by Dr. M.  Paetzold)  will search the light curves for planetary transit signatures.  The groups at Texas (led by proposal PI Dr. W.  Cochran) and the European KESPRINT consortium (represented in this proposal by Dr. M. Fridlund) will conduct extensive followup observations including ground-based photometry, high precision RV measurement, high resolution optical and near-IR spectroscopy in order to confirm the planetary candidates and Doppler tomographic analysis of any rapidly rotating planetary candidates.  The group at Australian National University (led by Dr. D. Yong) will perform detailed spectral analysis of our follow-up data in order to derive stellar parameters and chemical abundances.

Targets:
We will propose a large sample of 2952 targets.  They range in V magnitude from about 6.4 to 12.4, with a median magnitude of 10.3.  Thus, according to Aigrain et al (2015, MNRAS, 247, 2880) we expect to obtain a 6.5 hour CDPP of about 80 ppm or better.

Relevance:
We are searching for new exoplanetary systems. These results will provide important new constraints on the physics and chemistry of planetary system formation, as well as provide constraints for the computation of planet occurrence rates. We will address the Kepler mission goals of obtaining an inventory of the diversity of planetary systems around sun-like stars. We will also obtain data very complementary to the goals of the TESS program, and help guide planetary system science for JWST studies.

# Targets requested by this program that have been observed (1078)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200200727, , , , GO16021|GO16028|GO16063|GO16081|HD_76333-SC-BRIGHT_STAR_DISC
211390956, 137.03348, 11.499193, 10.758, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
211393018, 136.690289, 11.533407, 12.066, GO16009_LC|GO16021_LC|GO16028_LC
211394406, 136.204178, 11.555243, 9.284, GO16009_LC|GO16021_LC|GO16028_LC
211395494, 136.239922, 11.572482, 8.861, GO16009_LC|GO16010_LC|GO16021_LC|GO16025_LC|GO16028_LC|GO16063_LC|GO16068_LC
211396055, 137.277225, 11.581205, 10.622, GO16021_LC|GO16028_LC|GO16083_LC
211397787, 136.866212, 11.606712, 10.597, GO16009_LC|GO16021_LC|GO16028_LC
211397909, 135.254138, 11.608432, 11.445, GO16009_LC|GO16021_LC|GO16028_LC
211401995, 136.383488, 11.670883, 11.458, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
211403320, 133.503232, 11.691928, 10.648, GO16021_LC|GO16028_LC
211404208, 133.721608, 11.706188, 9.343, GO16028_LC|GO16052_LC
211405419, 135.908363, 11.723978, 10.175, GO16021_LC|GO16028_LC
211408662, 130.034755, 11.772938, 11.424, GO16009_LC|GO16021_LC|GO16028_LC
211411679, 134.397464, 11.816729, 10.372, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
211412092, 129.738438, 11.822828, 10.015, GO16001_LC|GO16009_LC|GO16020_LC|GO16021_LC|GO16028_LC|GO16041_LC
211412604, 135.918337, 11.830538, 10.489, GO16009_LC|GO16021_LC|GO16028_LC
211413023, 135.783728, 11.836837, 10.201, GO16009_LC|GO16021_LC|GO16028_LC
211414485, 133.077722, 11.859464, 12.161, GO16009_LC|GO16021_LC|GO16028_LC
211416186, 134.554764, 11.884937, 11.326, GO16021_LC|GO16028_LC
211418074, 136.925207, 11.912653, 11.681, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
211420642, 129.444915, 11.949883, 10.404, GO16021_LC|GO16028_LC|GO16033_LC
211421716, 129.547187, 11.966191, 9.564, GO16009_LC|GO16021_LC|GO16028_LC|GO16033_LC
211421728, 134.30984, 11.966304, 11.175, GO16021_LC|GO16028_LC
211422285, 130.442473, 11.974887, 9.372, GO16009_LC|GO16021_LC|GO16028_LC
211422471, 131.510037, 11.977663, 9.95, GO16004_LC|GO16009_LC|GO16021_LC|GO16028_LC
211423401, 129.94069, 11.991418, 9.123, GO16009_LC|GO16021_LC|GO16028_LC
211423764, 131.730053, 11.9969, 11.205, GO16021_LC|GO16028_LC
211427383, 130.148385, 12.052218, 10.876, GO16028_LC|GO16052_LC
211427876, 133.539761, 12.060316, 10.97, GO16009_LC|GO16021_LC|GO16028_LC
211428113, 136.103828, 12.064062, 9.819, GO16004_LC|GO16009_LC|GO16020_LC|GO16021_LC|GO16028_LC
211428327, 130.681252, 12.067038, 11.965, GO16021_LC|GO16028_LC
211430750, 134.534725, 12.105397, 9.909, GO16009_LC|GO16020_LC|GO16021_LC|GO16028_LC
211431101, 134.447179, 12.110852, 11.788, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
211432121, 135.813268, 12.127011, 12.713, GO16009_LC|GO16021_LC|GO16028_LC
211432167, 132.863806, 12.127919, 8.55, GO16001_LC|GO16021_LC|GO16028_LC|GO16065_LC
211434311, 133.393613, 12.159783, 10.239, GO16021_LC|GO16028_LC
211435038, 132.391049, 12.170734, 8.319, GO16001_LC|GO16021_LC|GO16028_LC
211435108, 137.190917, 12.171881, 10.756, GO16021_LC|GO16028_LC|GO16083_LC
211435509, 134.257037, 12.177765, 10.722, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
211435602, 130.423725, 12.1794, 10.238, GO16021_LC|GO16028_LC
211439050, 133.760811, 12.231747, 11.237, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
211441047, 136.034379, 12.262132, 11.727, GO16028_LC|GO16052_LC
211442855, 132.980658, 12.290515, 10.89, GO16021_LC|GO16028_LC|GO16083_LC
211443351, 133.043918, 12.298292, 9.856, GO16001_LC|GO16009_LC|GO16021_LC|GO16028_LC|GO16065_LC
211444245, 133.690779, 12.311932, 11.506, GO16021_LC|GO16028_LC|GO16083_LC
211444468, 129.521689, 12.315686, 10.783, GO16021_LC|GO16028_LC
211444601, 133.220654, 12.317467, 11.345, GO16009_LC|GO16021_LC|GO16028_LC
211444858, 136.296148, 12.321609, 11.203, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
211445280, 130.597988, 12.327794, 10.853, GO16009_LC|GO16020_LC|GO16021_LC|GO16028_LC|GO16083_LC
211445376, 137.311139, 12.329236, 10.729, GO16021_LC|GO16028_LC
211445660, 132.317533, 12.334095, 10.152, GO16009_LC|GO16021_LC|GO16028_LC
211447966, 137.294467, 12.36938, 11.943, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
211447967, 136.460713, 12.369392, 11.506, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
211448947, 129.552191, 12.384626, 9.771, GO16028_LC|GO16052_LC
211449383, 137.046385, 12.391115, 11.372, GO16009_LC|GO16020_LC|GO16021_LC|GO16028_LC|GO16083_LC
211449800, 130.46927, 12.39756, 10.373, GO16009_LC|GO16021_LC|GO16028_LC
211450292, 137.356323, 12.404414, 11.161, GO16021_LC|GO16028_LC
211450303, 135.414082, 12.404558, 11.334, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
211451249, 130.860286, 12.419062, 10.815, GO16001_LC|GO16009_LC|GO16020_LC|GO16021_LC|GO16028_LC|GO16083_LC
211451409, 132.713131, 12.421943, 10.585, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
211452088, 134.137944, 12.431913, 8.563, GO16009_LC|GO16010_LC|GO16021_LC|GO16028_LC|GO16034_LC|GO16063_LC
211453713, 130.256844, 12.456454, 12.179, GO16009_LC|GO16021_LC|GO16028_LC
211454229, 134.332349, 12.463959, 10.557, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
211454715, 129.362868, 12.47177, 10.35, GO16021_LC|GO16028_LC
211455897, 129.465747, 12.489356, 11.432, GO16028_LC|GO16052_LC
211456318, 136.284476, 12.495595, 11.378, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
211456332, 133.853449, 12.495855, 11.876, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
211456581, 133.66515, 12.499834, 11.125, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
211456634, 137.319434, 12.5006, 11.532, GO16009_LC|GO16021_LC|GO16028_LC
211457384, 130.743228, 12.511549, 11.207, GO16021_LC|GO16028_LC
211458984, 133.706778, 12.536957, 11.542, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
211459471, 135.264548, 12.544287, 9.199, GO16004_LC|GO16009_LC|GO16021_LC|GO16028_LC
211459728, 132.762615, 12.548111, 10.233, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
211460177, 132.295677, 12.554933, 11.446, GO16009_LC|GO16021_LC|GO16028_LC
211463992, 133.902641, 12.613477, 12.035, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
211464159, 130.562104, 12.616095, 9.73, GO16009_LC|GO16021_LC|GO16028_LC|GO16033_LC
211464171, 130.321791, 12.61625, 10.021, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
