# Summary of K2 Program GO16056

Title: M dwarf Exoplanets and Stellar Activity: Combining K2 Photometry and High Resolution ground based spectroscopy with HPF

PI: Mahadevan, Suvrath (Pennsylvania State University)
CoIs: Terrien, Ryan; Bender, Chad F; Robertson, Paul M; Roy, Arpita

We propose to observe select bright M dwarfs with K2 in Campaigns 14 and 16, drawing extensively from the target list for the upcoming NIR Habitable Zone Planet Finder (HPF) radial velocity spectrograph at the 10m Hobby-Eberly Telescope (HET), supplemented with targets from SDSS-APOGEE and GAIA, and prioritizing targets from prior K2 fields which will overlap with TESS observations. Rotationally induced radial velocity noise can masquerade as a low mass exoplanet. K2 photometry of these targets will uncover the rotational periods and levels of activity, directly enabling more correct interpretation of the RV signals and the discovery of exoplanets. HPF starts its science observations in 2017, and of particular interest is the forward facing Campaign 16, where the power of the HET queue-scheduled observations enables HPF to acquire spectra and RVs on a number of bright M dwarfs simultaneously with K2 photometry, enabling techniques like FF' and Gaussian Processes to be brought to bear on the continuous photometry+RV data set. The goal of this project is directly in line with NASA and community goals of detection of low mass exoplanets in or near Habitable Zones of our nearest neighbors, and with Decadal Recommendations of using precision RVs to detect and characterize low mass planets.

# Targets requested by this program that have been observed (221)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
211400219, 135.52923, 11.643649, 13.702, GO16001_LC|GO16005_LC|GO16052_LC|GO16056_LC|GO16083_LC
211400445, 134.269524, 11.646989, 9.801, GO16005_LC|GO16009_LC|GO16014_LC|GO16030_LC|GO16037_LC|GO16052_LC|GO16056_LC|GO16063_LC|GO16065_LC
211410771, 130.041072, 11.803772, 13.813, GO16005_LC|GO16052_LC|GO16056_LC
211412062, 136.570639, 11.822362, 13.902, GO16052_LC|GO16056_LC|GO16083_LC
211412221, 133.349534, 11.824831, 13.441, GO16005_LC|GO16052_LC|GO16056_LC
211414619, 137.203474, 11.861469, 14.02, GO16030_LC|GO16052_LC|GO16056_LC
211427097, 133.042468, 12.048243, 11.725, GO16005_LC|GO16009_LC|GO16014_LC|GO16020_LC|GO16021_LC|GO16052_LC|GO16056_LC
211427316, 137.607309, 12.051172, 14.039, GO16005_LC|GO16041_LC|GO16052_LC|GO16056_LC|GO16083_LC
211428305, 132.470958, 12.066721, 14.161, GO16005_LC|GO16052_LC|GO16056_LC
211430723, 129.703421, 12.105062, 13.446, GO16005_LC|GO16052_LC|GO16056_LC
211432984, 135.961107, 12.140502, 12.424, GO16005_LC|GO16052_LC|GO16056_LC
211456957, 133.692925, 12.50544, 10.435, GO16009_LC|GO16014_LC|GO16020_LC|GO16052_LC|GO16056_LC|GO16083_LC
211467243, 134.081488, 12.663706, 13.038, GO16005_LC|GO16014_LC|GO16052_LC|GO16056_LC
211479188, 136.011287, 12.838726, 14.219, GO16005_LC|GO16052_LC|GO16056_LC
211479446, 137.206377, 12.842434, 13.983, GO16005_LC|GO16052_LC|GO16056_LC|GO16083_LC
211480655, 136.55852, 12.859502, 12.214, GO16009_LC|GO16014_LC|GO16052_LC|GO16056_LC
211481688, 136.910721, 12.874814, 11.806, GO16005_LC|GO16009_LC|GO16014_LC|GO16020_LC|GO16052_LC|GO16056_LC
211487177, 135.698254, 12.953803, 14.221, GO16005_LC|GO16052_LC|GO16056_LC
211489708, 135.972468, 12.991111, 11.527, GO16005_LC|GO16009_LC|GO16014_LC|GO16020_LC|GO16052_LC|GO16056_LC|GO16083_LC
211496287, 136.188566, 13.087199, 13.435, GO16005_LC|GO16052_LC|GO16056_LC
211499825, 136.869991, 13.137851, 14.135, GO16005_LC|GO16052_LC|GO16056_LC
211502048, 132.424273, 13.1683, 13.26, GO16052_LC|GO16056_LC|GO16083_LC
211511844, 130.918098, 13.30597, 10.334, GO16009_LC|GO16021_LC|GO16056_LC
211512640, 133.074667, 13.316877, 13.057, GO16005_LC|GO16052_LC|GO16056_LC|GO16083_LC
211516815, 134.280768, 13.375719, 12.06, GO16005_LC|GO16009_LC|GO16014_LC|GO16020_LC|GO16052_LC|GO16056_LC|GO16083_LC
211520155, 136.221102, 13.422709, 14.333, GO16005_LC|GO16052_LC|GO16056_LC
211525722, 131.748091, 13.502305, 13.431, GO16005_LC|GO16052_LC|GO16056_LC|GO16083_LC
211526650, 136.189772, 13.515642, 12.056, GO16056_LC
211529603, 130.609197, 13.557181, 12.828, GO16005_LC|GO16009_LC|GO16041_LC|GO16052_LC|GO16056_LC
211530242, 132.863798, 13.566217, 12.382, GO16005_LC|GO16009_LC|GO16020_LC|GO16052_LC|GO16056_LC|GO16083_LC
211534444, 130.97051, 13.623962, 8.628, GO16009_LC|GO16021_LC|GO16028_LC|GO16056_LC
211535226, 137.601733, 13.635002, 12.959, GO16009_LC|GO16056_LC|GO16083_LC
211539849, 135.287342, 13.69991, 14.192, GO16052_LC|GO16056_LC
211541590, 137.176933, 13.724288, 14.336, GO16005_LC|GO16011_LC|GO16052_LC|GO16056_LC
211544213, 136.24202, 13.760876, 9.412, GO16056_LC
211547310, 135.455451, 13.805987, 15.017, GO16005_LC|GO16052_LC|GO16056_LC
211551682, 136.110692, 13.864636, 14.049, GO16005_LC|GO16052_LC|GO16056_LC
211554567, 130.882447, 13.905785, 13.606, GO16005_LC|GO16052_LC|GO16056_LC
211555174, 134.285871, 13.913733, 13.798, GO16005_LC|GO16052_LC|GO16056_LC|GO16083_LC
211556552, 133.645492, 13.933562, 12.901, GO16020_LC|GO16052_LC|GO16056_LC
211615700, 130.350387, 14.753457, 13.982, GO16005_LC|GO16052_LC|GO16056_LC
211616023, 138.906077, 14.757999, 10.775, GO16005_LC|GO16014_LC|GO16020_LC|GO16052_LC|GO16056_LC
211616752, 133.784555, 14.768683, 13.892, GO16005_LC|GO16052_LC|GO16056_LC|GO16083_LC
211618543, 135.973659, 14.793594, 14.775, GO16005_LC|GO16052_LC|GO16056_LC
211618995, 131.334147, 14.799766, 13.916, GO16005_LC|GO16052_LC|GO16056_LC
211619344, 138.556627, 14.804918, 14.128, GO16005_LC|GO16052_LC|GO16056_LC
211619386, 137.087547, 14.805539, 13.963, GO16052_LC|GO16056_LC
211621579, 133.927712, 14.83627, 13.417, GO16052_LC|GO16056_LC
211626833, 129.807131, 14.912189, 13.302, GO16005_LC|GO16052_LC|GO16056_LC|GO16065_LC
211627443, 134.581807, 14.920197, 13.621, GO16005_LC|GO16052_LC|GO16056_LC|GO16083_LC
211630934, 133.4321, 14.969715, 10.379, GO16005_LC|GO16014_LC|GO16020_LC|GO16052_LC|GO16056_LC
211638521, 130.131037, 15.077134, 14.28, GO16052_LC|GO16056_LC
211639411, 129.865383, 15.089926, 14.666, GO16005_LC|GO16052_LC|GO16056_LC
211648751, 136.250345, 15.216833, 13.228, GO16005_LC|GO16052_LC|GO16056_LC|GO16083_LC
