# Summary of K2 Program GO16095

Title: Classifying Kepler transients with the Zwicky Transient Facility

PI: Nordin, Jakob (Humboldt University of Berlin)
CoIs: Bellm, Eric C; Cenko, Stephen Bradley; Goobar, Ariel M; Kasliwal, Mansi M; Cook, David Owen

The Zwicky Transient Facility (ZTF) will be fully operational during the Kepler C16 campaign, and provides an ideal partner to Kepler for finding and classification nearby transients. We propose for ZTF to make dedicated observations of the C16 fields, and ensure that all nearby objects are spectroscopically typed.

ZTF adds a new 47 sq. deg. Field-of-View camera with fast read-out electronics to the updated Samuel Oschin 48-inch Schmidt telescope at Palomar Observatory. ZTF is designed to find young and rare optical transients, and will be capable of scanning more than 3750 sq. degrees each hour. ZTF is on track for commissioning next spring and summer. Fall 2017 is focused on building references and training the machine-learning algorithms in rejecting false candidates.

The combination of a depth similar to Kepler (21st mag), an IPAC search pipeline which builds on the successful PTF and iPTF surveys and dedicated spectroscopic resources for classification allows ZTF to find transients in the Kepler fields early enough to trigger the extensive additional observations that are needed to fully utilize Kepler lightcurves. Necessary additional steps to realize this includes: Prioritizing Kepler fields in reference building and scheduling, guaranteeing sufficient scanning and spectroscopic resources and providing classified candidates to the community.

# Targets requested by this program that have been observed (2293)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200200364, , , , GO16095_LC|LC_CUSTOM_LARGE_GALAXIES
200200365, , , , GO16079_LC|GO16095_LC|LC_CUSTOM_LARGE_GALAXIES
200200366, , , , GO16079_LC|GO16095_LC|LC_CUSTOM_LARGE_GALAXIES
211398523, 135.291791, 11.618067, 17.795, GO16079_LC|GO16095_LC|GO16102_LC
211402302, 135.477089, 11.675902, 15.583, GO16079_LC|GO16095_LC|GO16102_LC
211404839, 137.156754, 11.715674, 15.172, GO16079_LC|GO16095_LC|GO16102_LC
211408501, 130.979736, 11.771023, 14.885, GO16079_LC|GO16095_LC|GO16102_LC
211415534, 131.144765, 11.875396, 15.658, GO16079_LC|GO16095_LC|GO16102_LC
211420026, 131.24075, 11.941476, 16.593, GO16079_LC|GO16095_LC|GO16102_LC
211426138, 129.414172, 12.032944, 14.357, GO16079_LC|GO16095_LC|GO16102_LC
211427836, 133.850462, 12.059575, 14.926, GO16079_LC|GO16095_LC
211429694, 130.352876, 12.08801, 15.274, GO16079_LC|GO16095_LC|GO16102_LC
211431860, 137.144417, 12.122703, 17.019, GO16095_LC|GO16102_LC
211433551, 137.175131, 12.148811, 15.539, GO16079_LC|GO16095_LC|GO16102_LC
211435864, 130.0118, 12.183596, 16.838, GO16079_LC|GO16095_LC|GO16102_LC
