# Summary of K2 Program GO17005

Title: Eclipsing Binary Stars: Indispensable Astrophysical Labs

PI: Prsa, Andrej (VILLANOVA UNIVERSITY)
CoIs: Kyle Conroy, Michael Abdul-Masih, Angela Kochoska



# Targets requested by this program that have been observed (142)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212417417, 202.5108948, -14.5189505, 15.496, GO17005_LC|GO17033_LC
212419731, 202.1033325, -14.4687948, 14.87, GO17005_LC|GO17033_LC|GO17033_SC
212421319, 203.4463196, -14.4334145, 16.407, GO17005_LC|GO17058_LC
212425817, 204.7328186, -14.33253, 16.684, GO17005_LC|GO17033_LC
212426424, 202.5080719, -14.3178434, 16.86, GO17005_LC|GO17033_LC
212439709, 204.6641083, -14.0245771, 14.352, GO17005_LC
212440192, 204.4049072, -14.0146322, 16.146, GO17005_LC|GO17068_LC
212441076, 199.454422, -13.9947367, 14.847, GO17005_LC|GO17033_LC
212442107, 204.2224426, -13.9722672, 15.821, GO17002_LC|GO17005_LC
212442408, 198.3507385, -13.9657059, 11.778, GO17005_LC|GO17049_LC|GO17065_LC
212449840, 204.4191437, -13.8059969, 14.091, GO17005_LC|GO17049_LC|GO17068_LC
212453473, 199.4444275, -13.7275925, 13.957, GO17005_LC|GO17049_LC|GO17068_LC
212454161, 198.9567108, -13.7125988, 15.225, GO17005_LC|GO17033_LC|GO17068_LC
212463213, 198.9810486, -13.5198088, 14.966, GO17005_LC|GO17011_LC|GO17033_LC
212465919, 199.4382629, -13.4631653, 15.159, GO17005_LC|GO17068_LC
212467265, 198.4112396, -13.4351654, 16.591, GO17005_LC|GO17033_LC
212468149, 203.8510895, -13.4157181, 14.814, GO17005_LC|GO17068_LC
212470542, 205.486084, -13.3650618, 14.767, GO17005_LC|GO17068_LC
212475454, 199.2838287, -13.2621031, 14.591, GO17005_LC
212504385, 199.5715179, -12.6406565, 13.842, GO17005_LC|GO17049_LC
212506921, 198.9560089, -12.5871048, 16.857, GO17005_LC
212512497, 201.6235352, -12.4676943, 16.281, GO17005_LC|GO17033_LC
