# Summary of K2 Program GO17017

Title: Investigating Galactic Carbon Stars with K2: The Bulge and Halo Population

PI: Kraemer, Kathleen (Boston College)
CoIs: G. C. Sloan (STScI, UNC Chapel Hill), J. J. Hermes (UNC Chapel Hill)



# Targets requested by this program that have been observed (10)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212430932, 202.7602234, -14.2181883, 15.24, GO17017_LC|GO17068_LC
212525473, 198.4807434, -12.1949081, 11.923, GO17017_LC|GO17018_LC|GO17049_LC|GO17065_LC|GO17068_LC
212558235, 207.6418762, -11.4990282, 15.838, GO17017_LC|GO17068_LC
212630457, 204.971756, -9.8971691, 15.171, GO17017_LC|GO17068_LC
212739807, 205.6116638, -7.256412, 13.145, GO17005_LC|GO17017_LC|GO17068_LC
212833912, 206.8568573, -4.4343028, 14.539, GO17017_LC|GO17067_LC|GO17068_LC
212837037, 202.7985992, -4.3266878, 13.249, GO17017_LC|GO17068_LC
212858370, 206.1880798, -3.5333929, 8.071, GO17017_LC|GO17067_LC
212873292, 203.6331635, -3.0414121, 12.895, GO17017_LC|GO17067_LC|GO17068_LC
251548747, 202.642102, -2.408433, 19.556, GO17017_LC|GO17022_LC
