# Summary of K2 Program GO17046

Title: A continued search for exoplanets and close stellar/substellar companions in the local halo population for K2 campaigns 17-18-19

PI: Lepine, Sebastien (Georgia State University)
CoIs: 



# Targets requested by this program that have been observed (184)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212415787, 204.8164062, -14.5569582, 13.753, GO17046_LC|GO17049_LC
212422838, 202.5698853, -14.4002886, 13.505, GO17046_LC|GO17049_LC
212423309, 202.314621, -14.3894987, 17.285, GO17046_LC|GO17059_LC
212435927, 200.6342468, -14.1071558, 13.631, GO17046_LC|GO17049_LC
212440266, 203.661972, -14.0131483, 13.434, GO17046_LC|GO17049_LC
212440438, 205.4052734, -14.009078, 12.984, GO17046_LC|GO17049_LC|GO17065_LC|GO17068_LC
212449950, 200.8542328, -13.8037624, 12.512, GO17046_LC|GO17049_LC|GO17065_LC
212480756, 197.7861023, -13.1493425, 14.003, GO17046_LC|GO17049_LC
212481458, 200.5833282, -13.1349707, 13.995, GO17046_LC|GO17049_LC
212483921, 201.7081757, -13.08323, 13.609, GO17046_LC|GO17049_LC
212493597, 205.9368896, -12.8700724, 18.253, GO17046_LC|GO17059_LC
212494462, 201.9008789, -12.8517122, 16.862, GO17046_LC|GO17059_LC
212499030, 202.5075531, -12.7542915, 17.889, GO17046_LC|GO17063_LC
212501182, 201.5606995, -12.7087498, 17.726, GO17046_LC|GO17059_LC
212502222, 197.9159241, -12.6870747, 12.027, GO17046_LC|GO17049_LC
212504732, 198.8226166, -12.6332159, 12.631, GO17046_LC|GO17049_LC|GO17065_LC
212508770, 201.7276306, -12.5476217, 18.543, GO17046_LC|GO17053_LC|GO17059_LC
212511693, 199.0355988, -12.4845686, 18.452, GO17046_LC|GO17059_LC
212514000, 200.1644897, -12.4358721, 12.634, GO17046_LC|GO17049_LC|GO17065_LC|GO17068_LC
212514962, 207.838974, -12.4163742, 13.26, GO17046_LC|GO17049_LC
212535198, 208.852356, -11.98454, 12.102, GO17046_LC|GO17049_LC|GO17065_LC
212536826, 205.5332947, -11.9511518, 13.961, GO17046_LC|GO17049_LC
212539120, 203.9776917, -11.9044447, 11.752, GO17046_LC|GO17049_LC
212547341, 204.0626373, -11.7310123, 14.013, GO17046_LC|GO17049_LC
212551628, 205.4570007, -11.6387491, 14.213, GO17046_LC|GO17049_LC|GO17068_LC
212553179, 205.732132, -11.606451, 17.672, GO17046_LC|GO17059_LC
212564858, 199.4468384, -11.351675, 15.661, GO17016_LC|GO17029_LC|GO17037_LC|GO17046_LC|GO17037_SC
212572439, 204.4400787, -11.1925735, 12.835, GO17027_LC|GO17046_LC|GO17049_LC|GO17050_LC|GO17065_LC|GO17068_LC
212580081, 204.4493256, -11.0277748, 18.233, GO17046_LC|GO17064_LC
212580499, 198.8090973, -11.0179968, 11.51, GO17046_LC|GO17049_LC|GO17065_LC|GO17068_LC
212592841, 205.4462738, -10.7507954, 13.719, GO17046_LC|GO17049_LC
212604251, 202.1933289, -10.4925976, 13.688, GO17046_LC|GO17049_LC
212605019, 200.3070831, -10.4761, 13.614, GO17046_LC|GO17049_LC
212605226, 200.942276, -10.4715328, 10.752, GO17003_LC|GO17046_LC|GO17049_LC|GO17065_LC
212606096, 199.1673737, -10.4524622, 14.086, GO17046_LC|GO17049_LC
212612229, 208.2373199, -10.3126183, 14.114, GO17046_LC|GO17049_LC|GO17068_LC
212614939, 208.1343689, -10.2517977, 13.563, GO17046_LC|GO17049_LC
212614962, 209.0843048, -10.2511902, 18.101, GO17046_LC|GO17059_LC
212629901, 204.9054871, -9.908967, 17.712, GO17046_LC|GO17059_LC
212629969, 199.4260712, -9.9076719, 13.614, GO17046_LC|GO17049_LC
212640784, 204.5731506, -9.6592493, 14.492, GO17046_LC|GO17049_LC|GO17068_LC
212646864, 200.4611359, -9.5172501, 13.517, GO17046_LC|GO17049_LC
212647130, 198.2968903, -9.5112638, 18.251, GO17046_LC|GO17059_LC
212651046, 209.2136688, -9.4225788, 12.806, GO17046_LC|GO17049_LC
212653133, 199.4872589, -9.3745451, 13.888, GO17046_LC|GO17049_LC
