# Summary of K2 Program GO17049

Title: Small Planets and Their Occurrence in K2 Campaigns 17-19

PI: Howard, Andrew (Caltech)
CoIs: Erik Petigura (Caltech), Jessie Christiansen (Caltech-NExScI), Howard Isaacson (Berkeley), Evan Sinukoff (Hawaii/Caltech), Ian Crossfield (MIT), Josh Schlieder (NASA Goddard), Bjoern Benneke (Montreal), David Ciardi (Caltech-NexScI)



# Targets requested by this program that have been observed (8494)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212394446, 205.6883392, -15.0417433, 9.356, GO17003_LC|GO17049_LC|GO17065_LC
212394734, 205.7234192, -15.0352497, 8.58, GO17003_LC|GO17049_LC|GO17065_LC
212395111, 205.5041504, -15.0261087, 11.836, GO17049_LC
212396760, 205.6980133, -14.9877291, 12.954, GO17049_LC|GO17065_LC
212398530, 205.4360962, -14.9462986, 14.045, GO17049_LC|GO17068_LC
212398610, 205.2131195, -14.94454, 12.527, GO17049_LC|GO17065_LC|GO17068_LC
212398623, 204.7240295, -14.9442701, 13.885, GO17049_LC
212399497, 205.3087769, -14.9251184, 13.72, GO17049_LC
212401144, 205.6689911, -14.8885441, 14.156, GO17049_LC|GO17068_LC
212401395, 204.8328094, -14.8827162, 13.769, GO17049_LC
212401405, 204.3013, -14.8825083, 14.17, GO17049_LC|GO17068_LC
212401421, 205.0687561, -14.8820829, 12.399, GO17049_LC
212401433, 205.6694946, -14.8817701, 12.67, GO17049_LC|GO17065_LC
212401590, 205.6420135, -14.8783531, 12.844, GO17049_LC
212402339, 205.2084961, -14.8609095, 13.322, GO17049_LC
212402397, 204.5235291, -14.8597002, 13.985, GO17049_LC
212402502, 205.7049103, -14.8574448, 11.086, GO17003_LC|GO17049_LC|GO17065_LC
212403136, 204.1632538, -14.8431816, 13.884, GO17049_LC
212403174, 204.6191711, -14.8423471, 13.754, GO17049_LC
212403198, 204.572464, -14.8417873, 13.582, GO17049_LC
212403226, 204.4414368, -14.8408852, 14.435, GO17049_LC|GO17068_LC
212403228, 203.9832458, -14.8408823, 13.704, GO17049_LC|GO17068_LC
212403318, 204.6195374, -14.8386793, 9.948, GO17003_LC|GO17049_LC
212403332, 205.6400604, -14.8383541, 13.393, GO17049_LC
212403342, 204.1457672, -14.8380356, 12.822, GO17049_LC|GO17065_LC|GO17068_LC
212403383, 204.0154419, -14.8369417, 13.941, GO17049_LC
212403403, 204.3969269, -14.8364, 13.931, GO17049_LC
212403642, 204.0899811, -14.8308649, 13.466, GO17049_LC
212403671, 203.8919067, -14.8301258, 9.508, GO17003_LC|GO17030_LC|GO17049_LC|GO17065_LC
212404051, 203.8665466, -14.8211861, 12.829, GO17049_LC|GO17065_LC
212404097, 205.1513062, -14.8200788, 12.094, GO17049_LC|GO17065_LC
212404118, 204.8901062, -14.8195972, 13.788, GO17049_LC|GO17068_LC
212404439, 204.5284882, -14.8121891, 13.526, GO17049_LC
212404503, 205.1721954, -14.8104801, 10.157, GO17049_LC|GO17065_LC
212404635, 203.7675018, -14.8073654, 11.16, GO17003_LC|GO17049_LC|GO17065_LC
212405413, 204.2888184, -14.7900629, 12.6, GO17049_LC|GO17065_LC
212405505, 204.5347748, -14.7881584, 13.515, GO17049_LC
212405589, 203.9416199, -14.7863302, 12.36, GO17003_LC|GO17049_LC|GO17065_LC
212405754, 205.4650879, -14.7823114, 13.345, GO17049_LC
212405761, 204.9889832, -14.781991, 13.822, GO17049_LC
212405912, 204.5549469, -14.7786913, 14.041, GO17049_LC
212406059, 205.5142212, -14.7754469, 12.335, GO17049_LC|GO17065_LC
212406196, 203.6340027, -14.7721968, 12.483, GO17049_LC
212406221, 205.6044159, -14.7713957, 13.666, GO17049_LC
212406224, 205.1565094, -14.7712326, 12.646, GO17049_LC|GO17065_LC
212406350, 203.4889526, -14.7687368, 13.923, GO17049_LC|GO17068_LC
212406619, 204.6784668, -14.7626858, 13.604, GO17049_LC
212406873, 204.6005859, -14.7572117, 14.07, GO17049_LC
212406933, 204.4217377, -14.75564, 12.199, GO17049_LC|GO17065_LC
212407115, 203.5694885, -14.7513924, 13.274, GO17049_LC
212407157, 203.432251, -14.7504501, 13.888, GO17049_LC|GO17068_LC
212407175, 203.791275, -14.7501154, 13.893, GO17049_LC
212407415, 205.057785, -14.7453146, 13.415, GO17049_LC
212407447, 203.9142914, -14.7447329, 13.687, GO17049_LC|GO17068_LC
212407500, 204.4577942, -14.7434311, 14.117, GO17049_LC
212407550, 205.640213, -14.742095, 11.887, GO17049_LC
212407697, 203.4395752, -14.7389469, 11.885, GO17049_LC
212407699, 204.9222717, -14.7389278, 14.075, GO17049_LC|GO17068_LC
212407738, 204.9744415, -14.7382603, 14.397, GO17049_LC|GO17068_LC
212407774, 203.834198, -14.7375574, 10.113, GO17026_LC|GO17049_LC|GO17068_LC
212407782, 203.8515625, -14.7373476, 13.247, GO17049_LC
212407948, 204.9391937, -14.7334747, 12.837, GO17049_LC
212407998, 203.4476929, -14.7322245, 12.437, GO17003_LC|GO17049_LC|GO17065_LC
212408106, 204.4231415, -14.7295542, 9.42, GO17003_LC|GO17030_LC|GO17049_LC
212408274, 203.329361, -14.7260151, 11.521, GO17049_LC|GO17050_LC|GO17065_LC|GO17068_LC
212408352, 203.5531006, -14.7242479, 13.566, GO17049_LC
