# Summary of K2 Program GO17050

Title: Giants Orbiting Giants: Characterizing Giant Planets Around Evolved Stars With K2

PI: Huber, Daniel (Institute for Astronomy, University of Hawaii)
CoIs: Eric Gaidos (University of Hawaii), Andrew Howard (Caltech), Eric Lopez (NASA GSFC)



# Targets requested by this program that have been observed (247)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212408274, 203.329361, -14.7260151, 11.521, GO17049_LC|GO17050_LC|GO17065_LC|GO17068_LC
212409092, 204.7297211, -14.7066507, 11.652, GO17050_LC|GO17068_LC
212409442, 204.7272644, -14.6988249, 10.475, GO17050_LC|GO17068_LC
212422149, 205.562149, -14.4154911, 10.228, GO17049_LC|GO17050_LC|GO17065_LC|GO17068_LC
212427213, 204.6871185, -14.3004885, 12.081, GO17049_LC|GO17050_LC|GO17065_LC
212431715, 200.3993225, -14.2016087, 11.972, GO17050_LC|GO17068_LC
212437265, 199.3663788, -14.0798693, 11.424, GO17050_LC|GO17068_LC
212437622, 199.4847412, -14.0718298, 9.194, GO17011_LC|GO17036_LC|GO17050_LC|GO17068_LC
212439860, 202.8180084, -14.0215559, 11.643, GO17049_LC|GO17050_LC|GO17065_LC|GO17068_LC
212451286, 198.2695923, -13.7751322, 12.451, GO17049_LC|GO17050_LC|GO17065_LC
212457793, 198.585968, -13.6336441, 11.89, GO17050_LC|GO17068_LC
212458411, 204.1089935, -13.6208525, 11.834, GO17049_LC|GO17050_LC|GO17065_LC|GO17068_LC
212458608, 197.7069702, -13.6166544, 13.027, GO17049_LC|GO17050_LC|GO17068_LC
212467548, 204.3418121, -13.4292917, 10.658, GO17050_LC|GO17068_LC
212470043, 202.1877747, -13.3751287, 10.636, GO17050_LC|GO17068_LC
212470781, 199.7013397, -13.3595171, 12.94, GO17050_LC|GO17068_LC
212472602, 204.2696381, -13.3219719, 10.158, GO17003_LC|GO17050_LC|GO17068_LC
212474547, 200.5718079, -13.2805185, 12.195, GO17049_LC|GO17050_LC
212483932, 205.0399475, -13.0830221, 12.197, GO17003_LC|GO17049_LC|GO17050_LC
212486989, 203.7841492, -13.0145798, 12.537, GO17049_LC|GO17050_LC|GO17065_LC
212488149, 199.584137, -12.9895134, 11.59, GO17050_LC|GO17068_LC
212488258, 202.6234589, -12.9874573, 10.795, GO17050_LC|GO17068_LC
212490222, 201.4478149, -12.9447584, 12.684, GO17050_LC|GO17068_LC
212492227, 204.9704132, -12.9001751, 10.664, GO17050_LC|GO17068_LC
212495270, 202.1027222, -12.8340683, 10.672, GO17003_LC|GO17050_LC|GO17068_LC
212496254, 202.5709229, -12.8137846, 11.057, GO17050_LC|GO17068_LC
212502436, 202.9896393, -12.6825409, 11.893, GO17049_LC|GO17050_LC|GO17065_LC
212503037, 204.1104126, -12.6695747, 10.97, GO17050_LC|GO17068_LC
212505283, 199.0570526, -12.6212339, 7.934, GO17011_LC|GO17050_LC
212526274, 208.4293365, -12.1770706, 11.082, GO17050_LC|GO17068_LC
212530364, 208.3668213, -12.0891314, 10.792, GO17050_LC|GO17068_LC
212533129, 205.7541351, -12.0281982, 10.078, GO17050_LC|GO17068_LC
212537995, 207.3988495, -11.9276714, 11.276, GO17050_LC|GO17068_LC
212540201, 206.802948, -11.8836088, 11.958, GO17003_LC|GO17049_LC|GO17050_LC
212540498, 208.1955414, -11.8776569, 11.555, GO17050_LC|GO17068_LC
212541179, 207.917572, -11.8638563, 10.007, GO17003_LC|GO17049_LC|GO17050_LC|GO17065_LC
212544287, 208.309967, -11.7973909, 9.918, GO17050_LC|GO17068_LC
212545987, 208.9182281, -11.758934, 11.713, GO17049_LC|GO17050_LC
212559650, 205.4199982, -11.4682636, 11.015, GO17050_LC|GO17068_LC
212562963, 205.7160034, -11.3941383, 11.295, GO17003_LC|GO17049_LC|GO17050_LC|GO17065_LC|GO17068_LC
212563711, 207.6190796, -11.3777189, 11.256, GO17003_LC|GO17049_LC|GO17050_LC|GO17065_LC
212567045, 207.1305389, -11.3065424, 8.74, GO17003_LC|GO17036_LC|GO17049_LC|GO17050_LC|GO17065_LC
212572439, 204.4400787, -11.1925735, 12.835, GO17027_LC|GO17046_LC|GO17049_LC|GO17050_LC|GO17065_LC|GO17068_LC
212572967, 205.8737335, -11.1813393, 12.689, GO17050_LC|GO17068_LC
212578933, 202.4149933, -11.0524826, 11.464, GO17050_LC|GO17068_LC
212579177, 198.6882324, -11.0473766, 10.04, GO17050_LC|GO17068_LC
212580872, 205.2370605, -11.0092964, 13.047, GO17027_LC|GO17048_LC|GO17049_LC|GO17050_LC
212582346, 208.8182678, -10.9767485, 11.738, GO17003_LC|GO17049_LC|GO17050_LC
212582781, 202.8096771, -10.9676304, 11.212, GO17050_LC|GO17068_LC
212582848, 200.3188934, -10.9663239, 11.383, GO17050_LC|GO17068_LC
