# Summary of K2 Program GO17052

Title: Cool Star Flares Through Time

PI: Barclay, Thomas (University of Maryland, Baltimore County)
CoIs: Elisa Quintana (NASA GSFC), Joshua Schlieder (NASA GSFC), James Davenport (WWU)



# Targets requested by this program that have been observed (45)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212402103, 205.0480042, -14.8664322, 14.835, GO17025_LC|GO17052_LC|GO17057_LC|GO17063_LC|GO17052_SC|GO17057_SC
212405060, 205.1430054, -14.7979164, 12.496, GO17001_LC|GO17052_LC|GO17063_LC|GO17065_LC|GO17068_LC|GO17052_SC
212424143, 202.3504028, -14.3700962, 12.011, GO17001_LC|GO17052_LC|GO17063_LC|GO17068_LC|GO17052_SC
212438743, 200.9341888, -14.0460176, 11.061, GO17001_LC|GO17038_LC|GO17052_LC|GO17063_LC|GO17065_LC|GO17068_LC|GO17052_SC
212518629, 199.1893158, -12.3389406, 12.46, GO17001_LC|GO17038_LC|GO17052_LC|GO17063_LC|GO17065_LC|GO17068_LC|GO17052_SC
212518679, 200.7931976, -12.3381214, 12.162, GO17001_LC|GO17052_LC|GO17063_LC|GO17068_LC|GO17052_SC
212556566, 204.6703491, -11.5354939, 12.856, GO17001_LC|GO17052_LC|GO17063_LC|GO17064_LC|GO17068_LC|GO17052_SC
212560714, 201.2988434, -11.4436436, 11.274, GO17001_LC|GO17052_LC|GO17063_LC|GO17065_LC|GO17068_LC|GO17052_SC
212568383, 203.0285645, -11.2779856, 11.514, GO17038_LC|GO17052_LC|GO17065_LC|GO17068_LC|GO17052_SC
212578572, 208.6022186, -11.0600939, 12.058, GO17001_LC|GO17052_LC|GO17063_LC|GO17065_LC|GO17068_LC|GO17052_SC
212610229, 207.5867767, -10.3586702, 11.753, GO17001_LC|GO17052_LC|GO17063_LC|GO17065_LC|GO17068_LC|GO17052_SC
212610328, 201.8878632, -10.356596, 13.236, GO17052_LC|GO17063_LC|GO17068_LC|GO17052_SC
212611828, 199.2058563, -10.3217621, 12.846, GO17001_LC|GO17052_LC|GO17063_LC|GO17068_LC|GO17052_SC
212620828, 198.0931244, -10.1184988, 9.964, GO17038_LC|GO17049_LC|GO17052_LC|GO17063_LC|GO17065_LC|GO17068_LC|GO17052_SC
212652474, 206.3566589, -9.3895702, 11.998, GO17001_LC|GO17052_LC|GO17063_LC|GO17068_LC|GO17052_SC
212662886, 200.4073334, -9.1462994, 11.662, GO17001_LC|GO17043_LC|GO17052_LC|GO17063_LC|GO17068_LC|GO17052_SC
212663959, 205.3384552, -9.1213942, 12.23, GO17001_LC|GO17052_LC|GO17063_LC|GO17065_LC|GO17068_LC|GO17052_SC
212679181, 201.7371826, -8.7630129, 12.011, GO17001_LC|GO17027_LC|GO17048_LC|GO17052_LC|GO17063_LC|GO17065_LC|GO17068_LC|GO17027_SC|GO17052_SC|GO17063_SC
212681560, 208.8029175, -8.7072096, 11.906, GO17001_LC|GO17052_LC|GO17063_LC|GO17068_LC|GO17052_SC
212681564, 202.5115662, -8.7071047, 11.824, GO17001_LC|GO17011_LC|GO17038_LC|GO17052_LC|GO17063_LC|GO17065_LC|GO17068_LC|GO17052_SC
212696716, 203.6800232, -8.3420401, 9.091, GO17003_LC|GO17014_LC|GO17038_LC|GO17043_LC|GO17049_LC|GO17052_LC|GO17068_LC|GO17052_SC
212703179, 208.6077271, -8.179204, 11.251, GO17052_LC|GO17063_LC|GO17068_LC|GO17052_SC
212710520, 202.874054, -7.9998622, 11.722, GO17001_LC|GO17052_LC|GO17063_LC|GO17065_LC|GO17068_LC|GO17052_SC
212712577, 208.795166, -7.9497328, 10.86, GO17001_LC|GO17011_LC|GO17052_LC|GO17063_LC|GO17068_LC|GO17052_SC
212734783, 208.896347, -7.3879771, 11.603, GO17001_LC|GO17026_LC|GO17038_LC|GO17052_LC|GO17063_LC|GO17068_LC|GO17052_SC
212776174, 204.7445526, -6.2368031, 10.03, GO17001_LC|GO17003_LC|GO17026_LC|GO17038_LC|GO17052_LC|GO17063_LC|GO17065_LC|GO17068_LC|GO17052_SC
212779563, 206.8476868, -6.1368742, 9.945, GO17038_LC|GO17046_LC|GO17052_LC|GO17065_LC|GO17068_LC|GO17052_SC
212807182, 207.7729187, -5.3196602, 12.229, GO17001_LC|GO17052_LC|GO17063_LC|GO17065_LC|GO17068_LC|GO17052_SC
212810669, 205.8430939, -5.2088852, 12.541, GO17001_LC|GO17052_LC|GO17063_LC|GO17065_LC|GO17068_LC|GO17052_SC
212826600, 203.1017761, -4.6868572, 13.755, GO17008_LC|GO17025_LC|GO17052_LC|GO17057_LC|GO17068_LC|GO17052_SC|GO17057_SC
212828608, 206.2722473, -4.6203408, 9.99, GO17003_LC|GO17005_LC|GO17038_LC|GO17043_LC|GO17049_LC|GO17052_LC|GO17063_LC|GO17065_LC|GO17068_LC|GO17052_SC
212840848, 205.0297089, -4.1861, 8.906, GO17001_LC|GO17014_LC|GO17038_LC|GO17052_LC|GO17063_LC|GO17068_LC|GO17052_SC
212846068, 202.1009064, -3.98684, 11.24, GO17001_LC|GO17038_LC|GO17052_LC|GO17063_LC|GO17065_LC|GO17068_LC|GO17052_SC
212872362, 207.0042114, -3.0757999, 14.09, GO17052_LC|GO17067_LC|GO17068_LC|GO17052_SC
212874829, 202.4854889, -2.9788361, 11.854, GO17001_LC|GO17052_LC|GO17063_LC|GO17065_LC|GO17068_LC|GO17052_SC
212885936, 205.2604218, -2.36674, 15.261, GO17052_LC|GO17054_LC|GO17063_LC|GO17067_LC|GO17068_LC|GO17052_SC
251512053, 196.575058, -3.642811, 10.654, GO17001_LC|GO17038_LC|GO17052_LC|GO17063_LC|GO17068_LC|GO17052_SC
251540467, 200.465357, -2.62882, 11.492, GO17001_LC|GO17052_LC|GO17063_LC|GO17065_LC|GO17068_LC|GO17052_SC
251550724, 202.087831, -2.360283, 10.159, GO17001_LC|GO17014_LC|GO17038_LC|GO17046_LC|GO17052_LC|GO17063_LC|GO17067_LC|GO17068_LC|GO17052_SC
251550788, 202.089731, -2.358925, 11.712, GO17014_LC|GO17038_LC|GO17052_LC|GO17067_LC|GO17068_LC|GO17052_SC
251567386, 203.440841, -2.013658, 12.308, GO17001_LC|GO17026_LC|GO17052_LC|GO17063_LC|GO17065_LC|GO17067_LC|GO17068_LC|GO17052_SC
251571170, 204.357274, -1.935799, 12.837, GO17052_LC|GO17063_LC|GO17065_LC|GO17067_LC|GO17068_LC|GO17052_SC
251583439, 205.608481, -1.686274, 9.016, GO17003_LC|GO17014_LC|GO17038_LC|GO17043_LC|GO17052_LC|GO17065_LC|GO17067_LC|GO17068_LC|GO17052_SC
251583820, 200.052329, -1.678028, 12.436, GO17001_LC|GO17014_LC|GO17052_LC|GO17063_LC|GO17065_LC|GO17067_LC|GO17068_LC|GO17052_SC
251584738, 200.103918, -1.657507, 10.905, GO17001_LC|GO17014_LC|GO17038_LC|GO17052_LC|GO17063_LC|GO17065_LC|GO17067_LC|GO17068_LC|GO17052_SC
