# Summary of K2 Program GO17054

Title: Gyrochronology and Magnetic Activity in Wide Binaries with K2

PI: Otani, Tomomi (Embry-Riddle Aeronautical University)
CoIs: Derek Buzasi (Florida Gulf Coast University), James Davenport (Western Washington University), Terry Oswalt (Embry-Riddle Aeronautical University)



# Targets requested by this program that have been observed (77)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212406799, 204.4187317, -14.7589588, 15.433, GO17054_LC|GO17068_LC
212427202, 205.4555817, -14.300765, 10.919, GO17054_LC|GO17068_LC
212466390, 198.3224335, -13.4532766, 11.11, GO17049_LC|GO17054_LC|GO17065_LC
212490989, 202.5948029, -12.9277964, 10.057, GO17054_LC|GO17068_LC
212536858, 199.397583, -11.9503717, 10.98, GO17049_LC|GO17054_LC|GO17065_LC|GO17068_LC
212554468, 206.762085, -11.5794096, 12.272, GO17049_LC|GO17054_LC|GO17065_LC
212580720, 207.4482727, -11.012907, 9.5, GO17003_LC|GO17032_LC|GO17038_LC|GO17049_LC|GO17054_LC|GO17065_LC
212590172, 204.3765564, -10.8096981, 11.829, GO17054_LC|GO17063_LC|GO17065_LC|GO17068_LC
212590460, 204.3999481, -10.8035059, 8.922, GO17032_LC|GO17049_LC|GO17054_LC|GO17065_LC
212637484, 204.5530396, -9.7333632, 10.503, GO17049_LC|GO17054_LC
212637609, 204.5544281, -9.7308006, 10.617, GO17003_LC|GO17049_LC|GO17054_LC|GO17065_LC
212679925, 202.4845734, -8.746666, 13.024, GO17054_LC|GO17068_LC
212698242, 207.7466888, -8.3057384, 15.655, GO17054_LC|GO17068_LC
212719942, 208.4735565, -7.7666359, 11.674, GO17003_LC|GO17011_LC|GO17054_LC|GO17065_LC
212722953, 208.6436005, -7.689497, 12.672, GO17049_LC|GO17054_LC|GO17065_LC
212739896, 208.165451, -7.2536721, 9.791, GO17003_LC|GO17032_LC|GO17049_LC|GO17054_LC|GO17065_LC
212744376, 200.1300964, -7.1330762, 11.319, GO17003_LC|GO17049_LC|GO17054_LC|GO17065_LC
212744952, 200.5657196, -7.1162729, 15.123, GO17054_LC|GO17063_LC|GO17068_LC
212747480, 200.1363068, -7.049377, 15.669, GO17054_LC|GO17063_LC|GO17068_LC
212793022, 209.3389435, -5.7498631, 13.679, GO17049_LC|GO17054_LC|GO17068_LC
212828909, 202.2516022, -4.6102281, 12.244, GO17027_LC|GO17048_LC|GO17049_LC|GO17054_LC|GO17065_LC|GO17068_LC|GO17027_SC
212834691, 203.3225708, -4.4081922, 11.819, GO17049_LC|GO17054_LC|GO17065_LC
212849317, 201.9167023, -3.859262, 13.054, GO17049_LC|GO17054_LC|GO17063_LC|GO17068_LC
212855341, 207.0702515, -3.620934, 10.912, GO17054_LC|GO17065_LC|GO17067_LC
212870031, 206.9810028, -3.1613669, 9.043, GO17003_LC|GO17049_LC|GO17054_LC|GO17067_LC
212871867, 202.654892, -3.093919, 15.13, GO17054_LC|GO17063_LC|GO17068_LC
212873348, 203.0730591, -3.0389299, 14.345, GO17049_LC|GO17054_LC|GO17067_LC|GO17068_LC
212885936, 205.2604218, -2.36674, 15.261, GO17052_LC|GO17054_LC|GO17063_LC|GO17067_LC|GO17068_LC|GO17052_SC
251496866, 196.445131, -5.086143, 11.46, GO17054_LC
251496966, 196.462026, -5.074102, 10.423, GO17003_LC|GO17054_LC|GO17065_LC
251506195, 196.387438, -4.093586, 13.195, GO17054_LC|GO17068_LC
251506231, 196.390952, -4.090136, 15.293, GO17054_LC|GO17063_LC|GO17068_LC
251539584, 200.469501, -2.654811, 10.763, GO17003_LC|GO17054_LC|GO17065_LC
251543390, 201.322987, -2.546916, 10.496, GO17003_LC|GO17054_LC|GO17065_LC
251548613, 206.482149, -2.41196, 11.295, GO17054_LC|GO17065_LC|GO17067_LC|GO17068_LC
251549053, 199.926645, -2.400338, 14.523, GO17054_LC|GO17063_LC|GO17068_LC
251549358, 201.090407, -2.392776, 13.392, GO17054_LC|GO17063_LC|GO17067_LC|GO17068_LC
251549538, 201.095558, -2.388177, 16.148, GO17054_LC|GO17063_LC|GO17067_LC|GO17068_LC
251560875, 201.371611, -2.150211, 11.384, GO17054_LC|GO17065_LC|GO17067_LC
251568691, 201.045196, -1.986637, 9.85, GO17003_LC|GO17054_LC|GO17065_LC|GO17067_LC
251571672, 200.896243, -1.92576, 12.397, GO17046_LC|GO17054_LC|GO17065_LC|GO17067_LC
251573031, 201.151719, -1.898624, 15.665, GO17054_LC|GO17063_LC|GO17067_LC|GO17068_LC
251573361, 201.159108, -1.892491, 14.073, GO17054_LC|GO17063_LC|GO17067_LC|GO17068_LC
251585706, 204.215941, -1.636728, 11.287, GO17003_LC|GO17054_LC|GO17065_LC|GO17067_LC
251588529, 204.459328, -1.575945, 10.703, GO17054_LC|GO17067_LC|GO17068_LC
251590640, 205.234855, -1.529156, 13.505, GO17054_LC|GO17067_LC|GO17068_LC
251598303, 206.944409, -1.363616, 16.086, GO17054_LC|GO17067_LC
251810685, , , , GO17054_LC
251810686, , , , GO17054_LC
251810687, , , , GO17054_LC
251810688, , , , GO17054_LC
251810690, , , , GO17054_LC
251810691, , , , GO17054_LC
251810692, , , , GO17054_LC
251810695, , , , GO17054_LC
251810696, , , , GO17054_LC
251810697, , , , GO17054_LC
251810698, , , , GO17054_LC
251810699, , , , GO17054_LC
251810701, , , , GO17054_LC
251810702, , , , GO17054_LC
251810703, , , , GO17054_LC
251810704, , , , GO17054_LC
251810705, , , , GO17054_LC
251810706, , , , GO17054_LC
251810707, , , , GO17054_LC
251810708, , , , GO17054_LC
251810709, , , , GO17054_LC
251810710, , , , GO17054_LC
251810711, , , , GO17054_LC
251810712, , , , GO17054_LC
251810713, , , , GO17054_LC
251810714, , , , GO17054_LC
251810715, , , , GO17054_LC
251810716, , , , GO17054_LC
251810717, , , , GO17054_LC
251810718, , , , GO17054_LC
