# Summary of K2 Program GO17063

Title: The K2 M Dwarf Project

PI: Dressing, Courtney (University of California, Berkeley)
CoIs: Ian Crossfield (MIT), Joshua Schlieder (NASA Goddard), Kevin Hardegree-Ullman(University of Toledo), Jessie Christiansen (NExScI/IPAC), Erik Petigura (Caltech)



# Targets requested by this program that have been observed (3210)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212396132, 205.3739471, -15.0028954, 16.592, GO17063_LC
212398170, 205.4136353, -14.955328, 15.895, GO17063_LC|GO17068_LC
212398488, 205.6251068, -14.9475641, 15.673, GO17063_LC|GO17068_LC
212399530, 205.0707703, -14.9243975, 14.633, GO17063_LC|GO17068_LC
212399789, 205.6775665, -14.9188423, 16.697, GO17063_LC
212401155, 205.6398315, -14.8883829, 13.495, GO17063_LC|GO17068_LC
212402103, 205.0480042, -14.8664322, 14.835, GO17025_LC|GO17052_LC|GO17057_LC|GO17063_LC|GO17052_SC|GO17057_SC
212403251, 205.77005, -14.8403568, 16.521, GO17063_LC
212405060, 205.1430054, -14.7979164, 12.496, GO17001_LC|GO17052_LC|GO17063_LC|GO17065_LC|GO17068_LC|GO17052_SC
212405706, 203.964447, -14.7834187, 15.191, GO17063_LC|GO17068_LC
212406628, 205.0885162, -14.7625113, 14.358, GO17063_LC|GO17068_LC
212406767, 204.9304962, -14.7594023, 16.769, GO17063_LC
212406967, 205.4723969, -14.7548943, 16.409, GO17063_LC
212407057, 204.0133209, -14.7528009, 16.799, GO17063_LC
212407442, 203.4051208, -14.744873, 15.842, GO17063_LC|GO17068_LC
212408067, 205.1080017, -14.7305899, 13.988, GO17063_LC|GO17068_LC
212408691, 204.3028717, -14.715765, 14.29, GO17063_LC|GO17068_LC
212411860, 202.4089355, -14.6451778, 15.853, GO17063_LC|GO17068_LC
212412024, 205.1444092, -14.6416817, 16.525, GO17063_LC
212412087, 204.9590912, -14.6402254, 16.501, GO17063_LC
212413752, 204.2503357, -14.6015797, 15.706, GO17063_LC|GO17068_LC
212414057, 205.444519, -14.5945778, 13.488, GO17063_LC|GO17068_LC
212414468, 205.3880463, -14.5866003, 17.199, GO17063_LC
212415089, 205.0855865, -14.5729399, 16.588, GO17063_LC
212415116, 202.8193359, -14.5725307, 16.061, GO17063_LC|GO17068_LC
212415320, 205.1447449, -14.567585, 14.764, GO17011_LC|GO17063_LC|GO17068_LC
212415397, 205.3233337, -14.5657902, 16.815, GO17063_LC
212415899, 203.8492279, -14.554678, 11.865, GO17026_LC|GO17063_LC|GO17065_LC
212416367, 204.7320862, -14.5440836, 13.187, GO17049_LC|GO17063_LC|GO17068_LC
212416677, 202.6452942, -14.5364647, 15.52, GO17063_LC|GO17068_LC
212416690, 201.6230927, -14.5361729, 14.186, GO17063_LC|GO17068_LC
212418126, 205.7643433, -14.5042896, 15.177, GO17063_LC|GO17068_LC
212418332, 202.7586212, -14.4999208, 16.502, GO17063_LC
212418369, 205.0614166, -14.4992943, 16.353, GO17063_LC
212418579, 201.3149414, -14.4946756, 14.44, GO17011_LC|GO17063_LC|GO17068_LC
212418596, 205.7643127, -14.4942455, 16.555, GO17063_LC
