# Summary of K2 Program GO17064

Title: Fast Rotation And Flares In The Local Population Of Young K And M Dwarfs

PI: Lepine, Sebastien (Georgia State University)
CoIs: 



# Targets requested by this program that have been observed (19)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212426904, 201.870697, -14.3068933, 15.519, GO17063_LC|GO17064_LC|GO17068_LC
212449290, 202.6764984, -13.8176394, 16.309, GO17063_LC|GO17064_LC
212477591, 202.5595245, -13.2174301, 16.545, GO17063_LC|GO17064_LC
212478993, 200.816864, -13.1874266, 15.218, GO17063_LC|GO17064_LC|GO17068_LC
212497362, 199.9136353, -12.7902899, 16.569, GO17063_LC|GO17064_LC
212520127, 207.4723206, -12.3077335, 16.474, GO17063_LC|GO17064_LC
212556566, 204.6703491, -11.5354939, 12.856, GO17001_LC|GO17052_LC|GO17063_LC|GO17064_LC|GO17068_LC|GO17052_SC
212559088, 201.013031, -11.47999, 15.054, GO17063_LC|GO17064_LC|GO17068_LC
212562145, 208.7689056, -11.4123116, 14.856, GO17011_LC|GO17063_LC|GO17064_LC|GO17068_LC
212576493, 204.3926239, -11.1039009, 14.162, GO17011_LC|GO17063_LC|GO17064_LC|GO17068_LC
212580081, 204.4493256, -11.0277748, 18.233, GO17046_LC|GO17064_LC
212589901, 206.8429871, -10.8157673, 13.682, GO17063_LC|GO17064_LC|GO17068_LC
212601233, 204.8380127, -10.5616655, 14.997, GO17011_LC|GO17063_LC|GO17064_LC|GO17068_LC
212601505, 202.6416626, -10.5553885, 14.486, GO17063_LC|GO17064_LC|GO17068_LC
212603977, 204.4267731, -10.4998245, 14.413, GO17049_LC|GO17063_LC|GO17064_LC|GO17068_LC
212605263, 198.6651001, -10.470787, 15.115, GO17063_LC|GO17064_LC|GO17068_LC
212619206, 199.7673492, -10.1547346, 15.542, GO17063_LC|GO17064_LC|GO17068_LC
212621610, 201.8071136, -10.0996485, 16.679, GO17063_LC|GO17064_LC
212624645, 200.2857208, -10.0299282, 14.483, GO17063_LC|GO17064_LC|GO17068_LC
