# Summary of K2 Program GO17065

Title: Characterizing Small K2 Planets With The HARPS-N Spectrograph

PI: Dressing, Courtney (University of California, Berkeley)
CoIs: David Charbonneau, Raphaelle Haywood, David Latham, Mercedes Lopez-Morales, & Dimitar Sasselov (Harvard University) and Andrew Vanderburg (University of Texas, Austin)



# Targets requested by this program that have been observed (3326)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212394446, 205.6883392, -15.0417433, 9.356, GO17003_LC|GO17049_LC|GO17065_LC
212394734, 205.7234192, -15.0352497, 8.58, GO17003_LC|GO17049_LC|GO17065_LC
212396760, 205.6980133, -14.9877291, 12.954, GO17049_LC|GO17065_LC
212398610, 205.2131195, -14.94454, 12.527, GO17049_LC|GO17065_LC|GO17068_LC
212401433, 205.6694946, -14.8817701, 12.67, GO17049_LC|GO17065_LC
212402502, 205.7049103, -14.8574448, 11.086, GO17003_LC|GO17049_LC|GO17065_LC
212403342, 204.1457672, -14.8380356, 12.822, GO17049_LC|GO17065_LC|GO17068_LC
212403671, 203.8919067, -14.8301258, 9.508, GO17003_LC|GO17030_LC|GO17049_LC|GO17065_LC
212404051, 203.8665466, -14.8211861, 12.829, GO17049_LC|GO17065_LC
212404097, 205.1513062, -14.8200788, 12.094, GO17049_LC|GO17065_LC
212404503, 205.1721954, -14.8104801, 10.157, GO17049_LC|GO17065_LC
212404635, 203.7675018, -14.8073654, 11.16, GO17003_LC|GO17049_LC|GO17065_LC
212405060, 205.1430054, -14.7979164, 12.496, GO17001_LC|GO17052_LC|GO17063_LC|GO17065_LC|GO17068_LC|GO17052_SC
212405413, 204.2888184, -14.7900629, 12.6, GO17049_LC|GO17065_LC
212405589, 203.9416199, -14.7863302, 12.36, GO17003_LC|GO17049_LC|GO17065_LC
212406059, 205.5142212, -14.7754469, 12.335, GO17049_LC|GO17065_LC
212406224, 205.1565094, -14.7712326, 12.646, GO17049_LC|GO17065_LC
212406933, 204.4217377, -14.75564, 12.199, GO17049_LC|GO17065_LC
212407998, 203.4476929, -14.7322245, 12.437, GO17003_LC|GO17049_LC|GO17065_LC
212408274, 203.329361, -14.7260151, 11.521, GO17049_LC|GO17050_LC|GO17065_LC|GO17068_LC
212408752, 205.4074707, -14.7142401, 12.864, GO17049_LC|GO17065_LC
212408903, 204.7647858, -14.7108593, 12.38, GO17003_LC|GO17049_LC|GO17065_LC
212408911, 203.5068512, -14.7106342, 12.917, GO17049_LC|GO17065_LC
212408918, 205.3074646, -14.7104158, 11.811, GO17049_LC|GO17065_LC
212409151, 205.7197723, -14.7054815, 12.989, GO17049_LC|GO17065_LC
212410594, 205.5873871, -14.6736526, 12.74, GO17049_LC|GO17065_LC
212410961, 202.5703125, -14.6657114, 12.513, GO17049_LC|GO17065_LC|GO17068_LC
212410994, 205.0809631, -14.6648674, 12.466, GO17049_LC|GO17065_LC|GO17068_LC
212411408, 205.3359375, -14.6553011, 12.256, GO17049_LC|GO17065_LC
212411462, 202.789978, -14.6537743, 12.417, GO17049_LC|GO17065_LC
212413264, 204.7067413, -14.6132135, 12.613, GO17049_LC|GO17065_LC
212413767, 205.049469, -14.601305, 11.831, GO17049_LC|GO17065_LC
212414133, 205.5336609, -14.5931883, 11.179, GO17049_LC|GO17065_LC
212414170, 204.9940186, -14.5925722, 12.953, GO17049_LC|GO17065_LC
212414370, 202.5068817, -14.5887003, 12.629, GO17049_LC|GO17065_LC
212415221, 202.6136627, -14.569828, 9.359, GO17003_LC|GO17038_LC|GO17049_LC|GO17065_LC
212415899, 203.8492279, -14.554678, 11.865, GO17026_LC|GO17063_LC|GO17065_LC
212416187, 202.1173553, -14.5478754, 11.942, GO17049_LC|GO17065_LC
212416516, 204.3884735, -14.5404539, 11.866, GO17049_LC|GO17065_LC
212417392, 205.7227325, -14.519516, 12.46, GO17049_LC|GO17065_LC
212417399, 205.285614, -14.5193214, 10.984, GO17003_LC|GO17049_LC|GO17065_LC
212417478, 205.1054535, -14.5177574, 11.154, GO17049_LC|GO17065_LC
212417563, 202.7730865, -14.5159216, 12.455, GO17049_LC|GO17065_LC
212417962, 204.0559235, -14.5076694, 10.523, GO17003_LC|GO17049_LC|GO17065_LC
212418801, 201.2500305, -14.4893456, 12.993, GO17049_LC|GO17065_LC
212419381, 203.3905945, -14.4763861, 12.16, GO17049_LC|GO17065_LC
212419453, 202.3918762, -14.4747467, 12.686, GO17026_LC|GO17049_LC|GO17065_LC|GO17068_LC
212419503, 205.3014984, -14.4738169, 12.505, GO17049_LC|GO17065_LC
212419795, 201.9320984, -14.4672499, 10.573, GO17011_LC|GO17049_LC|GO17065_LC
212420176, 203.7041016, -14.4591732, 12.005, GO17049_LC|GO17065_LC
212420881, 202.6898956, -14.4434109, 12.937, GO17049_LC|GO17065_LC|GO17068_LC
212421632, 205.4632721, -14.4266939, 12.56, GO17049_LC|GO17065_LC
212422016, 204.9801483, -14.4183874, 11.811, GO17049_LC|GO17065_LC
212422149, 205.562149, -14.4154911, 10.228, GO17049_LC|GO17050_LC|GO17065_LC|GO17068_LC
212422200, 203.7348175, -14.4142113, 12.0, GO17049_LC|GO17065_LC
212422313, 202.5567627, -14.411478, 12.627, GO17049_LC|GO17065_LC
212422360, 205.3504944, -14.4104328, 12.745, GO17049_LC|GO17065_LC|GO17068_LC
