# Summary of K2 Program GO18017

Title: Investigating Galactic Carbon Stars with K2: The Bulge and Halo Population

PI: Kraemer, Kathleen (Boston College)
CoIs: G. C. Sloan (STScI, UNC Chapel Hill), J. J. Hermes (UNC Chapel Hill)



# Targets requested by this program that have been observed (14)
EPIC,RA,Dec,Kp,InvestigationIDs
200233194,,,,GO18017|GO18051|X_CANCRI-LC-BRIGHT_STAR_DISC
211347779,127.37093,10.77338,11.95000,GO18017_LC|GO18067_LC
211357895,132.64972,10.95434,18.00000,GO18008_LC|GO18017_LC|GO18025_LC|GO18038_LC|GO18057_LC
211675588,132.76407,15.58515,18.46400,GO18017_LC|GO18022_LC
211685664,127.58845,15.72212,16.57600,GO18017_LC
211793963,133.84534,17.23128,5.35100,GO18017_LC|GO18051_LC
211802212,134.35762,17.34775,16.54800,GO18017_LC|GO18022_LC
211936590,125.05714,19.27370,19.12300,GO18017_LC|GO18022_LC
211963201,126.52271,19.67376,19.51200,GO18017_LC|GO18022_LC
211974633,134.16725,19.84915,7.03300,GO18017_LC
212146514,130.74918,22.95826,17.22000,GO18017_LC|GO18022_LC
251812042,133.14400,10.58493,19.80000,GO18017_LC|GO18022_LC
251812043,134.38464,20.66165,19.70000,GO18017_LC|GO18022_LC
251812044,123.55612,14.67016,20.20000,GO18017_LC|GO18022_LC
