# Summary of K2 Program GO18026

Title: Searching For Extended Exoplanetary Atmospheres Around Active Stars

PI: Jensen, Adam (University of Nebraska-Kearney)
CoIs: Austin Ryan (University of Nebraska-Kearney), Seth Redfield (Wesleyan University), Michael Endl (University of Texas-Austin), P. Wilson Cauley (Arizona State University)



# Targets requested by this program that have been observed (30)
EPIC,RA,Dec,Kp,InvestigationIDs
211376702,128.27074,11.26818,8.60200,GO18003_LC|GO18026_LC|GO18032_LC|GO18036_LC|GO18043_LC|GO18049_LC|GO18050_LC|GO18067_LC
211392382,129.96164,11.52267,8.25000,GO18005_LC|GO18014_LC|GO18026_LC|GO18038_LC|GO18043_LC|GO18047_LC|GO18049_LC|GO18065_LC|GO18067_LC|GO18047_SC
211487634,129.81584,12.96037,8.48700,GO18026_LC|GO18038_LC|GO18043_LC|GO18049_LC|GO18065_LC
211491918,123.64964,13.02283,8.74000,GO18014_LC|GO18026_LC|GO18038_LC|GO18043_LC|GO18049_LC|GO18052_LC|GO18065_LC|GO18067_LC|GO18052_SC
211566266,125.23054,14.07134,9.23100,GO18003_LC|GO18005_LC|GO18014_LC|GO18026_LC|GO18038_LC|GO18043_LC|GO18049_LC|GO18052_LC|GO18063_LC|GO18052_SC
211575521,124.80579,14.20068,7.72200,GO18003_LC|GO18005_LC|GO18026_LC|GO18032_LC|GO18038_LC|GO18043_LC|GO18049_LC|GO18065_LC
211790538,126.18917,17.18175,6.97800,GO18003_LC|GO18026_LC|GO18036_LC|GO18038_LC|GO18049_LC
211811597,134.19162,17.48135,7.48000,GO18026_LC|GO18036_LC|GO18038_LC|GO18043_LC|GO18050_LC|GO18051_LC|GO18068_LC
211910082,129.89807,18.87690,10.58200,GO18003_LC|GO18011_LC|GO18023_LC|GO18026_LC|GO18039_LC|GO18049_LC|GO18062_LC|GO18065_LC
211927867,130.40085,19.14265,9.35100,GO18003_LC|GO18011_LC|GO18023_LC|GO18026_LC|GO18036_LC|GO18039_LC|GO18049_LC
211935509,129.20403,19.25735,11.04500,GO18011_LC|GO18023_LC|GO18026_LC|GO18039_LC|GO18049_LC|GO18062_LC|GO18065_LC
211944807,130.63438,19.39619,10.82500,GO18003_LC|GO18011_LC|GO18023_LC|GO18026_LC|GO18039_LC|GO18049_LC|GO18062_LC|GO18065_LC
211956059,130.17700,19.56601,11.19500,GO18011_LC|GO18023_LC|GO18026_LC|GO18039_LC|GO18049_LC|GO18062_LC|GO18065_LC
211971690,129.29785,19.80369,11.14500,GO18003_LC|GO18011_LC|GO18023_LC|GO18026_LC|GO18039_LC|GO18049_LC|GO18062_LC|GO18065_LC
211972627,130.29294,19.81861,11.35300,GO18011_LC|GO18023_LC|GO18026_LC|GO18039_LC|GO18049_LC|GO18062_LC|GO18065_LC
211980142,130.23723,19.93485,8.62900,GO18011_LC|GO18026_LC|GO18030_LC|GO18039_LC|GO18049_LC
211980688,130.35767,19.94357,10.60900,GO18011_LC|GO18023_LC|GO18026_LC|GO18039_LC|GO18049_LC|GO18062_LC|GO18065_LC
211982221,133.48056,19.96713,6.51600,GO18026_LC|GO18032_LC|GO18050_LC|GO18051_LC
211985076,129.39090,20.01367,8.63300,GO18011_LC|GO18026_LC|GO18030_LC|GO18039_LC|GO18049_LC
211986473,130.58386,20.03659,9.67400,GO18003_LC|GO18011_LC|GO18023_LC|GO18026_LC|GO18032_LC|GO18039_LC|GO18049_LC|GO18065_LC
211988287,129.97943,20.06502,10.07600,GO18011_LC|GO18023_LC|GO18026_LC|GO18039_LC|GO18049_LC|GO18062_LC|GO18065_LC
211992034,129.19050,20.12395,11.42400,GO18011_LC|GO18023_LC|GO18026_LC|GO18039_LC|GO18049_LC|GO18062_LC|GO18065_LC
211993818,126.20492,20.15299,7.21800,GO18026_LC|GO18043_LC|GO18050_LC
211995547,130.59006,20.18164,9.36000,GO18003_LC|GO18011_LC|GO18023_LC|GO18026_LC|GO18030_LC|GO18039_LC|GO18049_LC
212011152,129.53372,20.43953,11.46600,GO18011_LC|GO18023_LC|GO18026_LC|GO18039_LC|GO18049_LC|GO18062_LC|GO18065_LC
212018902,129.56247,20.56784,11.19700,GO18003_LC|GO18011_LC|GO18023_LC|GO18026_LC|GO18039_LC|GO18049_LC|GO18062_LC|GO18065_LC
212019252,130.70197,20.57343,12.14400,GO18011_LC|GO18023_LC|GO18026_LC|GO18039_LC|GO18049_LC|GO18062_LC|GO18065_LC|GO18068_LC
212019439,129.69211,20.57678,12.12600,GO18011_LC|GO18023_LC|GO18026_LC|GO18039_LC|GO18049_LC|GO18062_LC|GO18065_LC|GO18068_LC
212024154,129.88350,20.65566,11.76300,GO18011_LC|GO18023_LC|GO18026_LC|GO18039_LC|GO18049_LC|GO18062_LC|GO18065_LC|GO18068_LC
212075775,130.15099,21.56172,11.45300,GO18011_LC|GO18023_LC|GO18026_LC|GO18039_LC|GO18049_LC|GO18062_LC|GO18065_LC
