# Summary of K2 Program GO19001

Title: Rotation of M dwarfs: Spindown, activity, and gyrochronology

PI: Scholz, Aleks (University of St Andrews)
CoIs: B. Stelzer, S. Ratz (Tubingen), M. Damasso (Torino), Sean Matt (Exeter)



# Targets requested by this program that have been observed (24)
EPIC,RA,Dec,Kp,InvestigationIDs
246001292,351.53525,-9.45147,11.86100,GO19001_LC|GO19049_LC|GO19052_LC|GO19063_LC|GO19065_LC|GO19068_LC
246033148,352.57028,-8.64374,12.16600,GO19001_LC|GO19038_LC|GO19052_LC|GO19063_LC|GO19065_LC|GO19068_LC
246079058,350.78670,-7.59522,12.04800,GO19001_LC|GO19052_LC|GO19063_LC|GO19065_LC|GO19068_LC
246093819,345.90167,-7.27502,12.28400,GO19001_LC|GO19052_LC|GO19063_LC|GO19065_LC|GO19068_LC|GO19052_SC
246132735,352.94850,-6.43068,13.09700,GO19001_LC|GO19052_LC|GO19063_LC|GO19068_LC|GO19052_SC
246141580,345.44235,-6.23964,12.17200,GO19001_LC|GO19038_LC|GO19040_LC|GO19052_LC|GO19063_LC|GO19065_LC|GO19068_LC|GO19052_SC
246179278,351.98130,-5.45039,12.52100,GO19001_LC|GO19038_LC|GO19052_LC|GO19063_LC|GO19065_LC|GO19068_LC
246182783,351.34897,-5.37908,12.33400,GO19001_LC|GO19052_LC|GO19063_LC|GO19065_LC|GO19068_LC
246191912,351.02347,-5.18709,12.50500,GO19001_LC|GO19038_LC|GO19052_LC|GO19063_LC|GO19065_LC|GO19068_LC|GO19052_SC
246238886,346.83270,-4.25914,9.90900,GO19001_LC|GO19052_LC|GO19063_LC
246301900,350.54538,-3.02834,10.80700,GO19001_LC|GO19026_LC|GO19049_LC|GO19052_LC|GO19063_LC|GO19065_LC|GO19068_LC
246310210,352.29724,-2.86108,12.39000,GO19001_LC|GO19052_LC|GO19063_LC|GO19065_LC|GO19068_LC
246333864,353.79395,-2.38949,11.66700,GO19001_LC|GO19011_LC|GO19038_LC|GO19052_LC|GO19063_LC|GO19065_LC|GO19068_LC|GO19052_SC
246364217,350.24036,-1.79373,12.43600,GO19001_LC|GO19026_LC|GO19038_LC|GO19052_LC|GO19053_LC|GO19063_LC|GO19065_LC|GO19068_LC|GO19052_SC
246374497,350.29680,-1.59583,10.97500,GO19001_LC|GO19038_LC|GO19052_LC|GO19063_LC|GO19065_LC|GO19068_LC|GO19052_SC
246378594,349.15295,-1.51332,12.70900,GO19001_LC|GO19038_LC|GO19052_LC|GO19063_LC|GO19065_LC|GO19068_LC|GO19052_SC
246379501,344.42105,-1.49488,11.66200,GO19001_LC|GO19026_LC|GO19052_LC|GO19063_LC|GO19068_LC
246416211,346.61554,-0.49376,11.70000,GO19001_LC|GO19038_LC|GO19052_LC|GO19065_LC|GO19068_LC|GO19052_SC
246419402,347.77298,-0.39229,11.82900,GO19001_LC|GO19052_LC|GO19063_LC|GO19065_LC|GO19068_LC
246424810,344.18292,-0.22182,12.19500,GO19001_LC|GO19052_LC|GO19065_LC|GO19067_LC|GO19068_LC
246446811,352.09378,0.47766,12.21300,GO19001_LC|GO19026_LC|GO19052_LC|GO19063_LC|GO19065_LC|GO19068_LC
246461560,351.31815,0.96436,11.29000,GO19001_LC|GO19038_LC|GO19052_LC|GO19063_LC|GO19065_LC|GO19068_LC
251718998,344.03410,-0.16663,11.76400,GO19001_LC|GO19052_LC|GO19063_LC|GO19065_LC|GO19067_LC|GO19068_LC
251728337,344.22763,0.52369,10.35500,GO19001_LC|GO19052_LC|GO19063_LC|GO19067_LC|GO19068_LC|GO19052_SC
