# Summary of K2 Program GO19003

Title: Planets and Stellar Populations

PI: Cochran, William (University of Texas at Austin)
CoIs: Michael Endl (University of Texas at Austin), Davide Gandolfi (Universitat Heidelberg), Martin Patzold (Universitat zu Koln), Heike Rauer (DLR Berlin)



# Targets requested by this program that have been observed (804)
EPIC,rafloat,decfloat,Kp,InvestigationIDs
200262494,,,,GO19003|GO19026|GO19036|GO19038|GO19043|GO19049|GO19051|HR_8734-SC-BRIGHT_STAR_DISC
206359809,344.54650,-7.28707,10.47300,GO19003_LC|GO19049_LC|GO19065_LC
206366911,344.73056,-7.16880,10.60000,GO19003_LC|GO19049_LC|GO19065_LC
206393365,344.22144,-6.74040,10.72700,GO19003_LC|GO19049_LC|GO19065_LC
206398398,344.45810,-6.65828,11.85200,GO19003_LC|GO19049_LC|GO19065_LC
206399795,344.15448,-6.63559,12.03200,GO19003_LC|GO19040_LC|GO19049_LC|GO19050_LC|GO19065_LC
206400185,344.09958,-6.62924,10.97500,GO19003_LC|GO19049_LC|GO19065_LC
206402840,344.43185,-6.58585,8.79100,GO19003_LC|GO19036_LC|GO19049_LC
206404930,340.96304,-6.55248,10.14300,GO19003_LC|GO19049_LC|GO19065_LC
206406275,340.61105,-6.53042,9.97900,GO19003_LC|GO19049_LC
206408679,343.97446,-6.48952,9.10700,GO19003_LC|GO19049_LC|GO19065_LC
206412599,341.27470,-6.42481,11.47500,GO19003_LC|GO19049_LC|GO19065_LC
206415266,340.79526,-6.38030,10.60100,GO19003_LC|GO19049_LC|GO19065_LC
206416999,344.10510,-6.35067,11.68000,GO19003_LC|GO19049_LC|GO19065_LC
206417713,344.11540,-6.33867,11.39400,GO19003_LC|GO19049_LC|GO19065_LC
206419422,340.85928,-6.30967,10.85400,GO19003_LC|GO19049_LC|GO19065_LC
206421429,341.39810,-6.27588,10.77300,GO19003_LC|GO19050_LC|GO19068_LC
206423252,340.32477,-6.24603,9.57200,GO19003_LC|GO19032_LC|GO19049_LC|GO19065_LC
206423584,341.24942,-6.24040,10.38400,GO19003_LC|GO19050_LC|GO19068_LC
206425980,340.84494,-6.20045,11.53300,GO19003_LC|GO19049_LC|GO19065_LC
206426184,344.16495,-6.19703,11.04600,GO19003_LC|GO19049_LC|GO19065_LC
206428539,340.37130,-6.15744,8.58600,GO19003_LC|GO19038_LC|GO19049_LC|GO19065_LC
206430863,341.32382,-6.11867,11.98900,GO19003_LC|GO19049_LC|GO19065_LC
206431379,341.13574,-6.11050,11.40800,GO19003_LC|GO19049_LC|GO19065_LC
206432375,340.21695,-6.09456,11.51800,GO19003_LC|GO19049_LC|GO19065_LC
206435286,341.08823,-6.04641,10.82200,GO19003_LC|GO19049_LC|GO19065_LC
206437688,341.70690,-6.00686,11.22700,GO19003_LC|GO19049_LC|GO19065_LC|GO19068_LC
206441940,340.25240,-5.93877,11.28100,GO19003_LC|GO19049_LC|GO19065_LC
206442201,341.70483,-5.93435,9.38000,GO19003_LC|GO19030_LC|GO19049_LC|GO19065_LC
206442969,340.79210,-5.92174,10.81400,GO19003_LC|GO19049_LC|GO19065_LC
206444119,340.55383,-5.90269,11.69200,GO19003_LC|GO19049_LC|GO19050_LC|GO19065_LC
206448284,340.46024,-5.83473,10.61400,GO19003_LC|GO19049_LC|GO19065_LC
206452168,343.51083,-5.76987,10.50100,GO19003_LC|GO19049_LC|GO19065_LC
206454290,340.57196,-5.73312,9.37500,GO19003_LC|GO19038_LC|GO19049_LC|GO19065_LC|GO19068_LC|GO19901_LC
206455701,340.65137,-5.70845,11.64000,GO19003_LC|GO19049_LC|GO19065_LC
206457120,342.11304,-5.68450,10.92900,GO19003_LC|GO19049_LC|GO19065_LC
206459343,340.00424,-5.64553,10.82300,GO19003_LC|GO19049_LC|GO19065_LC|GO19068_LC
206460332,343.43756,-5.62783,12.23400,GO19003_LC|GO19049_LC|GO19065_LC
206461009,343.43567,-5.61650,11.50900,GO19003_LC|GO19049_LC
206462356,342.13635,-5.59346,9.35700,GO19003_LC|GO19032_LC|GO19036_LC|GO19038_LC|GO19065_LC
206465121,340.98470,-5.54606,11.96700,GO19003_LC|GO19049_LC|GO19065_LC
206466098,342.05100,-5.52843,10.38700,GO19003_LC|GO19049_LC|GO19065_LC
206466905,339.84528,-5.51467,12.16000,GO19003_LC|GO19049_LC|GO19065_LC
206468345,343.56836,-5.48858,11.14000,GO19003_LC|GO19049_LC|GO19065_LC
206471053,342.06143,-5.44127,12.08400,GO19003_LC|GO19049_LC|GO19065_LC
206471813,341.54425,-5.42662,10.20300,GO19003_LC|GO19049_LC|GO19065_LC|GO19068_LC
206473426,340.54398,-5.39661,10.40400,GO19003_LC|GO19049_LC|GO19065_LC
206475525,339.91293,-5.35634,11.42100,GO19003_LC|GO19049_LC|GO19065_LC
206476394,342.26117,-5.33987,12.51300,GO19003_LC|GO19046_LC|GO19049_LC
206479605,341.45123,-5.27993,11.65500,GO19003_LC|GO19049_LC|GO19065_LC
206480638,340.07062,-5.26081,10.39800,GO19003_LC|GO19049_LC|GO19065_LC
206480719,339.75623,-5.25924,10.57500,GO19003_LC|GO19049_LC|GO19065_LC
206481231,339.73044,-5.24942,11.18100,GO19003_LC|GO19049_LC|GO19065_LC
206486620,340.52106,-5.14620,9.68400,GO19003_LC|GO19032_LC|GO19049_LC|GO19065_LC
206493968,340.71667,-4.99920,10.17700,GO19003_LC|GO19038_LC|GO19049_LC|GO19065_LC|GO19068_LC|GO19901_LC
206497738,340.15152,-4.92499,10.29300,GO19003_LC|GO19049_LC
