# Summary of K2 Program GO19011

Title: Revisiting Main-Sequence Stars Observed in K2 Campaigns 5, 6 and 12

PI: Guzik, Joyce (Los Alamos National Laboratory)
CoIs: Jason Jackiewicz (New Mexico State University)



# Targets requested by this program that have been observed (570)
EPIC,RA,Dec,Kp,InvestigationIDs
206374325,344.61493,-7.04605,14.22200,GO19011_LC|GO19026_LC|GO19063_LC|GO19068_LC
206376125,344.59875,-7.01660,13.32700,GO19011_LC|GO19063_LC|GO19064_LC|GO19068_LC
206380015,344.59378,-6.95393,13.72400,GO19011_LC|GO19049_LC
206382205,344.60794,-6.91857,12.29000,GO19011_LC|GO19068_LC
206383215,344.47025,-6.90280,13.00400,GO19011_LC|GO19068_LC
245929396,348.41290,-11.74619,13.95400,GO19011_LC|GO19067_LC
245946954,348.72556,-10.95225,13.79600,GO19011_LC|GO19049_LC
245947003,348.72998,-10.95084,13.51200,GO19011_LC|GO19049_LC
245955763,347.77080,-10.67555,9.97200,GO19003_LC|GO19011_LC|GO19049_LC
245961434,347.48914,-10.51672,8.11900,GO19003_LC|GO19011_LC|GO19032_LC|GO19036_LC|GO19049_LC|GO19050_LC
245961683,347.86996,-10.50954,9.07500,GO19003_LC|GO19011_LC|GO19030_LC|GO19049_LC
245964784,347.71010,-10.42350,10.18700,GO19003_LC|GO19011_LC|GO19049_LC|GO19065_LC
245964880,349.03510,-10.42066,13.50800,GO19011_LC|GO19049_LC
245967873,347.34805,-10.33687,9.95000,GO19003_LC|GO19011_LC|GO19049_LC|GO19065_LC
245967890,348.14923,-10.33623,9.10400,GO19003_LC|GO19011_LC|GO19032_LC|GO19038_LC|GO19049_LC|GO19065_LC
245977034,347.80470,-10.08739,10.25200,GO19011_LC|GO19068_LC
245981503,350.77900,-9.97061,13.54700,GO19011_LC|GO19049_LC
245982977,348.37320,-9.92950,8.73500,GO19011_LC|GO19068_LC
245984589,350.56680,-9.88385,13.23800,GO19011_LC|GO19068_LC
245985383,350.33255,-9.86224,11.96200,GO19011_LC|GO19049_LC|GO19065_LC
245986093,350.44516,-9.84323,13.69300,GO19011_LC|GO19049_LC
245986527,348.12222,-9.83143,10.46700,GO19003_LC|GO19011_LC|GO19030_LC|GO19049_LC
245987061,350.22357,-9.81594,13.85000,GO19011_LC
245988505,348.27667,-9.77885,10.16300,GO19003_LC|GO19011_LC|GO19030_LC|GO19049_LC
245989196,350.46190,-9.76139,7.84700,GO19011_LC|GO19012_LC
245989878,350.53630,-9.74365,11.62700,GO19011_LC|GO19049_LC|GO19065_LC
245989991,350.04553,-9.74059,13.85700,GO19011_LC|GO19049_LC
245991100,347.39130,-9.71156,12.30900,GO19011_LC|GO19026_LC|GO19049_LC|GO19065_LC
245991287,348.37152,-9.70682,12.32200,GO19011_LC|GO19065_LC
245991350,350.36862,-9.70546,13.54600,GO19011_LC|GO19049_LC
245991808,350.34155,-9.69341,13.89800,GO19011_LC|GO19068_LC
245991994,348.67480,-9.68844,7.54200,GO19011_LC|GO19049_LC
245992492,350.15198,-9.67597,10.23200,GO19003_LC|GO19011_LC|GO19049_LC|GO19065_LC
245992576,350.06410,-9.67423,13.02600,GO19011_LC|GO19049_LC|GO19068_LC
245992608,350.52945,-9.67344,13.40000,GO19011_LC|GO19049_LC|GO19068_LC
245993260,351.49660,-9.65722,10.25100,GO19011_LC|GO19050_LC|GO19068_LC
245993668,350.11480,-9.64580,13.94100,GO19011_LC|GO19068_LC
245993724,351.22750,-9.64455,15.79800,GO19011_LC|GO19033_LC
245994191,351.12130,-9.63330,9.49600,GO19011_LC|GO19068_LC
245995301,346.57175,-9.60614,6.94200,GO19011_LC|GO19051_LC
245995881,350.61084,-9.59083,10.96500,GO19005_LC|GO19011_LC|GO19049_LC
245996000,350.79492,-9.58825,10.60300,GO19003_LC|GO19011_LC|GO19049_LC
245996309,348.92420,-9.58024,12.78500,GO19011_LC|GO19049_LC|GO19065_LC|GO19068_LC
245996533,348.97064,-9.57436,12.48400,GO19011_LC|GO19068_LC
245996836,348.98425,-9.56702,13.76700,GO19011_LC|GO19049_LC
245997656,350.65210,-9.54608,10.73100,GO19003_LC|GO19011_LC|GO19049_LC
245997804,349.08466,-9.54260,9.09200,GO19003_LC|GO19011_LC|GO19030_LC|GO19049_LC
246000735,350.68808,-9.46583,13.01100,GO19011_LC|GO19068_LC
246001757,348.48715,-9.43969,10.40000,GO19003_LC|GO19011_LC|GO19049_LC|GO19065_LC
246003164,351.85553,-9.40398,9.78200,GO19011_LC|GO19068_LC
246003891,346.54086,-9.38641,9.22500,GO19011_LC|GO19049_LC
246003951,350.82303,-9.38498,7.82600,GO19003_LC|GO19011_LC|GO19036_LC|GO19049_LC
246015810,349.62808,-9.07933,15.51800,GO19005_LC|GO19011_LC|GO19068_LC
246022249,350.16202,-8.91959,7.99800,GO19011_LC|GO19012_LC|GO19049_LC
246022574,350.26706,-8.91189,13.88800,GO19011_LC
246023076,351.16290,-8.89891,9.61200,GO19003_LC|GO19011_LC|GO19049_LC|GO19065_LC
246023744,350.86188,-8.88242,8.85100,GO19003_LC|GO19011_LC|GO19036_LC|GO19038_LC|GO19049_LC|GO19065_LC
246024382,351.94748,-8.86640,13.97200,GO19011_LC|GO19063_LC|GO19068_LC
246024447,350.43958,-8.86505,12.86300,GO19011_LC|GO19049_LC|GO19065_LC|GO19068_LC
246025901,347.37253,-8.82674,9.82000,GO19011_LC|GO19065_LC
246031849,350.30010,-8.67417,7.52700,GO19011_LC|GO19049_LC|GO19011_SC
246034057,347.72006,-8.62356,8.97700,GO19003_LC|GO19011_LC|GO19049_LC
246034310,351.32867,-8.61708,13.22800,GO19011_LC|GO19063_LC|GO19068_LC
