# Summary of K2 Program GO19026

Title: Searching For Extended Exoplanetary Atmospheres Around Active Stars

PI: Jensen, Adam (University of Nebraska-Kearney)
CoIs: Austin Ryan (University of Nebraska-Kearney), Seth Redfield (Wesleyan University), Michael Endl (University of Texas-Austin), P. Wilson Cauley (Arizona State University)



# Targets requested by this program that have been observed (138)
EPIC,rafloat,decfloat,Kp,InvestigationIDs
200262494,,,,GO19003|GO19026|GO19036|GO19038|GO19043|GO19049|GO19051|HR_8734-SC-BRIGHT_STAR_DISC
206374325,344.61493,-7.04605,14.22200,GO19011_LC|GO19026_LC|GO19063_LC|GO19068_LC
206405353,344.08517,-6.54584,8.48800,GO19026_LC|GO19036_LC|GO19040_LC|GO19043_LC|GO19050_LC
206414019,340.83875,-6.40082,8.44800,GO19014_LC|GO19026_LC|GO19038_LC|GO19043_LC|GO19049_LC|GO19901_LC
206427045,340.92010,-6.18310,14.45500,GO19026_LC|GO19063_LC|GO19068_LC
206437320,340.09772,-6.01299,12.14100,GO19026_LC|GO19049_LC|GO19065_LC|GO19068_LC
206460406,340.89860,-5.62656,13.63100,GO19026_LC|GO19063_LC|GO19068_LC
206475584,342.29205,-5.35532,13.83800,GO19026_LC|GO19063_LC|GO19068_LC
206477939,340.73828,-5.31077,12.06800,GO19026_LC|GO19068_LC
206487728,340.59985,-5.12547,13.80700,GO19026_LC|GO19063_LC|GO19068_LC
206493805,340.94560,-5.00233,14.21300,GO19026_LC|GO19063_LC|GO19068_LC
206516138,341.54547,-4.54915,13.85700,GO19026_LC|GO19063_LC|GO19068_LC
206521880,341.34793,-4.42777,13.31100,GO19026_LC|GO19063_LC|GO19068_LC
206541881,341.24503,-3.98497,14.47800,GO19026_LC|GO19068_LC
245928811,348.20944,-11.77574,13.31000,GO19026_LC|GO19067_LC|GO19068_LC
245931927,348.17584,-11.61908,13.90800,GO19026_LC|GO19063_LC|GO19067_LC|GO19068_LC
245934992,348.32272,-11.47007,13.53300,GO19026_LC|GO19068_LC
245946989,348.78180,-10.95142,11.93000,GO19026_LC|GO19049_LC|GO19065_LC
245950175,348.94904,-10.84970,12.06900,GO19026_LC|GO19027_LC|GO19049_LC|GO19065_LC|GO19027_SC
245951193,347.07162,-10.81722,13.12200,GO19026_LC|GO19063_LC|GO19068_LC
245952459,349.60495,-10.77680,10.49900,GO19003_LC|GO19026_LC|GO19049_LC|GO19050_LC|GO19065_LC
245952632,349.42175,-10.77170,12.82500,GO19026_LC|GO19063_LC|GO19065_LC
245954328,348.28488,-10.71889,12.73100,GO19026_LC|GO19068_LC
245956636,347.71356,-10.65146,13.81400,GO19026_LC|GO19063_LC|GO19068_LC
245957826,347.24078,-10.61692,10.92100,GO19003_LC|GO19026_LC|GO19049_LC|GO19065_LC
245959734,347.36850,-10.56414,12.86800,GO19026_LC
245961194,348.79977,-10.52418,10.84800,GO19026_LC|GO19049_LC|GO19068_LC
245961509,347.20712,-10.51429,14.14200,GO19026_LC|GO19068_LC
245976298,347.57516,-10.10712,13.62800,GO19026_LC|GO19063_LC|GO19068_LC
245992361,349.77870,-9.67941,12.68500,GO19026_LC|GO19068_LC
245996553,346.16680,-9.57403,12.38500,GO19026_LC|GO19063_LC|GO19065_LC|GO19068_LC
246008095,346.32193,-9.27782,14.23300,GO19026_LC|GO19068_LC
246011844,346.34570,-9.18183,13.96100,GO19026_LC|GO19068_LC|GO19901_LC
246015416,348.77917,-9.08916,12.06900,GO19026_LC|GO19049_LC|GO19065_LC
246015530,350.00250,-9.08659,12.51400,GO19026_LC|GO19068_LC
246017622,351.18463,-9.03261,12.40700,GO19026_LC|GO19068_LC
246032961,345.84427,-8.64784,14.29700,GO19026_LC|GO19063_LC|GO19068_LC
246043993,352.86368,-8.38992,12.54300,GO19026_LC|GO19063_LC|GO19065_LC|GO19068_LC|GO19901_LC
246047096,351.00888,-8.32164,13.24300,GO19026_LC|GO19049_LC|GO19068_LC
246048651,350.35834,-8.28713,13.83200,GO19026_LC|GO19063_LC|GO19068_LC
246048747,347.52383,-8.28468,13.05200,GO19026_LC|GO19063_LC|GO19068_LC
246053081,346.46283,-8.18461,13.97400,GO19026_LC|GO19063_LC|GO19068_LC
246055848,347.22476,-8.12291,13.16700,GO19026_LC|GO19063_LC|GO19068_LC
246059113,345.35977,-8.04575,11.78700,GO19026_LC|GO19049_LC|GO19065_LC
246069493,347.60297,-7.81200,7.20900,GO19003_LC|GO19005_LC|GO19011_LC|GO19026_LC|GO19032_LC|GO19036_LC|GO19038_LC|GO19049_LC|GO19065_LC|GO19901_LC|GO19036_SC
246071622,346.47083,-7.76346,9.45900,GO19002_LC|GO19005_LC|GO19026_LC
246073881,346.28537,-7.71134,13.30500,GO19011_LC|GO19026_LC|GO19063_LC|GO19068_LC
246084508,351.76205,-7.47637,13.45500,GO19026_LC|GO19068_LC
246088134,351.70560,-7.39831,11.19500,GO19026_LC|GO19049_LC|GO19065_LC|GO19068_LC
246090925,349.30710,-7.33898,13.25200,GO19026_LC|GO19063_LC|GO19068_LC
246093689,347.10403,-7.27780,10.64100,GO19003_LC|GO19026_LC|GO19049_LC|GO19065_LC
246098711,346.84268,-7.16905,13.53700,GO19026_LC|GO19068_LC
246102818,344.89526,-7.07968,13.33800,GO19026_LC|GO19052_LC|GO19063_LC|GO19068_LC|GO19902_LC|GO19052_SC
246104577,344.89580,-7.03969,11.37200,GO19003_LC|GO19011_LC|GO19026_LC|GO19033_LC|GO19049_LC|GO19065_LC|GO19068_LC
246110938,348.77188,-6.89962,13.53700,GO19026_LC|GO19063_LC|GO19068_LC
246111400,352.34027,-6.88986,11.98400,GO19011_LC|GO19026_LC|GO19049_LC|GO19065_LC|GO19068_LC
246112177,347.75537,-6.87263,12.77200,GO19026_LC|GO19063_LC|GO19065_LC|GO19068_LC
246113903,352.40143,-6.83576,8.12500,GO19003_LC|GO19011_LC|GO19026_LC|GO19032_LC|GO19043_LC|GO19049_LC
246116237,349.89404,-6.78635,11.30500,GO19026_LC|GO19049_LC|GO19065_LC|GO19068_LC
246117528,350.35822,-6.75823,14.18100,GO19026_LC|GO19068_LC
246117839,351.72003,-6.75132,12.25300,GO19026_LC|GO19049_LC|GO19065_LC|GO19068_LC
246118753,349.69153,-6.73196,13.34100,GO19026_LC|GO19063_LC|GO19068_LC
246123236,344.74945,-6.63559,11.01300,GO19003_LC|GO19011_LC|GO19026_LC|GO19049_LC|GO19065_LC|GO19068_LC
246124192,347.97006,-6.61576,15.37900,GO19026_LC|GO19063_LC|GO19068_LC
246125056,345.86105,-6.59691,14.27600,GO19026_LC|GO19068_LC
246127614,345.49170,-6.54060,14.01000,GO19026_LC|GO19063_LC|GO19068_LC
246134143,345.00735,-6.40064,13.83400,GO19026_LC|GO19063_LC|GO19068_LC
246134147,353.30023,-6.40059,7.98800,GO19003_LC|GO19011_LC|GO19026_LC|GO19036_LC|GO19038_LC|GO19043_LC|GO19049_LC|GO19036_SC
246136275,349.98776,-6.35549,13.75600,GO19026_LC|GO19068_LC
246141120,348.93405,-6.24955,13.84300,GO19026_LC|GO19063_LC|GO19068_LC
246142765,344.84450,-6.21523,13.85200,GO19026_LC|GO19063_LC|GO19068_LC
246147205,351.52124,-6.12214,9.88500,GO19003_LC|GO19026_LC|GO19038_LC|GO19049_LC|GO19065_LC|GO19068_LC|GO19901_LC
246147692,348.00266,-6.11129,11.82500,GO19026_LC|GO19049_LC|GO19065_LC|GO19068_LC
246149299,346.10135,-6.07673,11.60500,GO19026_LC|GO19049_LC|GO19065_LC
246150560,346.15588,-6.04900,11.75400,GO19026_LC|GO19065_LC
246151168,351.42917,-6.03594,11.84500,GO19026_LC|GO19049_LC|GO19065_LC|GO19068_LC|GO19902_LC
246152729,350.87950,-6.00348,10.95100,GO19026_LC|GO19038_LC|GO19049_LC|GO19065_LC|GO19068_LC|GO19902_LC
246154060,348.92730,-5.97506,11.79600,GO19026_LC|GO19049_LC|GO19065_LC
246154489,345.47623,-5.96629,7.64200,GO19011_LC|GO19026_LC|GO19036_LC|GO19043_LC|GO19050_LC|GO19051_LC|GO19036_SC
246157152,344.52737,-5.91065,14.12700,GO19026_LC|GO19068_LC
246166368,349.62158,-5.71599,11.21800,GO19003_LC|GO19026_LC|GO19049_LC|GO19065_LC
246166903,352.00623,-5.70521,10.56600,GO19026_LC|GO19050_LC|GO19068_LC
246172398,349.46823,-5.58962,10.92300,GO19026_LC|GO19049_LC|GO19065_LC
246178525,345.92566,-5.46513,13.08700,GO19026_LC|GO19063_LC|GO19068_LC
246179395,347.16617,-5.44833,11.75100,GO19026_LC|GO19068_LC
246193282,347.15866,-5.16041,12.80500,GO19026_LC|GO19068_LC
246193370,347.64795,-5.15883,10.28200,GO19003_LC|GO19026_LC|GO19049_LC|GO19065_LC
246199562,351.12198,-5.03169,11.82300,GO19026_LC|GO19049_LC|GO19065_LC
246203113,350.48816,-4.95819,9.95500,GO19003_LC|GO19011_LC|GO19026_LC|GO19049_LC|GO19065_LC
246207079,344.44794,-4.87888,12.10000,GO19026_LC|GO19068_LC
246207483,345.30618,-4.87162,13.87600,GO19011_LC|GO19026_LC|GO19063_LC|GO19068_LC
246212172,346.25726,-4.77626,11.19800,GO19003_LC|GO19026_LC|GO19049_LC|GO19065_LC
246213236,347.96045,-4.75375,12.27700,GO19026_LC|GO19049_LC|GO19063_LC|GO19065_LC|GO19068_LC
246213922,347.14740,-4.73990,11.65700,GO19026_LC|GO19049_LC|GO19065_LC
246217524,350.13068,-4.66666,11.36900,GO19026_LC|GO19049_LC|GO19065_LC
246218643,349.75204,-4.64478,12.41500,GO19026_LC|GO19040_LC|GO19049_LC|GO19065_LC|GO19068_LC
246228699,349.91080,-4.45283,10.95000,GO19003_LC|GO19026_LC|GO19049_LC|GO19065_LC
246233650,345.98914,-4.35904,13.12800,GO19026_LC|GO19063_LC|GO19068_LC
246234437,348.44904,-4.34345,13.07400,GO19026_LC|GO19063_LC|GO19068_LC
246234804,350.35530,-4.33669,10.64300,GO19026_LC|GO19049_LC|GO19065_LC|GO19068_LC
246237738,352.25647,-4.28092,11.08100,GO19026_LC|GO19049_LC|GO19065_LC
246247158,346.17660,-4.10324,9.80500,GO19003_LC|GO19011_LC|GO19026_LC|GO19038_LC|GO19049_LC|GO19065_LC|GO19068_LC|GO19901_LC
246264528,349.63757,-3.77329,11.78100,GO19026_LC|GO19049_LC|GO19065_LC|GO19068_LC
246271061,351.01960,-3.64764,9.64700,GO19003_LC|GO19026_LC|GO19032_LC|GO19043_LC|GO19049_LC|GO19065_LC
246286900,350.37418,-3.32914,10.41700,GO19026_LC|GO19049_LC|GO19065_LC
246294559,354.82318,-3.17744,10.40500,GO19026_LC|GO19068_LC
246301900,350.54538,-3.02834,10.80700,GO19001_LC|GO19026_LC|GO19049_LC|GO19052_LC|GO19063_LC|GO19065_LC|GO19068_LC|GO19901_LC|GO19052_SC
246310442,350.92944,-2.85619,11.62000,GO19026_LC|GO19049_LC|GO19065_LC
246318398,348.46298,-2.69446,12.85100,GO19026_LC|GO19068_LC
246324726,349.41937,-2.56975,11.62100,GO19026_LC|GO19049_LC|GO19065_LC|GO19068_LC
246331130,350.16122,-2.44516,11.20300,GO19026_LC|GO19068_LC
246349447,346.09106,-2.08591,10.72900,GO19026_LC|GO19049_LC|GO19065_LC
246357571,348.63257,-1.92351,13.07900,GO19026_LC|GO19063_LC|GO19068_LC
246364217,350.24036,-1.79373,12.43600,GO19001_LC|GO19026_LC|GO19038_LC|GO19052_LC|GO19053_LC|GO19063_LC|GO19065_LC|GO19068_LC|GO19901_LC|GO19052_SC
246367712,349.47550,-1.72696,10.31200,GO19026_LC|GO19038_LC|GO19049_LC|GO19065_LC
246372138,346.74310,-1.64211,11.60700,GO19003_LC|GO19026_LC|GO19049_LC|GO19065_LC
246374975,349.14682,-1.58652,7.99800,GO19003_LC|GO19026_LC|GO19032_LC|GO19038_LC|GO19043_LC|GO19049_LC|GO19065_LC|GO19066_LC|GO19066_SC
246376831,350.03415,-1.54831,12.32900,GO19026_LC
246379501,344.42105,-1.49488,11.66200,GO19001_LC|GO19026_LC|GO19052_LC|GO19063_LC|GO19068_LC|GO19901_LC|GO19052_SC
246385987,352.04828,-1.36291,10.80900,GO19026_LC|GO19068_LC
246398765,352.37634,-1.03590,6.77300,GO19003_LC|GO19026_LC|GO19032_LC|GO19036_LC|GO19038_LC|GO19049_LC|GO19065_LC|GO19901_LC
246400041,351.29108,-0.99643,10.75000,GO19026_LC|GO19068_LC
246405404,347.44623,-0.82631,9.90400,GO19026_LC|GO19049_LC|GO19065_LC
246410931,347.08878,-0.65744,10.86100,GO19026_LC|GO19068_LC
246411473,346.09167,-0.64109,11.82000,GO19026_LC|GO19049_LC|GO19065_LC|GO19068_LC
246416022,352.20355,-0.49956,11.07000,GO19026_LC
246432069,347.21024,0.01466,10.29900,GO19003_LC|GO19026_LC
246440386,344.89720,0.27277,11.07200,GO19026_LC|GO19049_LC|GO19065_LC|GO19067_LC
246446811,352.09378,0.47766,12.21300,GO19001_LC|GO19026_LC|GO19052_LC|GO19063_LC|GO19065_LC|GO19068_LC|GO19901_LC|GO19052_SC
246449844,349.98486,0.57186,11.01400,GO19026_LC|GO19049_LC|GO19065_LC
246450351,345.07043,0.58885,10.26600,GO19003_LC|GO19026_LC|GO19038_LC|GO19049_LC|GO19065_LC|GO19067_LC|GO19068_LC
251683853,341.58463,-2.37087,13.87800,GO19026_LC|GO19063_LC|GO19068_LC
251690247,341.01465,-2.00651,13.74300,GO19026_LC|GO19068_LC
251692968,342.40405,-1.86133,14.10700,GO19026_LC|GO19063_LC|GO19068_LC
251695425,340.65643,-1.73115,10.98800,GO19003_LC|GO19026_LC|GO19065_LC
251698599,340.73236,-1.56402,11.12700,GO19026_LC|GO19065_LC|GO19067_LC|GO19068_LC
251718716,342.89844,-0.18995,10.97900,GO19026_LC|GO19067_LC|GO19068_LC
251730642,344.48680,0.69180,10.35700,GO19026_LC|GO19050_LC|GO19067_LC|GO19068_LC
