# Summary of K2 Program GO19032

Title: Solar Analogs: Rotation, Activity, Gyrochronology

PI: Buzasi, Derek (Florida Gulf Coast University)
CoIs: Heather Preston (Calusa Nature Center and Planetarium)



# Targets requested by this program that have been observed (81)
EPIC,RA,Dec,Kp,InvestigationIDs
206404469,340.44952,-6.56020,9.40800,GO19003_LC|GO19032_LC|GO19049_LC|GO19065_LC
206423252,340.32477,-6.24603,9.57200,GO19003_LC|GO19032_LC|GO19049_LC|GO19065_LC
206462356,342.13635,-5.59346,9.35700,GO19003_LC|GO19032_LC|GO19036_LC|GO19038_LC|GO19065_LC
206486620,340.52106,-5.14620,9.68400,GO19003_LC|GO19032_LC|GO19049_LC|GO19065_LC
206509053,340.72412,-4.69423,9.07400,GO19003_LC|GO19032_LC|GO19049_LC|GO19065_LC
245946172,348.49045,-10.97990,9.69100,GO19003_LC|GO19032_LC|GO19049_LC|GO19065_LC
245951623,348.92944,-10.80448,9.43100,GO19003_LC|GO19032_LC|GO19038_LC|GO19049_LC|GO19065_LC
245961434,347.48914,-10.51672,8.11900,GO19003_LC|GO19011_LC|GO19032_LC|GO19036_LC|GO19049_LC|GO19050_LC
245961817,348.49252,-10.50572,9.52200,GO19003_LC|GO19032_LC|GO19049_LC|GO19065_LC
245967890,348.14923,-10.33623,9.10400,GO19003_LC|GO19011_LC|GO19032_LC|GO19038_LC|GO19049_LC|GO19065_LC
246021480,348.55008,-8.93887,9.12000,GO19003_LC|GO19032_LC|GO19038_LC|GO19049_LC|GO19065_LC
246021795,348.53174,-8.93133,7.97000,GO19032_LC|GO19038_LC|GO19065_LC
246023080,346.46555,-8.89880,9.72800,GO19003_LC|GO19032_LC|GO19049_LC|GO19065_LC
246036669,351.40204,-8.56118,9.57100,GO19003_LC|GO19032_LC|GO19049_LC|GO19068_LC
246037059,350.14713,-8.55136,9.35000,GO19003_LC|GO19032_LC|GO19049_LC|GO19065_LC
246039147,350.25640,-8.50159,9.49200,GO19003_LC|GO19032_LC|GO19038_LC|GO19049_LC|GO19065_LC|GO19068_LC
246045773,349.43723,-8.34999,9.09900,GO19003_LC|GO19032_LC|GO19049_LC|GO19065_LC
246052952,347.80133,-8.18778,9.68900,GO19003_LC|GO19011_LC|GO19032_LC|GO19049_LC|GO19065_LC
246054400,347.53043,-8.15487,9.22900,GO19003_LC|GO19032_LC|GO19049_LC|GO19065_LC
246058179,347.52933,-8.06719,9.12300,GO19011_LC|GO19032_LC
246060073,353.19196,-8.02352,10.21700,GO19011_LC|GO19032_LC|GO19049_LC
246060078,353.19165,-8.02344,10.26000,GO19011_LC|GO19032_LC
246061942,348.77344,-7.98144,10.05500,GO19003_LC|GO19032_LC|GO19049_LC
246069493,347.60297,-7.81200,7.20900,GO19003_LC|GO19005_LC|GO19011_LC|GO19026_LC|GO19032_LC|GO19036_LC|GO19038_LC|GO19049_LC|GO19065_LC
246081092,351.02640,-7.55076,7.46000,GO19003_LC|GO19032_LC|GO19038_LC|GO19049_LC|GO19065_LC
246082653,352.04340,-7.51760,9.33300,GO19003_LC|GO19032_LC|GO19049_LC|GO19065_LC
246087950,352.23666,-7.40206,8.55000,GO19003_LC|GO19011_LC|GO19032_LC|GO19049_LC
246099732,354.19858,-7.14715,9.84700,GO19011_LC|GO19032_LC|GO19049_LC|GO19065_LC
246113903,352.40143,-6.83576,8.12500,GO19003_LC|GO19011_LC|GO19026_LC|GO19032_LC|GO19043_LC|GO19049_LC
246122861,353.14587,-6.64287,9.85200,GO19003_LC|GO19011_LC|GO19032_LC|GO19049_LC|GO19065_LC
246123026,352.24753,-6.63979,9.70300,GO19003_LC|GO19032_LC|GO19049_LC|GO19054_LC|GO19065_LC
246124442,350.14362,-6.61051,9.71900,GO19003_LC|GO19011_LC|GO19032_LC|GO19049_LC|GO19065_LC
246158008,344.65833,-5.89316,9.82600,GO19003_LC|GO19032_LC|GO19049_LC|GO19065_LC
