# Summary of K2 Program GO19033

Title: The K2 RR Lyrae and Cepheid Survey

PI: Szabo, Robert (MTA CSFK, Konkoly Observatory)
CoIs: Emese Plachy (MTACSFK, Konkoly Observatory), Laszlo Molnar (MTACSFK, Konkoly Observatory), Aron L. Juhasz (MTACSFK, Konkoly Observatory), Katrien Kolenberg (Universities of Leuven and Antwerp, Belgium, Harvard-Smithsonian Center for Astrophysics)



# Targets requested by this program that have been observed (234)
EPIC,RA,Dec,Kp,InvestigationIDs
206349456,344.62543,-7.45716,19.64800,GO19033_LC
206389542,344.17290,-6.80116,18.55600,GO19033_LC
206409426,340.38126,-6.47745,12.27300,GO19033_LC|GO19049_LC
206432153,343.88974,-6.09809,15.05700,GO19033_LC
206438032,340.53270,-6.00126,18.87300,GO19033_LC
206438304,341.84293,-5.99681,15.64000,GO19033_LC
206439836,344.05243,-5.97310,19.46500,GO19033_LC
206466381,341.85710,-5.52377,16.63700,GO19033_LC
206468457,340.31160,-5.48687,15.21000,GO19033_LC
206475272,339.76926,-5.36083,17.79800,GO19033_LC
206492045,341.73718,-5.03805,19.32800,GO19033_LC
206501982,340.43690,-4.83981,15.36000,GO19005_LC|GO19033_LC
206511637,341.18170,-4.64274,16.46000,GO19033_LC
206514759,340.77515,-4.57866,18.91400,GO19020_LC|GO19033_LC
206522979,340.01215,-4.40400,16.53900,GO19033_LC
206533696,340.84490,-4.17021,17.82300,GO19033_LC
245934126,347.91495,-11.51135,16.24100,GO19033_LC
245938081,347.98523,-11.31701,18.10500,GO19033_LC
245950399,349.08840,-10.84291,17.20600,GO19033_LC
245960344,349.35226,-10.54759,15.17400,GO19033_LC
245963638,349.52304,-10.45473,20.04000,GO19033_LC
245964413,348.27618,-10.43369,16.90800,GO19033_LC
245967968,349.59784,-10.33408,18.24800,GO19033_LC
245974758,349.30682,-10.14891,17.68100,GO19033_LC|GO19033_SC
245993090,348.15643,-9.66123,18.67100,GO19033_LC
245993127,349.73273,-9.66018,16.95000,GO19033_LC
245993724,351.22750,-9.64455,15.79800,GO19011_LC|GO19033_LC
246004530,346.65878,-9.37009,16.44100,GO19033_LC
246006937,348.08010,-9.30802,18.75600,GO19033_LC
246024126,345.97952,-8.87296,18.06400,GO19033_LC
246031813,350.03150,-8.67502,18.12500,GO19033_LC
246041776,350.80023,-8.44214,19.32800,GO19033_LC
246042972,345.65723,-8.41424,18.99700,GO19033_LC
246045130,353.04932,-8.36484,14.99000,GO19033_LC
246050597,350.74918,-8.24253,16.22800,GO19033_LC
246053066,349.75420,-8.18503,19.19200,GO19033_LC
246054790,345.48007,-8.14701,15.99600,GO19005_LC|GO19033_LC
246056783,345.27756,-8.10085,16.20200,GO19005_LC|GO19033_LC
246057165,352.62357,-8.09205,19.65800,GO19033_LC
246058914,351.42102,-8.05008,16.89100,GO19005_LC|GO19033_LC|GO19033_SC
246059186,348.77290,-8.04411,19.26600,GO19033_LC
246059650,352.19940,-8.03364,17.69800,GO19033_LC
246060557,350.89175,-8.01250,14.14600,GO19033_LC
246061984,352.92886,-7.98054,16.88100,GO19005_LC|GO19033_LC
246064043,346.59998,-7.93298,18.62100,GO19033_LC
246064096,346.32425,-7.93166,15.19800,GO19005_LC|GO19033_LC
246068203,353.51540,-7.83998,15.06800,GO19033_LC
246069268,346.00272,-7.81614,17.22800,GO19033_LC
246070868,350.18210,-7.78132,17.10600,GO19033_LC
246078246,351.95570,-7.61373,16.75400,GO19033_LC
246078531,348.98584,-7.60716,17.87100,GO19033_LC
246082009,347.44580,-7.53103,19.99400,GO19033_LC
246092251,349.69894,-7.31036,16.39400,GO19033_LC
246100757,351.44946,-7.12580,14.64800,GO19033_LC
246104577,344.89580,-7.03969,11.37200,GO19003_LC|GO19011_LC|GO19026_LC|GO19033_LC|GO19049_LC|GO19065_LC|GO19068_LC
246106715,351.47635,-6.99290,19.65700,GO19033_LC
246106798,351.91965,-6.99112,19.05100,GO19033_LC
246111572,345.54642,-6.88596,15.45900,GO19033_LC
246111595,346.73392,-6.88526,10.51000,GO19033_LC|GO19068_LC
246111747,349.48020,-6.88160,15.57400,GO19033_LC
246114910,352.81885,-6.81444,18.07100,GO19033_LC
246115789,349.90270,-6.79589,14.71400,GO19033_LC
246117475,352.09137,-6.75899,15.39300,GO19033_LC
246120789,352.85788,-6.68688,17.94200,GO19033_LC
246122912,347.93660,-6.64197,18.30400,GO19033_LC
246128960,348.40030,-6.51174,14.99700,GO19033_LC
246136179,350.14902,-6.35743,18.43700,GO19033_LC
246136316,344.68738,-6.35466,14.53700,GO19033_LC
246138427,347.57227,-6.30859,19.64700,GO19033_LC
246138569,348.31937,-6.30572,19.37400,GO19033_LC
246138672,349.95953,-6.30325,19.77300,GO19033_LC
246138791,349.53030,-6.30071,14.98600,GO19033_LC
246149630,350.10843,-6.06945,17.04900,GO19033_LC
246150399,348.75170,-6.05264,17.56900,GO19033_LC
246156927,352.75452,-5.91549,19.06400,GO19033_LC
246159987,348.03284,-5.85094,17.60500,GO19033_LC
246171228,353.23056,-5.61384,18.93100,GO19033_LC
246174741,353.27023,-5.54157,16.63500,GO19005_LC|GO19033_LC
246177697,346.90887,-5.48109,17.79800,GO19033_LC
246184278,351.79044,-5.34814,19.20500,GO19033_LC
246194263,350.25497,-5.14018,16.75000,GO19005_LC|GO19033_LC
246194462,352.34995,-5.13578,16.63500,GO19005_LC|GO19033_LC
246203935,350.05173,-4.94214,16.43800,GO19005_LC|GO19033_LC
246205126,348.11180,-4.91769,19.55700,GO19033_LC
246207257,347.62775,-4.87552,20.01900,GO19033_LC
246209002,347.37207,-4.84060,17.28000,GO19033_LC
246212379,348.22723,-4.77169,17.69800,GO19033_LC
246213473,351.01712,-4.74926,14.20000,GO19033_LC
246214672,348.20746,-4.72443,17.03400,GO19033_LC
246215221,344.80590,-4.71322,15.39200,GO19033_LC
246217239,347.58720,-4.67211,16.79800,GO19005_LC|GO19033_LC
246217602,346.29218,-4.66516,14.61500,GO19033_LC
246217662,346.29230,-4.66404,16.69300,GO19033_LC
246224799,353.17850,-4.52779,15.14000,GO19033_LC
246231434,345.90707,-4.39997,14.50700,GO19005_LC|GO19033_LC
246231775,347.06820,-4.39419,16.16800,GO19033_LC
246233565,353.95514,-4.36074,16.97800,GO19005_LC|GO19033_LC|GO19033_SC
246233801,347.15787,-4.35583,15.81800,GO19005_LC|GO19033_LC
246249667,348.20540,-4.05420,17.22100,GO19033_LC
246249833,345.67505,-4.05081,18.35600,GO19033_LC
246249944,348.47647,-4.04892,17.11300,GO19033_LC
246256076,347.86197,-3.93168,15.29700,GO19011_LC|GO19033_LC
246258967,345.98760,-3.87860,17.61700,GO19033_LC
246262252,351.35452,-3.81731,17.37600,GO19033_LC
246262915,346.49338,-3.80364,19.30300,GO19033_LC
246266488,348.39790,-3.73563,17.11100,GO19033_LC
246266581,349.26050,-3.73360,16.20300,GO19033_LC
246271889,354.87640,-3.63089,12.72800,GO19005_LC|GO19033_LC|GO19049_LC
246272964,347.66275,-3.60777,14.02100,GO19033_LC
246280947,353.74643,-3.44364,19.18600,GO19033_LC
246283050,354.70743,-3.40335,19.92900,GO19033_LC
246289730,348.82663,-3.27364,18.10400,GO19033_LC
246293608,347.97952,-3.19531,19.72900,GO19033_LC
246295715,346.91394,-3.15296,18.45900,GO19033_LC
246300909,345.18015,-3.04758,14.76400,GO19005_LC|GO19033_LC|GO19033_SC
246302440,347.91150,-3.01834,13.94300,GO19033_LC
246303441,348.46066,-2.99822,17.84300,GO19033_LC
246311689,348.87305,-2.82878,18.33200,GO19033_LC
246311808,344.95220,-2.82667,17.55000,GO19033_LC
246312513,349.27225,-2.81165,19.87100,GO19016_LC|GO19033_LC
