# Summary of K2 Program GO19036

Title: Asteroseismology Of Solar-Type Stars With K2

PI: Lund, Mikkel (Aarhus University)
CoIs: US-PI:Sarbani Basu (Yale University)Co-Is:William J. Chaplin (University of Birmingham) and Timothy R. White (Aarhus University);Collaborators:Daniel Huber (University of Hawaii), Victor Silva Aguirre (Aarhus University),Guy R. Davies (University of Birmingham), David W. Latham (Smithsonian Astrophysical Observatory), Luca Casagrande (Mount Stromlo Observatory), and Frank Grundahl (Aarhus University)



# Targets requested by this program that have been observed (43)
EPIC,rafloat,decfloat,Kp,InvestigationIDs
200262494,,,,GO19003|GO19026|GO19036|GO19038|GO19043|GO19049|GO19051|HR_8734-SC-BRIGHT_STAR_DISC
206402840,344.43185,-6.58585,8.79100,GO19003_LC|GO19036_LC|GO19049_LC
206405353,344.08517,-6.54584,8.48800,GO19026_LC|GO19036_LC|GO19040_LC|GO19043_LC|GO19050_LC
206462356,342.13635,-5.59346,9.35700,GO19003_LC|GO19032_LC|GO19036_LC|GO19038_LC|GO19065_LC
245961434,347.48914,-10.51672,8.11900,GO19003_LC|GO19011_LC|GO19032_LC|GO19036_LC|GO19049_LC|GO19050_LC|GO19036_SC
245972483,349.11722,-10.21165,8.63800,GO19003_LC|GO19036_LC|GO19038_LC|GO19049_LC|GO19065_LC|GO19036_SC
246003951,350.82303,-9.38498,7.82600,GO19003_LC|GO19011_LC|GO19036_LC|GO19049_LC|GO19036_SC
246023744,350.86188,-8.88242,8.85100,GO19003_LC|GO19011_LC|GO19036_LC|GO19038_LC|GO19049_LC|GO19065_LC
246033065,346.64148,-8.64572,8.84400,GO19003_LC|GO19036_LC|GO19038_LC|GO19049_LC|GO19036_SC
246048943,348.11642,-8.27997,8.96300,GO19011_LC|GO19036_LC|GO19050_LC|GO19068_LC
246069493,347.60297,-7.81200,7.20900,GO19003_LC|GO19005_LC|GO19011_LC|GO19026_LC|GO19032_LC|GO19036_LC|GO19038_LC|GO19049_LC|GO19065_LC|GO19901_LC|GO19036_SC
246099088,349.24643,-7.16078,6.65300,GO19003_LC|GO19011_LC|GO19036_LC|GO19038_LC|GO19049_LC|GO19901_LC
246111518,348.98645,-6.88724,8.57300,GO19011_LC|GO19036_LC
246134147,353.30023,-6.40059,7.98800,GO19003_LC|GO19011_LC|GO19026_LC|GO19036_LC|GO19038_LC|GO19043_LC|GO19049_LC|GO19036_SC
246154489,345.47623,-5.96629,7.64200,GO19011_LC|GO19026_LC|GO19036_LC|GO19043_LC|GO19050_LC|GO19051_LC|GO19036_SC
246163607,346.05590,-5.77348,8.86100,GO19003_LC|GO19036_LC|GO19038_LC|GO19049_LC
246184564,347.25640,-5.34183,8.79100,GO19036_LC|GO19050_LC|GO19036_SC
246189766,351.66568,-5.23213,8.73500,GO19003_LC|GO19036_LC|GO19038_LC|GO19049_LC|GO19065_LC
246191232,352.79626,-5.20117,10.93900,GO19027_LC|GO19036_LC|GO19049_LC|GO19058_LC|GO19065_LC|GO19036_SC
