# Summary of K2 Program GO19037

Title: A Search For Transiting Objects Orbiting White Dwarf Stars

PI: Redfield, Seth (Wesleyan University)
CoIs: P. Wilson Cauley (Arizona State University), Jay Farihi (University College London),Boris Gaensicke (University of Warwick), Dimitri Veras (University of Warwick)



# Targets requested by this program that have been observed (105)
EPIC,RA,Dec,Kp,InvestigationIDs
206437239,343.94763,-6.01402,15.12600,GO19016_LC|GO19029_LC|GO19037_LC
206498752,339.91974,-4.90498,16.73800,GO19016_LC|GO19029_LC|GO19037_LC
206530708,340.68590,-4.23755,15.28971,GO19016_LC|GO19029_LC|GO19037_LC
245993663,349.12238,-9.64599,18.73600,GO19016_LC|GO19029_LC|GO19037_LC
245995295,351.47650,-9.60623,17.80600,GO19016_LC|GO19029_LC|GO19037_LC
245996111,351.25986,-9.58536,19.74400,GO19016_LC|GO19029_LC|GO19037_LC
245996300,349.85130,-9.58041,19.37100,GO19016_LC|GO19037_LC
245998728,351.15964,-9.51826,18.39900,GO19016_LC|GO19037_LC
246002141,351.03555,-9.43022,17.71200,GO19016_LC|GO19029_LC|GO19037_LC
246002207,348.28750,-9.42836,17.86700,GO19016_LC|GO19029_LC|GO19037_LC
246017440,349.46603,-9.03712,17.95500,GO19016_LC|GO19029_LC|GO19037_LC
246025269,349.91818,-8.84368,19.01600,GO19016_LC|GO19029_LC|GO19037_LC
246031778,349.35535,-8.67583,18.23500,GO19016_LC|GO19029_LC|GO19037_LC
246032115,345.72925,-8.66825,16.76300,GO19016_LC|GO19029_LC|GO19037_LC
246049962,346.09590,-8.25652,18.03600,GO19016_LC|GO19029_LC|GO19037_LC
246103334,345.14847,-7.06921,9.58800,GO19011_LC|GO19016_LC|GO19037_LC
246127340,348.60490,-6.54657,15.31600,GO19037_LC|GO19038_LC
246142860,349.78990,-6.21334,17.82600,GO19016_LC|GO19037_LC|GO19038_LC
246345508,348.82846,-2.16105,16.50000,GO19016_LC|GO19037_LC|GO19038_LC
246401341,350.57266,-0.95707,17.45500,GO19016_LC|GO19037_LC|GO19016_SC
246407622,351.15110,-0.76003,18.28600,GO19016_LC|GO19037_LC
246414745,345.78867,-0.53964,17.98100,GO19016_LC|GO19037_LC
246418463,344.23184,-0.42226,19.39200,GO19016_LC|GO19029_LC|GO19037_LC|GO19016_SC
246420417,351.18750,-0.36174,18.25600,GO19016_LC|GO19037_LC|GO19046_LC
246424067,346.46713,-0.24691,18.61100,GO19016_LC|GO19037_LC
246462907,349.32614,1.01135,18.48200,GO19016_LC|GO19037_LC
246463258,348.09006,1.02418,17.48100,GO19016_LC|GO19037_LC|GO19068_LC
246466836,349.96550,1.15247,18.45200,GO19016_LC|GO19029_LC|GO19037_LC
246468899,348.12480,1.22574,19.43200,GO19016_LC|GO19029_LC|GO19037_LC
246469861,346.02505,1.25860,19.71400,GO19016_LC|GO19029_LC|GO19037_LC
246485489,350.99454,1.67408,14.12200,GO19016_LC|GO19029_LC|GO19037_LC
246496434,346.55453,1.98122,16.15800,GO19016_LC|GO19029_LC|GO19037_LC|GO19067_LC
251455479,351.60303,-1.22423,19.66661,GO19016_LC|GO19037_LC
251455481,351.41525,-0.40576,19.85221,GO19016_LC|GO19037_LC
251455484,351.74677,-0.39662,17.58000,GO19016_LC|GO19029_LC|GO19037_LC|GO19044_LC
251455486,350.90643,-0.77451,18.23000,GO19016_LC|GO19029_LC|GO19037_LC
251455487,350.28503,1.07596,18.34000,GO19016_LC|GO19029_LC|GO19037_LC
251455488,352.87820,-0.19109,18.03000,GO19016_LC|GO19029_LC|GO19037_LC
251455489,349.38065,-0.26804,16.79550,GO19016_LC|GO19029_LC|GO19037_LC
251455494,351.20093,-0.85153,18.23000,GO19016_LC|GO19029_LC|GO19037_LC
251456064,352.30438,-0.18507,19.41000,GO19016_LC|GO19037_LC
251456087,348.94670,-0.78318,20.00000,GO19016_LC|GO19037_LC
251456365,347.33853,-0.53465,17.79086,GO19016_LC|GO19029_LC|GO19037_LC
251456370,347.92330,-0.68351,18.79104,GO19016_LC|GO19029_LC|GO19037_LC
251456373,346.86110,-8.78341,18.86862,GO19016_LC|GO19029_LC|GO19037_LC|GO19016_SC
251456374,349.91132,1.21485,18.91475,GO19016_LC|GO19029_LC|GO19037_LC
251456375,345.85060,-8.54567,18.91631,GO19016_LC|GO19029_LC|GO19037_LC
251456378,350.93500,-0.82832,18.97669,GO19016_LC|GO19029_LC|GO19037_LC
251456380,351.05783,-0.72270,19.25215,GO19016_LC|GO19029_LC|GO19037_LC
251456386,352.28520,-0.58221,19.39838,GO19016_LC|GO19029_LC|GO19037_LC
251456388,353.11523,-1.12047,19.50000,GO19016_LC|GO19029_LC|GO19037_LC
251456390,347.71045,-1.24131,19.80000,GO19016_LC|GO19037_LC
251456396,350.59256,1.02262,19.61000,GO19016_LC|GO19029_LC|GO19037_LC
251456416,348.63240,-0.82712,19.72620,GO19016_LC|GO19029_LC|GO19037_LC
251690970,342.32190,-1.96711,19.63400,GO19016_LC|GO19029_LC|GO19037_LC
251700417,340.76965,-1.46488,16.24197,GO19016_LC|GO19029_LC|GO19037_LC
251708862,342.49130,-0.91288,18.53800,GO19016_LC|GO19037_LC
251711625,343.22397,-0.70289,18.79600,GO19016_LC|GO19029_LC|GO19037_LC
251712031,341.32727,-0.67368,18.57700,GO19016_LC|GO19029_LC|GO19037_LC|GO19016_SC
251717738,343.76470,-0.26341,18.51300,GO19016_LC|GO19037_LC
251737943,343.15634,1.20061,17.34600,GO19016_LC|GO19029_LC|GO19037_LC
251738266,343.12010,1.22031,18.64100,GO19016_LC|GO19037_LC
999000001,343.48310,-0.98469,18.25000,GO19016_LC|GO19029_LC|GO19037_LC|GO19016_SC
999000003,341.59800,-1.01900,19.22000,GO19016_LC|GO19029_LC|GO19037_LC|GO19016_SC
999000004,350.52914,1.15541,19.42800,GO19016_LC|GO19029_LC|GO19037_LC|GO19016_SC
999000007,352.21252,-0.47132,19.85600,GO19016_LC|GO19037_LC|GO19016_SC
999000008,349.33868,-0.10912,19.92000,GO19016_LC|GO19037_LC|GO19016_SC
999000009,342.15057,-1.02210,19.93200,GO19016_LC|GO19037_LC|GO19053_LC
999000010,346.39530,-0.92306,19.95000,GO19016_LC|GO19037_LC
999000013,348.35104,-0.27690,20.01400,GO19016_LC|GO19037_LC
999000017,347.19537,-8.94974,20.40000,GO19016_LC|GO19037_LC
999000018,342.37660,-0.27305,18.38800,GO19016_LC|GO19029_LC|GO19037_LC
999000020,345.66680,-0.50600,17.90200,GO19016_LC|GO19029_LC|GO19037_LC
999000023,350.79187,-1.25633,18.44200,GO19016_LC|GO19029_LC|GO19037_LC
999000024,344.60910,-0.50874,18.58600,GO19016_LC|GO19029_LC|GO19037_LC
999000025,341.97170,-0.04173,18.62600,GO19016_LC|GO19029_LC|GO19037_LC
999000027,341.48758,-0.01189,18.84200,GO19016_LC|GO19029_LC|GO19037_LC
999000028,340.11298,-0.99599,18.95800,GO19016_LC|GO19029_LC|GO19037_LC
999000029,349.67294,-1.24533,18.97200,GO19016_LC|GO19029_LC|GO19037_LC
999000032,347.62610,-0.96271,19.03600,GO19016_LC|GO19029_LC|GO19037_LC
999000038,345.30280,-0.82011,19.57400,GO19016_LC|GO19029_LC|GO19037_LC
999000039,343.74680,1.18519,19.59000,GO19016_LC|GO19029_LC|GO19037_LC
999000040,348.56528,-0.89764,19.63800,GO19016_LC|GO19029_LC|GO19037_LC
999000043,345.55124,-0.87285,19.79600,GO19016_LC|GO19037_LC
999000048,341.95123,-0.90777,19.90600,GO19016_LC|GO19037_LC
999000049,352.88570,-0.62890,19.91000,GO19016_LC|GO19037_LC
999000052,348.17720,1.13349,19.98000,GO19016_LC|GO19037_LC
999000053,346.01923,-1.25074,19.98400,GO19016_LC|GO19037_LC
