# Summary of K2 Program GO19044

Title: Quasar Variability As A Function Of Accretion Rate

PI: Richards, Gordon (Drexel University)
CoIs: Michael Vogeley (Drexel University), Jackie Moreno (Drexel University), Vishal Kasliwal (Colfax International)



# Targets requested by this program that have been observed (156)
EPIC,RA,Dec,Kp,InvestigationIDs
246011520,347.19003,-9.18994,17.26000,GO19044_LC|GO19059_LC
246327456,354.48892,-2.51602,18.31800,GO19010_LC|GO19020_LC|GO19044_LC
246355357,345.28323,-1.96796,19.02400,GO19020_LC|GO19044_LC
246391545,351.25230,-1.24585,19.69000,GO19044_LC
246393549,347.47873,-1.18696,19.57000,GO19044_LC
246396131,345.48150,-1.11358,16.99000,GO19044_LC
246399239,347.63452,-1.02089,18.05000,GO19044_LC
246399475,346.20425,-1.01421,17.60000,GO19044_LC
246400628,353.07760,-0.97853,19.22000,GO19044_LC
246403140,350.75000,-0.89978,17.23000,GO19044_LC|GO19059_LC
246404843,351.58740,-0.84361,19.77000,GO19044_LC
246409885,352.35614,-0.69064,19.47000,GO19044_LC
246410686,347.17584,-0.66551,19.03000,GO19044_LC
246412710,349.29907,-0.60103,18.18000,GO19044_LC
246415876,346.96628,-0.50447,19.54000,GO19044_LC
246416718,347.88016,-0.47835,18.57000,GO19044_LC
246416720,349.14580,-0.47833,17.36000,GO19044_LC
246418898,352.91238,-0.40811,19.51000,GO19044_LC
246420012,349.10583,-0.37368,18.73000,GO19044_LC|GO19059_LC
246420241,351.46150,-0.36677,18.16000,GO19044_LC
246424667,347.97043,-0.22646,18.16000,GO19044_LC
246430666,347.01263,-0.02916,19.54000,GO19044_LC|GO19059_LC
246434272,352.19020,0.08370,19.53000,GO19044_LC
246437254,348.78888,0.17396,17.57000,GO19044_LC
246439143,348.90080,0.23283,19.06000,GO19044_LC
246440888,348.21204,0.28870,17.97000,GO19044_LC
246442658,349.80350,0.34630,19.78000,GO19044_LC
246445303,349.71164,0.43127,19.23000,GO19044_LC
246445704,348.29053,0.44270,19.38000,GO19044_LC
246446549,347.75827,0.46929,19.19000,GO19044_LC
246449323,347.88608,0.55590,19.32000,GO19044_LC
246450073,348.35187,0.57910,16.28000,GO19044_LC
246454837,350.85342,0.73785,17.21000,GO19044_LC
246458314,348.46066,0.85504,19.23000,GO19044_LC
246459145,350.27045,0.88342,19.68000,GO19044_LC
246461347,350.85678,0.95775,19.12000,GO19044_LC
246466444,351.22647,1.13821,19.54000,GO19044_LC
246467880,350.78020,1.18921,18.33000,GO19044_LC
246469501,351.79825,1.24639,17.85000,GO19044_LC
246469890,351.33194,1.25979,19.38000,GO19044_LC
251455484,351.74677,-0.39662,17.58000,GO19016_LC|GO19029_LC|GO19037_LC|GO19044_LC
251455498,352.54556,-0.49764,18.57000,GO19044_LC
251455499,350.03134,0.49566,18.63000,GO19044_LC
251455500,352.54760,-0.30005,18.84000,GO19044_LC
251455501,351.70755,-0.39592,18.90000,GO19044_LC
251455503,352.89743,-1.04377,19.03000,GO19044_LC|GO19059_LC
251455504,352.97775,-0.37156,19.20000,GO19044_LC
251455505,351.99146,-0.34972,19.26000,GO19044_LC
251455507,352.88782,-0.93587,19.38000,GO19044_LC
251455508,353.05790,-0.90898,19.38000,GO19044_LC
251455510,352.33182,-0.55099,19.48000,GO19044_LC
251455512,352.59787,0.13664,19.50000,GO19044_LC
251455513,351.70728,-0.94813,19.56000,GO19044_LC
251455514,352.19998,-0.45360,19.58000,GO19044_LC
251455515,352.87433,-0.82590,19.61000,GO19044_LC
251455516,352.67325,-0.20485,19.64000,GO19044_LC
251455517,351.72067,-0.50351,19.65000,GO19044_LC
251455518,352.88450,-0.82914,19.69000,GO19044_LC
251455552,348.20428,-0.42454,18.37000,GO19044_LC
251455554,352.11874,-0.64210,18.44000,GO19044_LC
251455556,347.44230,0.01358,18.47000,GO19044_LC
251455557,347.83847,0.30331,18.53000,GO19044_LC
251455558,348.34480,-1.05217,18.53000,GO19044_LC
251455559,351.33057,1.19662,18.53000,GO19044_LC
251455560,352.83255,-1.10899,18.53000,GO19044_LC
251455562,348.75342,-0.30870,18.58000,GO19044_LC
251455563,352.41550,-0.82189,18.60000,GO19044_LC
251455567,349.18253,1.15342,18.65000,GO19044_LC
251455571,348.17407,0.41398,18.71000,GO19044_LC
251455575,350.93420,-0.85194,18.81000,GO19044_LC
251455579,346.72495,-0.26823,18.82000,GO19044_LC
251455581,347.52444,-1.13773,18.85000,GO19044_LC
251455583,348.68796,0.14362,18.87000,GO19044_LC
251455587,350.60660,0.41403,18.92000,GO19044_LC
