# Summary of K2 Program GO19059

Title: The Kepler Extragalactic Survey (KEGS)

PI: Rest, Armin (STScI)
CoIs: Peter Garnavich (Notre Dame), Brad Tucker (ANU), Dan Kasen (Berkeley), Ed Shaya, Richard Mushotzky (UMD), Steve Margheim (Gemini)



# Targets requested by this program that have been observed (2976)
EPIC,RA,Dec,Kp,InvestigationIDs
206295996,345.19537,-8.30228,16.90000,GO19053_LC|GO19059_LC
206296037,345.21136,-8.30180,17.70440,GO19059_LC
206296122,345.21844,-8.30064,18.20000,GO19053_LC|GO19059_LC
206303598,345.17163,-8.18587,18.50000,GO19053_LC|GO19059_LC
206304577,345.13240,-8.17066,18.20000,GO19053_LC|GO19059_LC
206316412,344.94670,-7.98591,18.07230,GO19059_LC
206347794,344.63223,-7.48577,17.08210,GO19059_LC
206348435,344.76190,-7.47459,18.09440,GO19059_LC
206350659,344.70300,-7.43729,17.35000,GO19053_LC|GO19059_LC
206352083,344.81277,-7.41344,18.01800,GO19059_LC
206353144,344.71957,-7.39564,16.24000,GO19053_LC|GO19059_LC
206354952,344.74017,-7.36711,17.51180,GO19059_LC
206355645,344.75958,-7.35479,18.02660,GO19059_LC
206366835,344.40790,-7.17016,17.19000,GO19053_LC|GO19059_LC
206369640,344.50390,-7.12348,17.51650,GO19059_LC
206373112,344.64835,-7.06590,18.01970,GO19059_LC
206388752,344.14032,-6.81360,16.00000,GO19053_LC|GO19059_LC
206398169,344.10430,-6.66192,17.46290,GO19059_LC
206399755,340.99670,-6.63600,16.44000,GO19053_LC|GO19059_LC
206403457,340.51462,-6.57668,18.01740,GO19059_LC
206405529,344.12753,-6.54270,17.44810,GO19059_LC
206407771,340.92154,-6.50526,15.70000,GO19053_LC|GO19059_LC
206408348,343.98508,-6.49501,17.79330,GO19059_LC
206410886,343.93524,-6.45331,15.06000,GO19053_LC|GO19059_LC
206412540,340.63782,-6.42603,17.69250,GO19059_LC
206417069,340.41177,-6.34964,17.66770,GO19059_LC
206418587,340.34372,-6.32374,18.00530,GO19059_LC
206419348,340.88670,-6.31081,17.21000,GO19053_LC|GO19059_LC
206420145,341.49756,-6.29727,17.16850,GO19059_LC
206422543,340.49090,-6.25717,17.84160,GO19059_LC
206423460,341.17838,-6.24237,17.82690,GO19059_LC
206424102,341.34970,-6.23184,16.85000,GO19053_LC|GO19059_LC
206424249,340.49213,-6.22942,18.09320,GO19059_LC
206427818,340.26233,-6.16978,17.80520,GO19059_LC
206429157,343.86690,-6.14674,17.67850,GO19059_LC
206430755,340.42346,-6.12060,17.66310,GO19059_LC
206430963,340.35100,-6.11733,17.93490,GO19059_LC
206431543,340.35226,-6.10791,16.31000,GO19053_LC|GO19059_LC
206432120,340.28280,-6.09847,17.89130,GO19059_LC
206432238,340.35000,-6.09673,17.85990,GO19059_LC
206432842,340.42233,-6.08700,17.14000,GO19053_LC|GO19059_LC
206432872,340.45718,-6.08653,17.62810,GO19059_LC
206432874,340.17737,-6.08648,15.96000,GO19053_LC|GO19059_LC
206433245,340.90732,-6.08060,16.92170,GO19059_LC
206434300,340.41364,-6.06390,17.59840,GO19059_LC
206435062,343.63660,-6.05028,18.03620,GO19059_LC
206436287,340.40973,-6.02972,17.70000,GO19053_LC|GO19059_LC
206436299,344.02893,-6.02958,17.84150,GO19059_LC
206438081,343.82233,-6.00044,17.89490,GO19059_LC
206439226,341.19193,-5.98266,17.93240,GO19059_LC
206439930,341.29037,-5.97160,17.36780,GO19059_LC
206441598,340.32474,-5.94450,17.96840,GO19059_LC
206442842,340.81220,-5.92392,17.89820,GO19059_LC
206444946,341.81357,-5.88915,18.05530,GO19059_LC
206447835,341.10223,-5.84242,18.04480,GO19059_LC
206448195,340.00436,-5.83616,17.79520,GO19059_LC
206448300,343.67575,-5.83455,16.88000,GO19053_LC|GO19059_LC
206448562,340.83035,-5.83017,17.23000,GO19059_LC
206450469,340.30680,-5.79871,17.97250,GO19059_LC
206451397,341.47174,-5.78299,17.98000,GO19059_LC
206451415,341.46967,-5.78253,16.87000,GO19053_LC|GO19059_LC
206452242,340.83862,-5.76864,17.81000,GO19053_LC|GO19059_LC
206452465,341.56372,-5.76470,17.91470,GO19059_LC
206452526,341.10043,-5.76389,16.85000,GO19053_LC|GO19059_LC
206453295,340.65097,-5.75008,17.66390,GO19059_LC
206453806,343.80115,-5.74159,17.61350,GO19059_LC
206454362,340.05100,-5.73190,17.56690,GO19059_LC
206454490,341.52220,-5.72990,17.76910,GO19059_LC
206454978,341.13904,-5.72108,17.89630,GO19059_LC
206456980,341.42126,-5.68704,16.16000,GO19053_LC|GO19059_LC
206457411,339.86426,-5.67921,18.03200,GO19059_LC
206459858,341.39460,-5.63610,17.84510,GO19059_LC
206461264,341.18307,-5.61237,17.49690,GO19059_LC
206462336,339.76650,-5.59368,17.93960,GO19059_LC
206462444,340.24738,-5.59202,17.79650,GO19059_LC
206465535,340.92560,-5.53824,16.89000,GO19053_LC|GO19059_LC
206465749,340.95532,-5.53483,17.98220,GO19059_LC
206466919,341.78640,-5.51447,17.42620,GO19059_LC
206470433,341.79974,-5.45191,17.94200,GO19059_LC
206470948,341.14835,-5.44312,17.88910,GO19059_LC
206472014,341.59497,-5.42298,17.86550,GO19059_LC
206472593,341.26187,-5.41198,17.53170,GO19059_LC
206472820,340.77982,-5.40775,17.89810,GO19059_LC
206474135,342.38196,-5.38294,17.70860,GO19059_LC
206474485,340.72858,-5.37614,17.47430,GO19059_LC
206475478,341.63663,-5.35725,18.06740,GO19059_LC
206475742,340.65150,-5.35210,17.41000,GO19053_LC|GO19059_LC
206475782,341.39508,-5.35155,17.84090,GO19059_LC
206476023,341.38700,-5.34689,16.74000,GO19053_LC|GO19059_LC
206476869,342.08224,-5.33057,17.24250,GO19059_LC
206477842,342.07858,-5.31211,18.05430,GO19059_LC
206478385,341.47946,-5.30281,17.57870,GO19059_LC
206478463,341.64505,-5.30138,18.07120,GO19059_LC
206478509,340.08295,-5.30032,17.92000,GO19059_LC
206478691,341.68560,-5.29709,17.34440,GO19059_LC
206478868,341.68820,-5.29366,17.93090,GO19059_LC
206478884,341.67972,-5.29333,17.93990,GO19059_LC
206479329,341.65955,-5.28477,16.88000,GO19053_LC|GO19059_LC
