EPIC,rafloat,decfloat,Kp,InvestigationIDs
206307309,345.12060,-8.12724,12.92800,GO19049_LC|GO19065_LC
206308609,345.12050,-8.10804,12.55700,GO19049_LC|GO19065_LC
206317135,345.03568,-7.97471,12.38600,GO19049_LC|GO19065_LC
206350322,344.76724,-7.44284,12.96200,GO19049_LC|GO19065_LC
206352935,344.62030,-7.39888,12.82100,GO19049_LC|GO19065_LC
206359809,344.54650,-7.28707,10.47300,GO19003_LC|GO19049_LC|GO19065_LC
206363823,344.71090,-7.22096,11.83700,GO19049_LC|GO19065_LC
206366911,344.73056,-7.16880,10.60000,GO19003_LC|GO19049_LC|GO19065_LC
206388180,344.46616,-6.82268,11.92300,GO19049_LC|GO19065_LC
206389192,344.43646,-6.80632,12.91700,GO19049_LC|GO19065_LC
206390037,344.30716,-6.79325,12.35200,GO19040_LC|GO19049_LC|GO19065_LC
206393365,344.22144,-6.74040,10.72700,GO19003_LC|GO19049_LC|GO19065_LC
206394178,340.67642,-6.72702,12.89500,GO19049_LC|GO19065_LC|GO19068_LC
206398171,340.78952,-6.66189,11.82900,GO19049_LC|GO19054_LC|GO19065_LC
206398197,340.94916,-6.66147,12.83700,GO19049_LC|GO19065_LC
206398398,344.45810,-6.65828,11.85200,GO19003_LC|GO19049_LC|GO19065_LC
206399795,344.15448,-6.63559,12.03200,GO19003_LC|GO19040_LC|GO19049_LC|GO19050_LC|GO19065_LC
206400185,344.09958,-6.62924,10.97500,GO19003_LC|GO19049_LC|GO19065_LC
206400704,344.45282,-6.62087,11.62700,GO19049_LC|GO19065_LC
206401496,340.78450,-6.60758,12.59600,GO19049_LC|GO19065_LC
206404497,344.28880,-6.55958,12.78200,GO19049_LC|GO19065_LC
206404930,340.96304,-6.55248,10.14300,GO19003_LC|GO19049_LC|GO19065_LC
206406253,344.22192,-6.53081,12.26700,GO19049_LC|GO19065_LC
206406531,344.33700,-6.52634,11.49600,GO19049_LC|GO19065_LC
206407421,344.13345,-6.51123,12.31700,GO19049_LC|GO19065_LC
