# Summary of K2 Program GO19065

Title: Characterizing Small K2 Planets With The HARPS-N Spectrograph

PI: Dressing, Courtney (University of California, Berkeley)
CoIs: David Charbonneau, Raphaelle Haywood, David Latham, Mercedes Lopez-Morales, & Dimitar Sasselov (Harvard University) and Andrew Vanderburg (University of Texas, Austin)



# Targets requested by this program that have been observed (2856)
EPIC,RA,Dec,Kp,InvestigationIDs
206301180,345.12770,-8.22193,12.37700,GO19049_LC|GO19065_LC
206317135,345.03568,-7.97471,12.38600,GO19049_LC|GO19065_LC
206317533,344.95038,-7.96883,11.35000,GO19049_LC|GO19065_LC
206321157,344.95282,-7.91016,11.31100,GO19003_LC|GO19049_LC|GO19065_LC
206359809,344.54650,-7.28707,10.47300,GO19003_LC|GO19049_LC|GO19065_LC
206363823,344.71090,-7.22096,11.83700,GO19049_LC|GO19065_LC
206366911,344.73056,-7.16880,10.60000,GO19003_LC|GO19049_LC|GO19065_LC
206388180,344.46616,-6.82268,11.92300,GO19049_LC|GO19065_LC
206390037,344.30716,-6.79325,12.35200,GO19040_LC|GO19049_LC|GO19065_LC
206393365,344.22144,-6.74040,10.72700,GO19003_LC|GO19049_LC|GO19065_LC
206398171,340.78952,-6.66189,11.82900,GO19049_LC|GO19054_LC|GO19065_LC
206398398,344.45810,-6.65828,11.85200,GO19003_LC|GO19049_LC|GO19065_LC
206399795,344.15448,-6.63559,12.03200,GO19003_LC|GO19040_LC|GO19049_LC|GO19050_LC|GO19065_LC
206400185,344.09958,-6.62924,10.97500,GO19003_LC|GO19049_LC|GO19065_LC
206400704,344.45282,-6.62087,11.62700,GO19049_LC|GO19065_LC
206400806,340.48120,-6.61924,12.28900,GO19049_LC|GO19065_LC
206404469,340.44952,-6.56020,9.40800,GO19003_LC|GO19032_LC|GO19049_LC|GO19065_LC
206404930,340.96304,-6.55248,10.14300,GO19003_LC|GO19049_LC|GO19065_LC
206406253,344.22192,-6.53081,12.26700,GO19049_LC|GO19065_LC
206406531,344.33700,-6.52634,11.49600,GO19049_LC|GO19065_LC
206407421,344.13345,-6.51123,12.31700,GO19049_LC|GO19065_LC
206407503,341.00955,-6.50988,12.09400,GO19049_LC|GO19065_LC
206408038,344.08090,-6.50089,12.19700,GO19049_LC|GO19065_LC
206408679,343.97446,-6.48952,9.10700,GO19003_LC|GO19049_LC|GO19065_LC
206410345,343.90100,-6.46249,12.08800,GO19003_LC|GO19049_LC|GO19065_LC
206412599,341.27470,-6.42481,11.47500,GO19003_LC|GO19049_LC|GO19065_LC
206412639,340.83987,-6.42389,12.20400,GO19049_LC|GO19065_LC
206414483,344.32562,-6.39335,11.75700,GO19049_LC|GO19065_LC
206415266,340.79526,-6.38030,10.60100,GO19003_LC|GO19049_LC|GO19065_LC
206416383,344.31155,-6.36147,12.46600,GO19049_LC|GO19063_LC|GO19065_LC|GO19068_LC
206416999,344.10510,-6.35067,11.68000,GO19003_LC|GO19049_LC|GO19065_LC
206417713,344.11540,-6.33867,11.39400,GO19003_LC|GO19049_LC|GO19065_LC
206419235,341.43000,-6.31297,11.22300,GO19049_LC|GO19050_LC|GO19065_LC
206419413,344.17650,-6.30987,11.40100,GO19049_LC|GO19065_LC
206419422,340.85928,-6.30967,10.85400,GO19003_LC|GO19049_LC|GO19065_LC
206420143,340.97787,-6.29732,12.07000,GO19049_LC|GO19065_LC
206421604,340.67053,-6.27326,11.72900,GO19049_LC|GO19065_LC
206421677,340.66797,-6.27206,11.28100,GO19065_LC
206422156,341.22690,-6.26351,11.76000,GO19049_LC|GO19065_LC
206423125,340.73260,-6.24815,11.96700,GO19049_LC|GO19065_LC
206423252,340.32477,-6.24603,9.57200,GO19003_LC|GO19032_LC|GO19049_LC|GO19065_LC
206423687,340.40800,-6.23884,11.56100,GO19049_LC|GO19065_LC
206424190,340.96198,-6.23047,12.01700,GO19049_LC|GO19065_LC
206424296,340.91672,-6.22871,11.80000,GO19049_LC|GO19065_LC
206424623,341.11930,-6.22323,12.41900,GO19049_LC|GO19065_LC
206424680,343.72230,-6.22248,12.11400,GO19049_LC|GO19065_LC
206425980,340.84494,-6.20045,11.53300,GO19003_LC|GO19049_LC|GO19065_LC
206426067,340.37770,-6.19893,12.37600,GO19049_LC|GO19065_LC
206426184,344.16495,-6.19703,11.04600,GO19003_LC|GO19049_LC|GO19065_LC
206428340,340.18610,-6.16103,12.22600,GO19049_LC|GO19063_LC|GO19065_LC|GO19068_LC
206428539,340.37130,-6.15744,8.58600,GO19003_LC|GO19038_LC|GO19049_LC|GO19065_LC
206430863,341.32382,-6.11867,11.98900,GO19003_LC|GO19049_LC|GO19065_LC
206431379,341.13574,-6.11050,11.40800,GO19003_LC|GO19049_LC|GO19065_LC
206432375,340.21695,-6.09456,11.51800,GO19003_LC|GO19049_LC|GO19065_LC
206432449,341.73540,-6.09336,11.79700,GO19049_LC|GO19063_LC|GO19065_LC|GO19068_LC
206432869,340.63925,-6.08660,11.93500,GO19049_LC|GO19065_LC
206434584,340.87033,-6.05883,12.22700,GO19049_LC|GO19065_LC
206435286,341.08823,-6.04641,10.82200,GO19003_LC|GO19049_LC|GO19065_LC
206437183,343.67615,-6.01482,11.82400,GO19049_LC|GO19065_LC
206437320,340.09772,-6.01299,12.14100,GO19026_LC|GO19049_LC|GO19065_LC|GO19068_LC
206437688,341.70690,-6.00686,11.22700,GO19003_LC|GO19049_LC|GO19065_LC|GO19068_LC
206437883,343.97708,-6.00365,12.21600,GO19049_LC|GO19065_LC
206438700,341.14620,-5.99065,10.98300,GO19049_LC|GO19065_LC
206439304,341.64285,-5.98146,12.15900,GO19049_LC|GO19065_LC
206440886,343.53754,-5.95646,12.48200,GO19049_LC|GO19065_LC
206441232,340.69810,-5.95061,12.48900,GO19049_LC|GO19065_LC
206441301,343.52567,-5.94958,11.92700,GO19049_LC|GO19065_LC
206441940,340.25240,-5.93877,11.28100,GO19003_LC|GO19049_LC|GO19065_LC
206442201,341.70483,-5.93435,9.38000,GO19003_LC|GO19030_LC|GO19049_LC|GO19065_LC
206442857,343.53410,-5.92371,11.53400,GO19049_LC|GO19065_LC
206442969,340.79210,-5.92174,10.81400,GO19003_LC|GO19049_LC|GO19065_LC
206443991,340.07834,-5.90467,10.97100,GO19049_LC|GO19065_LC
206444119,340.55383,-5.90269,11.69200,GO19003_LC|GO19049_LC|GO19050_LC|GO19065_LC
206444721,341.46866,-5.89285,11.36900,GO19049_LC|GO19065_LC
206444990,340.34906,-5.88837,11.79300,GO19049_LC|GO19065_LC
206445686,343.53775,-5.87685,10.47400,GO19049_LC|GO19065_LC|GO19068_LC
