# Summary of K2 Program GO19067

Title: Getting a Head Start on TESS

PI: Barclay, Thomas (University of Maryland, Baltimore County)
CoIs: 



# Targets requested by this program that have been observed (1093)
EPIC,RA,Dec,Kp,InvestigationIDs
245922618,348.11557,-12.09753,17.84500,GO19059_LC|GO19067_LC
245924577,348.02133,-11.98277,11.91000,GO19049_LC|GO19065_LC|GO19067_LC
245924999,348.10907,-11.96222,12.47900,GO19049_LC|GO19065_LC|GO19067_LC|GO19068_LC
245925582,347.99820,-11.93355,7.65900,GO19051_LC|GO19067_LC
245925916,347.89660,-11.91661,12.16400,GO19049_LC|GO19065_LC|GO19067_LC
245925928,347.82060,-11.91622,12.80800,GO19049_LC|GO19063_LC|GO19065_LC|GO19067_LC
245926318,348.15863,-11.89638,14.72000,GO19053_LC|GO19059_LC|GO19067_LC
245927226,348.26602,-11.85427,16.29000,GO19053_LC|GO19059_LC|GO19067_LC
245927318,348.09625,-11.84944,12.27700,GO19049_LC|GO19065_LC|GO19067_LC
245927911,348.35170,-11.81937,13.61300,GO19063_LC|GO19067_LC
245927973,347.92890,-11.81676,18.01290,GO19059_LC|GO19067_LC
245928353,347.78796,-11.79838,12.48100,GO19049_LC|GO19065_LC|GO19067_LC
245929396,348.41290,-11.74619,13.95400,GO19011_LC|GO19067_LC
245929897,348.07663,-11.72181,17.67850,GO19059_LC|GO19067_LC
245929949,348.07578,-11.71953,17.40090,GO19059_LC|GO19067_LC
245930022,348.63593,-11.71603,10.26900,GO19003_LC|GO19038_LC|GO19049_LC|GO19065_LC|GO19067_LC
245930222,348.16470,-11.70586,17.48700,GO19059_LC|GO19067_LC
245930282,348.57132,-11.70294,12.02000,GO19030_LC|GO19067_LC
245930450,348.18768,-11.69486,17.78290,GO19059_LC|GO19067_LC
245930808,348.45990,-11.67709,15.92900,GO19063_LC|GO19067_LC|GO19068_LC
245931690,348.78440,-11.63037,15.30100,GO19063_LC|GO19067_LC
245931711,348.51678,-11.62941,9.94400,GO19003_LC|GO19049_LC|GO19065_LC|GO19067_LC
245931927,348.17584,-11.61908,13.90800,GO19026_LC|GO19063_LC|GO19067_LC|GO19068_LC
245933030,348.27573,-11.56659,11.12800,GO19049_LC|GO19065_LC|GO19067_LC
245933051,348.83698,-11.56549,8.59300,GO19049_LC|GO19067_LC
245933176,348.45280,-11.55926,16.34000,GO19063_LC|GO19067_LC
245933515,348.53702,-11.54191,12.17400,GO19049_LC|GO19065_LC|GO19067_LC|GO19068_LC
245933625,348.84317,-11.53629,14.70400,GO19063_LC|GO19067_LC|GO19068_LC
245934227,348.49387,-11.50615,16.55600,GO19063_LC|GO19067_LC
245934248,348.48810,-11.50517,17.62020,GO19059_LC|GO19067_LC
245934486,348.91296,-11.49260,14.72400,GO19063_LC|GO19067_LC|GO19068_LC
245937556,349.11234,-11.34240,12.39500,GO19049_LC|GO19065_LC|GO19067_LC
245937844,348.84980,-11.32869,14.52100,GO19063_LC|GO19067_LC|GO19068_LC
245939138,349.03912,-11.26506,15.19200,GO19063_LC|GO19067_LC|GO19068_LC
245939811,349.28952,-11.23252,14.53500,GO19063_LC|GO19067_LC|GO19068_LC
245940149,349.26068,-11.21787,11.43800,GO19049_LC|GO19065_LC|GO19067_LC
