# Summary of K2 Program GO19068

Title: Galactic archaeology on a grand scale - C17-19

PI: Stello, Dennis (UNSW-Sydney)
CoIs: Marc Pinsonneault (OSU, Columbus), Derek Buzasi (Florida Gulf Coast University), Ken Freeman (ANU, Australia), Andrea Miglio (U. Birmingham, UK), Sanjib Sharma (U.Sydney, Australia)



# Targets requested by this program that have been observed (10031)
EPIC,rafloat,decfloat,Kp,InvestigationIDs
200262473,,,,GO19038|GO19050|GO19051|GO19067|GO19068|5_PISCIUM-LC-BRIGHT_STAR_DISC
206297185,345.20398,-8.28459,14.88100,GO19068_LC
206305963,345.14580,-8.14898,16.16900,GO19063_LC|GO19068_LC
206309570,345.12766,-8.09414,16.12200,GO19063_LC|GO19068_LC
206320361,344.99933,-7.92360,13.15700,GO19068_LC
206352336,344.82098,-7.40910,13.88800,GO19068_LC
206353412,344.66720,-7.39176,16.84300,GO19063_LC|GO19068_LC
206356841,344.75806,-7.33529,15.51300,GO19063_LC|GO19068_LC
206358879,344.61356,-7.30217,13.93600,GO19068_LC
206364937,344.48083,-7.20223,17.27800,GO19063_LC|GO19068_LC
206365300,344.63425,-7.19651,13.38300,GO19049_LC|GO19068_LC
206365534,344.75833,-7.19261,10.94400,GO19068_LC
206371707,344.46997,-7.08981,10.87000,GO19050_LC|GO19068_LC
206372285,344.62730,-7.08014,13.93200,GO19068_LC
206374325,344.61493,-7.04605,14.22200,GO19011_LC|GO19026_LC|GO19063_LC|GO19068_LC
206375661,344.38614,-7.02384,13.07800,GO19049_LC|GO19068_LC
206376125,344.59875,-7.01660,13.32700,GO19011_LC|GO19063_LC|GO19064_LC|GO19068_LC|GO19064_SC
206376267,344.64500,-7.01408,10.97200,GO19068_LC
206382205,344.60794,-6.91857,12.29000,GO19011_LC|GO19068_LC
206383215,344.47025,-6.90280,13.00400,GO19011_LC|GO19068_LC
206385071,344.22348,-6.87230,14.14000,GO19040_LC|GO19068_LC
206388628,344.26907,-6.81570,9.15300,GO19040_LC|GO19068_LC
206389260,344.29938,-6.80537,14.09900,GO19040_LC|GO19068_LC
206392586,344.53930,-6.75308,11.48100,GO19050_LC|GO19068_LC
206393122,340.83432,-6.74456,15.58500,GO19063_LC|GO19068_LC
206394178,340.67642,-6.72702,12.89500,GO19049_LC|GO19065_LC|GO19068_LC
206395241,344.37910,-6.71016,16.55500,GO19068_LC
206395696,344.51245,-6.70288,17.31500,GO19063_LC|GO19068_LC
206395782,340.61166,-6.70169,12.52500,GO19068_LC
206396695,344.40650,-6.68669,15.61100,GO19005_LC|GO19068_LC
206397641,344.30990,-6.67088,15.63600,GO19011_LC|GO19068_LC
206397817,340.79175,-6.66811,14.89000,GO19054_LC|GO19063_LC|GO19068_LC
206398070,344.14697,-6.66362,11.87000,GO19040_LC|GO19068_LC
206401012,344.18810,-6.61570,14.71500,GO19040_LC|GO19068_LC
206402340,340.52316,-6.59376,15.10000,GO19063_LC|GO19068_LC
206402422,344.29740,-6.59245,13.22300,GO19068_LC
206402496,344.31476,-6.59155,16.24400,GO19063_LC|GO19068_LC
206402585,344.26428,-6.59029,15.91000,GO19063_LC|GO19068_LC
206402990,340.64713,-6.58366,12.99600,GO19068_LC
206403846,341.05743,-6.57088,14.01200,GO19068_LC
206404894,344.00250,-6.55308,14.25600,GO19040_LC|GO19068_LC
206405377,340.79947,-6.54553,14.48900,GO19068_LC
206405971,340.98480,-6.53577,14.16600,GO19068_LC
206406028,344.18000,-6.53476,14.23700,GO19068_LC
206406223,344.11407,-6.53125,11.41900,GO19040_LC|GO19068_LC
206407123,344.25600,-6.51610,14.15400,GO19068_LC
206407149,344.24400,-6.51571,13.22400,GO19049_LC|GO19063_LC|GO19068_LC
206407202,340.66205,-6.51471,14.03000,GO19068_LC
206407306,340.46826,-6.51311,15.34600,GO19063_LC|GO19068_LC
