# Summary of K2 Program GO19901

Title: The 100 nearest stars brighter than 16th magnitude as revealed by Gaia DR2

PI: Hedges, Christina Louise (NASA Ames)
CoIs: 



# Targets requested by this program that have been observed (87)
EPIC,rafloat,decfloat,Kp,InvestigationIDs
206414019,340.83875,-6.40082,8.44800,GO19014_LC|GO19026_LC|GO19038_LC|GO19043_LC|GO19049_LC|GO19901_LC
206454290,340.57196,-5.73312,9.37500,GO19003_LC|GO19038_LC|GO19049_LC|GO19065_LC|GO19068_LC|GO19901_LC
206480817,340.41614,-5.25702,14.07300,GO19063_LC|GO19068_LC|GO19901_LC
206482718,341.38177,-5.22155,14.03100,GO19063_LC|GO19068_LC|GO19901_LC
206493968,340.71667,-4.99920,10.17700,GO19003_LC|GO19038_LC|GO19049_LC|GO19065_LC|GO19068_LC|GO19901_LC
206517202,340.58032,-4.52688,14.10000,GO19063_LC|GO19068_LC|GO19901_LC
245942715,348.33182,-11.10502,14.53600,GO19063_LC|GO19068_LC|GO19901_LC
246011844,346.34570,-9.18183,13.96100,GO19026_LC|GO19068_LC|GO19901_LC
246021795,348.53174,-8.93133,7.97000,GO19032_LC|GO19038_LC|GO19065_LC|GO19901_LC
246023512,349.89847,-8.88805,13.55200,GO19038_LC|GO19063_LC|GO19068_LC|GO19901_LC
246027348,351.54022,-8.78864,13.78228,GO19063_LC|GO19068_LC|GO19901_LC
246033148,352.57028,-8.64374,12.16600,GO19001_LC|GO19038_LC|GO19052_LC|GO19063_LC|GO19065_LC|GO19068_LC|GO19901_LC|GO19052_SC
246039147,350.25640,-8.50159,9.49200,GO19003_LC|GO19032_LC|GO19038_LC|GO19049_LC|GO19065_LC|GO19068_LC|GO19901_LC
246043993,352.86368,-8.38992,12.54300,GO19026_LC|GO19063_LC|GO19065_LC|GO19068_LC|GO19901_LC
246057717,348.65463,-8.07864,9.22800,GO19003_LC|GO19038_LC|GO19049_LC|GO19065_LC|GO19901_LC
246061535,351.31085,-7.99069,12.94300,GO19063_LC|GO19065_LC|GO19068_LC|GO19901_LC
246069342,347.59155,-7.81481,14.05400,GO19011_LC|GO19052_LC|GO19063_LC|GO19068_LC|GO19901_LC|GO19052_SC
246069493,347.60297,-7.81200,7.20900,GO19003_LC|GO19005_LC|GO19011_LC|GO19026_LC|GO19032_LC|GO19036_LC|GO19038_LC|GO19049_LC|GO19065_LC|GO19901_LC|GO19036_SC
246080182,351.09808,-7.57111,14.22600,GO19068_LC|GO19901_LC
246081092,351.02640,-7.55076,7.46000,GO19003_LC|GO19032_LC|GO19038_LC|GO19049_LC|GO19065_LC|GO19901_LC
246082583,349.32120,-7.51906,12.74500,GO19063_LC|GO19068_LC|GO19901_LC
246084437,346.21740,-7.47820,13.82100,GO19068_LC|GO19901_LC
246093819,345.90167,-7.27502,12.28400,GO19001_LC|GO19052_LC|GO19063_LC|GO19065_LC|GO19068_LC|GO19901_LC|GO19052_SC
246099088,349.24643,-7.16078,6.65300,GO19003_LC|GO19011_LC|GO19036_LC|GO19038_LC|GO19049_LC|GO19901_LC
246127340,348.60490,-6.54657,15.31600,GO19037_LC|GO19038_LC|GO19901_LC|GO19037_SC
