# Summary of K2 Program GO19902

Title: Variable stars in C19 as revealed by Gaia DR2

PI: Hedges, Christina Louise (NASA Ames)
CoIs: 



# Targets requested by this program that have been observed (64)
EPIC,rafloat,decfloat,Kp,InvestigationIDs
206436835,341.03894,-6.02017,15.30500,GO19068_LC|GO19902_LC
206440388,341.62878,-5.96414,11.48800,GO19068_LC|GO19902_LC
206454502,341.78967,-5.72976,12.10300,GO19049_LC|GO19065_LC|GO19902_LC
206473353,341.91187,-5.39788,15.53200,GO19068_LC|GO19902_LC
206479935,341.68225,-5.27422,16.06400,GO19068_LC|GO19902_LC
245946233,348.30576,-10.97759,13.98300,GO19068_LC|GO19902_LC
245966285,347.37634,-10.38319,15.12800,GO19068_LC|GO19902_LC
245974543,348.48870,-10.15477,16.80000,GO19053_LC|GO19068_LC|GO19902_LC
245982086,350.40424,-9.95354,15.80500,GO19068_LC|GO19902_LC
245982614,348.93695,-9.93959,13.58900,GO19049_LC|GO19063_LC|GO19068_LC|GO19902_LC
246004110,351.16672,-9.38110,14.96100,GO19068_LC|GO19902_LC
246024100,347.46237,-8.87363,12.87800,GO19063_LC|GO19064_LC|GO19065_LC|GO19068_LC|GO19902_LC|GO19064_SC
246042462,345.66530,-8.42616,14.49400,GO19068_LC|GO19902_LC
246052919,350.59824,-8.18872,14.47400,GO19068_LC|GO19902_LC
246058459,350.10904,-8.06048,15.56400,GO19068_LC|GO19902_LC
246072788,345.38880,-7.73616,15.59500,GO19068_LC|GO19902_LC
246074701,347.61194,-7.69214,14.57600,GO19068_LC|GO19902_LC
246079989,348.61157,-7.57508,15.16600,GO19063_LC|GO19068_LC|GO19902_LC
246095577,352.29187,-7.23801,15.50230,GO19902_LC
246102818,344.89526,-7.07968,13.33800,GO19026_LC|GO19052_LC|GO19063_LC|GO19068_LC|GO19902_LC|GO19052_SC
246144446,344.63834,-6.18035,11.38000,GO19049_LC|GO19065_LC|GO19902_LC
246151168,351.42917,-6.03594,11.84500,GO19026_LC|GO19049_LC|GO19065_LC|GO19068_LC|GO19902_LC
246152729,350.87950,-6.00348,10.95100,GO19026_LC|GO19038_LC|GO19049_LC|GO19065_LC|GO19068_LC|GO19902_LC
246175039,350.38123,-5.53542,13.77400,GO19063_LC|GO19068_LC|GO19902_LC
246177898,347.41623,-5.47711,14.62800,GO19063_LC|GO19068_LC|GO19902_LC
246187304,349.03780,-5.28414,15.85500,GO19068_LC|GO19902_LC
246194698,346.64360,-5.13083,14.49000,GO19068_LC|GO19902_LC
246233731,350.21075,-4.35717,13.07200,GO19049_LC|GO19902_LC
246240303,351.37340,-4.23265,11.05000,GO19065_LC|GO19902_LC
246273273,346.51025,-3.60197,12.91400,GO19049_LC|GO19065_LC|GO19068_LC|GO19902_LC
246279469,355.13240,-3.47377,15.58800,GO19068_LC|GO19902_LC
246304930,352.71124,-2.96835,12.61400,GO19049_LC|GO19065_LC|GO19902_LC
246310444,349.40884,-2.85615,13.80300,GO19011_LC|GO19063_LC|GO19902_LC
