# Summary of K2 Program GO20014

Title: Gyrochronology in Wide Binaries with K2

PI: Otani, T. (Embry-Riddle Aeronautical University)
CoIs: D. Buzasi, T. Oswalt

Precise ages for field stars are a critical fundamental parameter for advancing our knowledge of the Milky Way’s formation history. Likewise, understanding exoplanetary formation and habitability depends on accurate stellar ages. Stars lose angular momentum as they age, causing their rotation rates to slow over time (Skumanich 1972). Assuming stars are born with an initial distribution of rotation periods and gradually spin down, this angular momentum evolution provides a useful clock – a technique known as “gyrochronology”. As the stars spin down the internal magnetic dynamo also diminishes; this process has been dubbed “magnetochronology”. Except for asteroseismology, gyrochronology is currently the best way to measure ages of individual stars. Asteroseismology, however, is not practical for normal non-variable and faint MS stars. 

While stellar rotation is reliably recovered for many stars with Kepler/K2 (Aigrain et al. 2015), the accuracy of ages determined from these periods is debated, with typical uncertainties of ~1 Gyr. Furthermore, prescriptions for gyrochronology relations have been devised using a variety of calibrations, ranging from young open clusters at fixed ages (e.g. Barnes 2010, Meibom et al. 2011), to asteroseismology-based ages for solar mass stars (e.g. Angus 2015). None of these models yield reliable or uniform age estimates for stars at all ages and masses. Widely separated common proper motion binary stars provide a unique benchmark for testing these competing gyrochronology relations across all masses and ages, and for potentially creating an independent spin-down calibration. The range of rotation rates, ages and masses among the wide binaries selected for our study can populate the entire rotation-mass-age surface and help resolve the current disagreement between rotation and asteroseismology ages (cf. García et al. 2014; Barnes et al. 2016; dos Santos et al. 2016; Gonzales 2016; van Saders et al. 2016). 

Janes (2017) used the original Kepler data of 56 binaries to obtain a period-color diagram. Our undergraduate students and we also used the K2 earlier Campaign data of total 24 wide binaries to obtain a period-color diagram (Oswalt et al. 2017; Stone-Martinez et al. 2018). However, both of those researches need more samples for statistical analysis. We are proposing for long cadence observations of 110 wide binary systems (total 220 stars) with K2 Campaign 20. The objective of our study is: Calibrate the stellar rotation–age paradigm using wide main sequence (MS) binaries, where components are coeval and have evolved independently. This dataset will build on our previous successful proposal for total ~500 binaries from Campaign 4-5, 14-19. In total, we hope to create a publicly available catalog of wide binary systems at a range of masses and ages to calibrate evolution of the age– rotation–activity relation.

# Targets requested by this program that have been observed (201)
EPIC,RA,Dec,Kp,InvestigationIDs
210473763, 67.118888, 14.960513, 12.681, GO20014_LC
210474951, 67.131811, 14.982487, 14.913, GO20014_LC
210494077, 67.080219, 15.311758, 15.156, GO20014_LC|GO20021_LC
210494463, 67.072668, 15.318087, 12.557, GO20014_LC|GO20908_LC
210624389, 66.91217, 17.308813, 16.01, GO20014_LC|GO20026_LC|GO20907_LC
210624644, 66.913879, 17.312383, 13.217, GO20014_LC|GO20026_LC|GO20907_LC|GO20908_LC
210699873, 67.105201, 18.361579, 14.765, GO20014_LC
210700559, 67.103578, 18.370839, 11.962, GO20014_LC|GO20027_LC|GO20905_LC
210724913, 65.547301, 18.729848, 11.761, GO20014_LC
210724954, 65.544106, 18.730306, 11.795, GO20014_LC
210754849, 66.646909, 19.184052, 18.282, GO20014_LC|GO20033_LC
210755553, 66.647622, 19.194291, 14.859, GO20014_LC|GO20908_LC
210780956, 65.520712, 19.58012, 11.771, GO20014_LC|GO20021_LC|GO20026_LC
210781112, 65.518308, 19.582499, 16.502, GO20014_LC
210864136, 65.23503, 20.840567, 13.215, GO20014_LC|GO20908_LC
210864873, 65.232971, 20.852754, 13.962, GO20014_LC|GO20033_LC|GO20905_LC
210870227, 65.172158, 20.932711, 11.78, GO20014_LC|GO20027_LC|GO20908_LC
210870601, 65.172735, 20.938549, 14.811, GO20014_LC|GO20905_LC
210873819, 66.777139, 20.985879, 15.6, GO20014_LC|GO20908_LC
210874177, 66.780786, 20.990885, 9.175, GO20009_LC|GO20014_LC
210893871, 65.352574, 21.296321, 12.37, GO20014_LC|GO20027_LC|GO20908_LC
210894985, 65.35677, 21.313928, 14.938, GO20014_LC|GO20908_LC
210915310, 65.30949, 21.630185, 14.95, GO20014_LC|GO20033_LC|GO20907_LC|GO20908_LC
210915987, 65.316143, 21.640549, 14.601, GO20014_LC|GO20033_LC|GO20034_LC|GO20908_LC
210934391, 61.118695, 21.934603, 11.055, GO20002_LC|GO20014_LC|GO20026_LC|GO20027_LC
