# Summary of K2 Program GO20026

Title: K2 C20: Finishing Young with Taurus

PI: Rizzuto, A. (UT Austin)
CoIs: A. Kraus, A. Mann, A. Vanderburg, D. Krolikowski

The Taurus star-forming region (0-3 Myr, ~145pc; Torres et al. 2007) provides the critical youngest sample for the story of exoplanet evolution that K2 is revealing. At the age of Taurus, multi-body migration mechanisms (e.g., Kozai-Lidov cycles, planet-planet scattering) will not have had sufficient time to produce short period systems (P<20 d), while disk migration is expected to drive some into short period orbits. The detection/absence of short period transiting exoplanets (which all K2 planets must be) in Taurus will constrain on the timescales of exoplanet formation, and identify the dominant mechanism of migration.

The fundamental properties of stars constitute a bedrock for much of astronomy, and nearly all exoplanet studies. Current models predict stellar properties that differ from observations by up to ~300K for solar-mass PMS stars on the L-Teff HR diagram (Rizzuto et al., 2016) and fail to predict the correct position on the mass-radius relation. These mass/age ambiguities hinder interpretations for directly-imaged gas giant and IMF studies in young populations (e.g., Lafreni`ere et al. 2008 and Ireland et al. 2011, Preibisch et al. 2002 vs Pecaut et al. 2012). Empirical masses and radii for eclipsing binaries (EBs), combined with spectroscopic followup, directly place stars in both the HR diagram and the mass-radius plane. The first handful of such systems from young clustrers in K2 (e.g. 10 Myr UScoCTIO5; Kraus et al. 2015) are now yielding dynamical masses and radii that pose crucial new tests on models. Taurus will provide additional <5 Myr eclipsing binaries to push model calibrations to younger ages.

We propose long cadence observations of all 9<Kp<19 Taurus members in the C13 footprint (452 in total) to enable the discovery and characterization of recently formed transiting exoplanets and EBs.

# Targets requested by this program that have been observed (412)
EPIC,RA,Dec,Kp,InvestigationIDs
210509151, 67.174995, 15.564866, 15.066, GO20008_LC|GO20021_LC|GO20026_LC
210610031, 67.863241, 17.106877, 12.193, GO20002_LC|GO20021_LC|GO20026_LC|GO20908_LC
210624389, 66.91217, 17.308813, 16.01, GO20014_LC|GO20026_LC|GO20907_LC
210624644, 66.913879, 17.312383, 13.217, GO20014_LC|GO20026_LC|GO20907_LC|GO20908_LC
210625769, 67.674364, 17.328566, 14.617, GO20021_LC|GO20026_LC|GO20907_LC
210662824, 66.794042, 17.845179, 10.039, GO20002_LC|GO20026_LC|GO20908_LC
210678152, 66.632336, 18.056342, 12.893, GO20002_LC|GO20026_LC|GO20908_LC
210690735, 67.516651, 18.230399, 10.389, GO20002_LC|GO20013_LC|GO20021_LC|GO20026_LC|GO20908_LC
210690736, 67.514934, 18.230407, 12.356, GO20002_LC|GO20021_LC|GO20026_LC|GO20905_LC
210698143, 67.81579, 18.335302, 14.677, GO20021_LC|GO20026_LC|GO20028_LC|GO20029_LC|GO20905_LC
210698281, 68.060705, 18.337455, 11.961, GO20002_LC|GO20021_LC|GO20026_LC|GO20029_LC|GO20905_LC
210699670, 67.998676, 18.358473, 17.427, GO20021_LC|GO20026_LC|GO20029_LC
210699801, 67.990804, 18.360528, 12.484, GO20002_LC|GO20021_LC|GO20026_LC|GO20027_LC|GO20028_LC|GO20029_LC|GO20907_LC|GO20908_LC
210707957, 66.630538, 18.477333, 16.824, GO20026_LC
210716897, 66.589781, 18.608479, 13.838, GO20002_LC|GO20021_LC|GO20026_LC|GO20908_LC
210720843, 67.802275, 18.667385, 18.175, GO20021_LC|GO20026_LC
210725857, 67.210547, 18.743366, 15.95, GO20008_LC|GO20021_LC|GO20026_LC|GO20907_LC|GO20908_LC
210754990, 67.930637, 19.186134, 15.017, GO20021_LC|GO20026_LC|GO20907_LC
210777987, 65.497639, 19.535103, 7.24, GO20026_LC
210777988, 65.497644, 19.535116, 9.609, GO20002_LC|GO20021_LC|GO20026_LC|GO20002_SC
210778753, 65.961724, 19.547219, 13.643, GO20002_LC|GO20026_LC|GO20907_LC|GO20908_LC
210780297, 65.430134, 19.570371, 11.87, GO20021_LC|GO20026_LC|GO20027_LC
210780789, 65.555513, 19.577566, 14.2, GO20008_LC|GO20021_LC|GO20026_LC
210780956, 65.520712, 19.58012, 11.771, GO20014_LC|GO20021_LC|GO20026_LC
210796040, 65.734527, 19.809039, 13.513, GO20002_LC|GO20026_LC|GO20908_LC
210798038, 65.88712, 19.838701, 16.711, GO20008_LC|GO20021_LC|GO20026_LC
210798039, 66.167725, 19.838713, 14.722, GO20026_LC|GO20908_LC
210813486, 66.584359, 20.07316, 16.144, GO20026_LC
210840804, 65.383316, 20.491227, 12.909, GO20026_LC|GO20907_LC|GO20908_LC
210850599, 64.966031, 20.635918, 16.675, GO20026_LC
210866759, 66.486584, 20.880028, 15.171, GO20021_LC|GO20026_LC
210906547, 65.847991, 21.492092, 15.226, GO20026_LC|GO20907_LC
210908779, 66.688204, 21.528009, 16.918, GO20026_LC
210914162, 66.571597, 21.612131, 16.775, GO20026_LC
210924101, 64.906871, 21.771902, 11.963, GO20026_LC|GO20907_LC
210929228, 61.378688, 21.852944, 14.089, GO20002_LC|GO20021_LC|GO20026_LC|GO20907_LC|GO20908_LC
210934391, 61.118695, 21.934603, 11.055, GO20002_LC|GO20014_LC|GO20026_LC|GO20027_LC
210934910, 61.133987, 21.943075, 14.201, GO20002_LC|GO20026_LC|GO20907_LC|GO20908_LC
210936710, 61.16405, 21.971816, 14.26, GO20002_LC|GO20021_LC|GO20026_LC|GO20905_LC
210936757, 61.166032, 21.972631, 13.125, GO20002_LC|GO20021_LC|GO20026_LC|GO20907_LC|GO20908_LC
210938106, 61.206475, 21.994557, 15.498, GO20026_LC
210941293, 61.164467, 22.045428, 11.499, GO20002_LC|GO20026_LC|GO20027_LC|GO20908_LC
210946427, 61.304492, 22.12882, 14.497, GO20002_LC|GO20026_LC|GO20907_LC|GO20908_LC
210951696, 61.672493, 22.211445, 15.543, GO20021_LC|GO20026_LC
210954147, 61.19887, 22.250756, 15.261, GO20026_LC|GO20907_LC|GO20908_LC
210959901, 61.881237, 22.339537, 14.926, GO20026_LC
210960769, 64.46364, 22.354063, 9.02, GO20002_LC|GO20021_LC|GO20026_LC
210961624, 65.565826, 22.36772, 16.143, GO20026_LC
210962228, 61.109725, 22.377817, 15.22, GO20026_LC|GO20908_LC
210972718, 60.944272, 22.54796, 14.749, GO20026_LC
210974566, 62.321846, 22.576648, 14.966, GO20021_LC|GO20026_LC|GO20907_LC
210977750, 61.89594, 22.627619, 14.555, GO20021_LC|GO20026_LC|GO20907_LC
210981260, 67.023719, 22.683058, 16.009, GO20021_LC|GO20026_LC
210989166, 61.419101, 22.80334, 10.016, GO20002_LC|GO20021_LC|GO20026_LC|GO20027_LC|GO20908_LC
210995707, 61.620276, 22.907041, 12.235, GO20021_LC|GO20026_LC|GO20908_LC
210996884, 61.220964, 22.925324, 16.374, GO20026_LC|GO20034_LC|GO20907_LC|GO20908_LC
211022236, 61.724014, 23.324356, 15.29, GO20021_LC|GO20026_LC
211034886, 60.892091, 23.5259, 16.112, GO20026_LC
211063591, 62.320389, 23.986895, 14.33, GO20026_LC
211064250, 62.185613, 23.996837, 14.098, GO20026_LC
211158277, 62.517367, 25.588615, 15.56, GO20026_LC
211191972, 62.14936, 26.265902, 14.742, GO20026_LC
246841078, 68.222887, 16.170576, 15.165, GO20021_LC|GO20026_LC|GO20907_LC
246875118, 69.968244, 16.509701, 15.267, GO20026_LC
246901098, 69.63827, 16.763876, 16.693, GO20026_LC
246901158, 69.639396, 16.764475, 13.938, GO20026_LC|GO20907_LC
246923113, 71.775872, 16.978558, 10.545, GO20002_LC|GO20021_LC|GO20026_LC|GO20905_LC
246925324, 71.721091, 17.000025, 12.57, GO20002_LC|GO20021_LC|GO20026_LC|GO20029_LC|GO20905_LC
246929818, 71.745747, 17.043852, 12.746, GO20002_LC|GO20021_LC|GO20026_LC|GO20027_LC|GO20029_LC|GO20905_LC
246940545, 72.779776, 17.146278, 15.931, GO20021_LC|GO20026_LC|GO20908_LC
246945370, 68.573141, 17.192009, 15.364, GO20021_LC|GO20026_LC
246963876, 68.630357, 17.37227, 13.731, GO20021_LC|GO20026_LC
246966226, 72.810804, 17.395706, 15.658, GO20021_LC|GO20026_LC
246977142, 68.213319, 17.502558, 16.087, GO20008_LC|GO20021_LC|GO20026_LC
246977631, 73.128147, 17.50714, 11.749, GO20002_LC|GO20021_LC|GO20026_LC|GO20029_LC|GO20908_LC
