# Summary of K2 Program GO20906

Title: Gaia variables in K2 Campaign 20

PI: Hedges, Christina (Kepler/K2)
CoIs: GO Office



# Targets requested by this program that have been observed (20)
EPIC,RA,Dec,Kp,InvestigationIDs
210572348, 66.363372, 16.556444, 9.195, GO20906_LC
210600471, 67.134887, 16.972494, 15.632, GO20006_LC|GO20016_LC|GO20906_LC|GO20908_LC
211098164, 61.776842, 24.532476, 12.976, GO20906_LC|GO20907_LC|GO20908_LC
211198537, 63.431197, 26.415633, 9.009, GO20906_LC
211200242, 62.926475, 26.455053, 10.995, GO20906_LC|GO20907_LC|GO20908_LC
246798387, 67.684757, 15.725314, 12.95, GO20906_LC|GO20907_LC|GO20908_LC
246940947, 68.490694, 17.150098, 12.095, GO20906_LC|GO20907_LC
246965066, 71.59085, 17.384194, 9.296, GO20906_LC|GO20907_LC
247272929, 73.492568, 20.306845, 11.856, GO20906_LC|GO20907_LC|GO20908_LC
247346189, 74.666119, 20.951672, 9.599, GO20906_LC|GO20907_LC|GO20908_LC
247356614, 68.88761, 21.040906, 11.147, GO20906_LC|GO20907_LC
247416289, 74.620989, 21.527863, 9.998, GO20906_LC|GO20907_LC|GO20908_LC
247425210, 76.20855, 21.601881, 10.251, GO20906_LC|GO20907_LC|GO20908_LC
247520086, 74.535403, 22.349961, 13.671, GO20006_LC|GO20906_LC|GO20908_LC
247745903, 70.326952, 24.03264, 9.825, GO20906_LC|GO20907_LC|GO20908_LC
248107187, 67.446006, 26.642968, 12.257, GO20906_LC|GO20907_LC|GO20908_LC
248117801, 68.648017, 26.735169, 10.413, GO20906_LC|GO20907_LC|GO20908_LC
248244703, 72.073384, 27.921698, 10.126, GO20906_LC|GO20907_LC|GO20908_LC
248282810, 72.435835, 28.341459, 10.625, GO20906_LC|GO20907_LC|GO20908_LC
251952651, 68.209599, 29.710966, 9.724, GO20906_LC|GO20907_LC|GO20908_LC
