EPIC,RA,Dec,Kp,InvestigationIDs
210477576, 67.005112, 15.027713, 14.567, GO20033_LC|GO20034_LC|GO20907_LC
210489953, 66.950118, 15.240796, 14.44, GO20907_LC|GO20908_LC
210490818, 67.303817, 15.255265, 14.553, GO20907_LC|GO20908_LC
210501233, 66.872582, 15.433671, 14.307, GO20907_LC|GO20908_LC
210501950, 67.236321, 15.445612, 15.238, GO20907_LC|GO20908_LC
210503084, 67.487246, 15.464038, 14.594, GO20907_LC|GO20908_LC
210504944, 66.904, 15.496132, 15.208, GO20907_LC|GO20908_LC
210507942, 67.174972, 15.545118, 14.412, GO20907_LC|GO20908_LC
210509789, 67.4116, 15.575161, 15.434, GO20907_LC
210514008, 67.191333, 15.644974, 15.163, GO20907_LC
210514600, 67.236907, 15.654501, 15.004, GO20907_LC|GO20908_LC
210514870, 67.309482, 15.658875, 15.515, GO20907_LC
210517929, 67.208212, 15.707959, 15.908, GO20907_LC
210519789, 66.998622, 15.738237, 15.681, GO20907_LC
210519995, 67.160027, 15.741743, 14.424, GO20907_LC|GO20908_LC
210524602, 67.185172, 15.817083, 13.402, GO20907_LC|GO20908_LC
210532515, 66.930855, 15.94214, 16.11, GO20907_LC
210541338, 66.765781, 16.082186, 14.449, GO20033_LC|GO20907_LC|GO20908_LC
210544486, 67.30062, 16.131218, 15.773, GO20907_LC
210546584, 66.936576, 16.163641, 14.371, GO20907_LC
210549467, 67.473569, 16.207581, 14.083, GO20907_LC|GO20908_LC
210552148, 66.919769, 16.248719, 13.814, GO20011_LC|GO20030_LC|GO20033_LC|GO20034_LC|GO20907_LC|GO20908_LC
210562046, 67.200116, 16.402033, 14.653, GO20907_LC|GO20908_LC
210568107, 66.88102, 16.493258, 15.387, GO20907_LC
210568981, 66.709737, 16.506785, 13.496, GO20907_LC|GO20908_LC
210570127, 67.222524, 16.523573, 12.874, GO20027_LC|GO20033_LC|GO20907_LC|GO20908_LC
210572656, 66.459222, 16.561004, 15.221, GO20907_LC
210573029, 66.518477, 16.566727, 11.353, GO20907_LC|GO20908_LC
210578768, 67.061146, 16.652383, 14.357, GO20011_LC|GO20033_LC|GO20907_LC|GO20908_LC
210579604, 67.168298, 16.66517, 14.62, GO20907_LC
210581663, 67.377233, 16.695665, 14.609, GO20907_LC
210583400, 67.31045, 16.721956, 15.39, GO20907_LC|GO20908_LC
210583620, 66.39314, 16.725047, 13.478, GO20907_LC|GO20908_LC
210593399, 66.22556, 16.869263, 15.919, GO20033_LC|GO20907_LC
210593609, 67.853799, 16.872182, 15.061, GO20907_LC|GO20908_LC
210596446, 67.482257, 16.914051, 11.999, GO20011_LC|GO20027_LC|GO20030_LC|GO20033_LC|GO20034_LC|GO20907_LC|GO20908_LC
210598008, 67.851872, 16.936805, 15.144, GO20907_LC
210600112, 67.059464, 16.966931, 14.399, GO20021_LC|GO20033_LC|GO20034_LC|GO20907_LC|GO20908_LC
210619915, 66.770999, 17.246367, 12.547, GO20907_LC|GO20908_LC
210621117, 67.930229, 17.263176, 15.427, GO20907_LC
210621261, 67.322673, 17.265277, 14.945, GO20011_LC|GO20033_LC|GO20034_LC|GO20907_LC|GO20908_LC
210624389, 66.91217, 17.308813, 16.01, GO20014_LC|GO20026_LC|GO20907_LC
210624644, 66.913879, 17.312383, 13.217, GO20014_LC|GO20026_LC|GO20907_LC|GO20908_LC
210625769, 67.674364, 17.328566, 14.617, GO20021_LC|GO20026_LC|GO20907_LC
210631009, 67.408762, 17.403538, 15.913, GO20021_LC|GO20907_LC
210637379, 67.764672, 17.494698, 14.531, GO20011_LC|GO20033_LC|GO20907_LC
210637750, 67.599842, 17.499738, 13.396, GO20011_LC|GO20030_LC|GO20033_LC|GO20903_LC|GO20907_LC|GO20908_LC|GO20033_SC
210642340, 67.846643, 17.563557, 15.228, GO20907_LC|GO20908_LC
210652214, 66.071295, 17.699163, 14.823, GO20907_LC|GO20908_LC
210655159, 66.232056, 17.740064, 14.161, GO20021_LC|GO20907_LC|GO20908_LC
210657457, 66.384278, 17.769924, 14.696, GO20907_LC|GO20908_LC
210664565, 66.147122, 17.868346, 12.358, GO20907_LC|GO20908_LC
210666556, 65.857632, 17.895904, 15.049, GO20011_LC|GO20033_LC|GO20034_LC|GO20907_LC
210666742, 66.112101, 17.898682, 10.43, GO20907_LC|GO20908_LC
210672404, 66.727532, 17.975826, 16.307, GO20033_LC|GO20034_LC|GO20907_LC
210674157, 66.867007, 17.999713, 13.721, GO20907_LC|GO20908_LC
210674207, 66.590457, 18.000294, 14.599, GO20011_LC|GO20016_LC|GO20030_LC|GO20033_LC|GO20034_LC|GO20907_LC
210679235, 67.178871, 18.071746, 15.273, GO20033_LC|GO20034_LC|GO20907_LC
210681853, 67.455449, 18.107087, 14.452, GO20907_LC
210682122, 66.17611, 18.110905, 15.698, GO20907_LC
210688614, 67.416652, 18.200458, 14.83, GO20907_LC|GO20908_LC
210690107, 67.659822, 18.221701, 16.223, GO20907_LC
210690419, 66.873658, 18.22599, 15.044, GO20907_LC
210691645, 66.31697, 18.24324, 14.511, GO20907_LC|GO20908_LC
210692066, 66.77783, 18.24933, 14.434, GO20907_LC|GO20908_LC
210693186, 67.453655, 18.264927, 13.689, GO20907_LC
210694698, 67.348585, 18.286425, 14.566, GO20907_LC|GO20908_LC
210695688, 66.323352, 18.300779, 15.88, GO20011_LC|GO20033_LC|GO20034_LC|GO20907_LC
210695890, 67.248627, 18.303619, 13.311, GO20907_LC|GO20908_LC
210696429, 67.994215, 18.31133, 12.757, GO20907_LC|GO20908_LC
210698153, 67.376862, 18.33547, 15.243, GO20907_LC|GO20908_LC
210698324, 65.579683, 18.338129, 14.8, GO20907_LC
210698561, 67.690324, 18.341989, 14.409, GO20907_LC|GO20908_LC
210699801, 67.990804, 18.360528, 12.484, GO20002_LC|GO20021_LC|GO20026_LC|GO20027_LC|GO20028_LC|GO20029_LC|GO20907_LC|GO20908_LC
210700487, 67.294915, 18.369806, 14.706, GO20907_LC|GO20908_LC
210701956, 65.680259, 18.390901, 14.781, GO20907_LC|GO20908_LC
210702541, 66.85142, 18.399271, 14.442, GO20907_LC
210703325, 67.466588, 18.410376, 13.015, GO20907_LC|GO20908_LC
210704115, 67.367999, 18.421776, 14.892, GO20907_LC|GO20908_LC
210704408, 67.963676, 18.425741, 15.775, GO20907_LC
210704589, 66.426031, 18.42827, 15.806, GO20907_LC
210706663, 67.383137, 18.458778, 15.881, GO20907_LC
210706834, 67.159231, 18.461194, 14.513, GO20907_LC|GO20908_LC
210707492, 66.595926, 18.470514, 12.401, GO20907_LC|GO20908_LC
210707808, 67.591093, 18.47517, 13.119, GO20907_LC|GO20908_LC
210708523, 66.634812, 18.485622, 14.56, GO20907_LC|GO20908_LC
210708920, 67.145875, 18.491529, 14.453, GO20907_LC|GO20908_LC
210708940, 66.713425, 18.491768, 15.609, GO20907_LC
210711802, 67.360005, 18.533448, 14.271, GO20907_LC|GO20908_LC
210712734, 67.046804, 18.547371, 15.794, GO20907_LC
210713457, 66.985509, 18.558025, 15.8, GO20907_LC
210714469, 66.807912, 18.572378, 14.698, GO20907_LC|GO20908_LC
210715254, 66.345143, 18.584164, 15.918, GO20907_LC|GO20908_LC
210715375, 66.540387, 18.586274, 15.112, GO20907_LC
210716801, 67.746133, 18.607203, 14.737, GO20907_LC|GO20908_LC
210717499, 66.149099, 18.617559, 15.799, GO20907_LC
210718011, 65.444527, 18.625301, 14.687, GO20907_LC|GO20908_LC
210718930, 65.986159, 18.638931, 14.608, GO20011_LC|GO20016_LC|GO20030_LC|GO20033_LC|GO20034_LC|GO20907_LC
210719733, 66.500386, 18.650793, 14.69, GO20907_LC|GO20908_LC
210719799, 67.476868, 18.651833, 14.695, GO20907_LC|GO20908_LC
210720807, 66.999948, 18.666903, 15.133, GO20907_LC|GO20908_LC
210720901, 66.762405, 18.668268, 15.243, GO20907_LC|GO20908_LC
210721237, 67.351075, 18.673298, 15.242, GO20907_LC
210721391, 66.831235, 18.675596, 16.113, GO20907_LC
210721616, 66.60892, 18.679268, 15.225, GO20907_LC
210722099, 66.576607, 18.686978, 14.004, GO20907_LC|GO20908_LC
210722332, 68.025799, 18.690614, 14.038, GO20907_LC|GO20908_LC
210723247, 66.480338, 18.704162, 15.598, GO20907_LC
210723764, 67.457555, 18.712051, 11.604, GO20907_LC|GO20908_LC
210724091, 65.669765, 18.717242, 11.504, GO20907_LC|GO20908_LC
210724775, 66.000491, 18.727601, 14.796, GO20033_LC|GO20034_LC|GO20907_LC
210724776, 66.892854, 18.727604, 13.706, GO20021_LC|GO20907_LC
210725857, 67.210547, 18.743366, 15.95, GO20008_LC|GO20021_LC|GO20026_LC|GO20907_LC|GO20908_LC
210726373, 66.522308, 18.75104, 15.296, GO20907_LC|GO20908_LC
210726910, 66.99672, 18.759065, 13.073, GO20011_LC|GO20030_LC|GO20033_LC|GO20907_LC|GO20908_LC
210729157, 66.291528, 18.792626, 14.299, GO20907_LC|GO20908_LC
210729584, 67.894413, 18.798805, 15.227, GO20033_LC|GO20034_LC|GO20907_LC
210729669, 67.363966, 18.8001, 15.155, GO20907_LC|GO20908_LC
210729986, 66.714619, 18.804588, 13.311, GO20907_LC|GO20908_LC
210730245, 66.397152, 18.808567, 15.446, GO20907_LC
210730934, 65.622059, 18.819045, 14.557, GO20907_LC
210733768, 66.418983, 18.861731, 15.164, GO20907_LC
210734173, 67.874591, 18.867878, 15.34, GO20907_LC
210734348, 67.075276, 18.870593, 15.595, GO20907_LC
210734946, 66.453944, 18.879974, 14.43, GO20033_LC|GO20907_LC
210736686, 66.592041, 18.905451, 14.0, GO20907_LC|GO20908_LC
210736724, 65.850475, 18.906186, 12.089, GO20907_LC
210737258, 67.358083, 18.914206, 14.867, GO20907_LC|GO20908_LC
210738106, 65.782627, 18.927595, 14.974, GO20907_LC
210739151, 65.482278, 18.944267, 16.06, GO20907_LC
210741564, 65.873902, 18.980062, 15.472, GO20907_LC
210742104, 66.820345, 18.988201, 14.786, GO20907_LC|GO20908_LC
210742567, 67.856137, 18.995427, 15.024, GO20907_LC
210742598, 66.906937, 18.995812, 14.548, GO20907_LC|GO20908_LC
210743571, 65.40771, 19.010654, 15.101, GO20907_LC
210743724, 66.424322, 19.013215, 13.8, GO20011_LC|GO20016_LC|GO20030_LC|GO20033_LC|GO20907_LC
210744025, 66.354137, 19.017802, 15.064, GO20021_LC|GO20907_LC|GO20908_LC
210744124, 66.402127, 19.019672, 11.798, GO20907_LC|GO20908_LC
210744725, 65.699921, 19.0284, 14.509, GO20907_LC|GO20908_LC
210744824, 67.272729, 19.030061, 13.339, GO20907_LC|GO20908_LC
210746230, 66.840047, 19.051132, 15.018, GO20907_LC|GO20908_LC
210747235, 67.166723, 19.066241, 14.986, GO20907_LC
210747321, 65.546832, 19.067452, 14.967, GO20907_LC|GO20908_LC
210747471, 65.461595, 19.069779, 15.521, GO20907_LC
210748419, 66.420142, 19.084668, 15.215, GO20907_LC
210748634, 66.45394, 19.08803, 16.281, GO20907_LC
210750408, 67.017015, 19.11518, 15.565, GO20907_LC
210751242, 67.167232, 19.128363, 13.778, GO20907_LC
210753590, 67.914468, 19.165461, 9.839, GO20907_LC|GO20908_LC
210753816, 65.338279, 19.168762, 14.413, GO20907_LC|GO20908_LC
210754620, 66.087286, 19.180739, 14.397, GO20011_LC|GO20016_LC|GO20030_LC|GO20033_LC|GO20034_LC|GO20907_LC
210754990, 67.930637, 19.186134, 15.017, GO20021_LC|GO20026_LC|GO20907_LC
210755443, 66.306793, 19.192791, 15.543, GO20907_LC
210759048, 65.444411, 19.247881, 14.351, GO20021_LC|GO20907_LC|GO20908_LC
210759564, 65.534627, 19.256181, 11.902, GO20011_LC|GO20033_LC|GO20034_LC|GO20907_LC|GO20033_SC
210760475, 65.367562, 19.269721, 12.475, GO20907_LC|GO20908_LC
210761574, 66.209024, 19.286047, 15.047, GO20907_LC
210762537, 66.486007, 19.300918, 15.636, GO20907_LC
210767801, 65.71934, 19.379977, 13.661, GO20907_LC|GO20908_LC
210767847, 65.832073, 19.38053, 13.311, GO20907_LC|GO20908_LC
210770466, 66.061906, 19.420287, 13.38, GO20907_LC
210774732, 65.55622, 19.484623, 14.007, GO20011_LC|GO20033_LC|GO20034_LC|GO20907_LC|GO20908_LC
210776261, 65.627866, 19.508136, 14.773, GO20907_LC|GO20908_LC
210778753, 65.961724, 19.547219, 13.643, GO20002_LC|GO20026_LC|GO20907_LC|GO20908_LC
210779260, 67.297486, 19.554979, 13.211, GO20907_LC
210782303, 66.771432, 19.600877, 14.664, GO20033_LC|GO20034_LC|GO20907_LC|GO20908_LC
210782537, 67.410274, 19.604334, 14.822, GO20033_LC|GO20034_LC|GO20907_LC
210783806, 65.667932, 19.623459, 14.697, GO20033_LC|GO20034_LC|GO20907_LC|GO20908_LC
210785419, 65.711884, 19.647624, 14.014, GO20907_LC|GO20908_LC
210786127, 65.972243, 19.658346, 15.642, GO20907_LC
210786566, 66.081637, 19.664684, 14.873, GO20907_LC|GO20908_LC
210787817, 67.083321, 19.682822, 12.492, GO20907_LC|GO20908_LC
210788154, 66.702248, 19.688308, 12.384, GO20907_LC|GO20908_LC
210792664, 66.573714, 19.758009, 7.318, GO20907_LC|GO20908_LC
210794183, 66.695961, 19.781236, 14.974, GO20907_LC|GO20908_LC
210796290, 66.673239, 19.812851, 14.782, GO20907_LC|GO20908_LC
210799575, 66.968831, 19.86173, 14.659, GO20907_LC|GO20908_LC
210800164, 67.381838, 19.87014, 15.368, GO20907_LC
210802483, 66.635841, 19.905645, 15.025, GO20033_LC|GO20907_LC|GO20908_LC
210802858, 66.008141, 19.910834, 14.693, GO20907_LC|GO20908_LC
210804682, 67.017322, 19.937598, 17.407, GO20907_LC
210805673, 67.241141, 19.953518, 15.758, GO20907_LC
210806455, 67.477411, 19.965839, 14.9, GO20907_LC
210806953, 67.248513, 19.973341, 10.03, GO20907_LC|GO20908_LC
210809222, 66.303649, 20.007569, 14.972, GO20033_LC|GO20034_LC|GO20907_LC|GO20908_LC
210809482, 66.964183, 20.011716, 15.789, GO20907_LC
210813389, 67.198267, 20.071745, 15.253, GO20907_LC
210815885, 66.564502, 20.109676, 14.366, GO20033_LC|GO20907_LC|GO20908_LC
210820139, 67.138375, 20.175708, 14.498, GO20907_LC|GO20908_LC
210827577, 66.851486, 20.288798, 15.754, GO20907_LC
210832298, 64.802691, 20.361018, 15.924, GO20907_LC
210840804, 65.383316, 20.491227, 12.909, GO20026_LC|GO20907_LC|GO20908_LC
210842582, 67.337616, 20.517812, 15.553, GO20033_LC|GO20907_LC|GO20908_LC
210849738, 64.617888, 20.62379, 14.302, GO20907_LC|GO20908_LC
210850291, 65.588816, 20.631255, 12.681, GO20907_LC|GO20908_LC
210851550, 64.922812, 20.650024, 14.326, GO20011_LC|GO20033_LC|GO20034_LC|GO20907_LC|GO20908_LC
210852041, 65.637943, 20.657733, 15.712, GO20033_LC|GO20034_LC|GO20907_LC
210852755, 64.633352, 20.668076, 15.081, GO20907_LC
210853899, 65.682969, 20.685005, 15.753, GO20907_LC
210854076, 64.567107, 20.687801, 15.16, GO20033_LC|GO20907_LC|GO20908_LC
210854770, 65.030343, 20.698069, 15.827, GO20907_LC
210856200, 67.794455, 20.718346, 15.938, GO20907_LC
210857858, 66.268, 20.744123, 14.944, GO20907_LC|GO20908_LC
210858534, 65.593516, 20.754691, 12.157, GO20027_LC|GO20907_LC|GO20908_LC
210858587, 65.933309, 20.755518, 15.973, GO20033_LC|GO20034_LC|GO20907_LC
210863726, 64.590464, 20.834193, 15.229, GO20907_LC
210868523, 65.196403, 20.906836, 11.907, GO20907_LC|GO20908_LC
210871053, 64.896712, 20.944633, 12.143, GO20907_LC|GO20908_LC
210871685, 64.824116, 20.95394, 13.635, GO20907_LC|GO20908_LC
210872109, 66.705552, 20.959808, 14.85, GO20907_LC|GO20908_LC
210874578, 66.610451, 20.99683, 13.317, GO20907_LC|GO20908_LC
210883278, 64.526884, 21.132224, 15.088, GO20033_LC|GO20907_LC|GO20908_LC
210885987, 64.480828, 21.173517, 15.629, GO20907_LC
210886693, 64.463838, 21.184547, 15.495, GO20907_LC
210887236, 66.710274, 21.192409, 12.688, GO20907_LC|GO20908_LC
210887952, 66.588555, 21.203544, 15.915, GO20907_LC
210889923, 65.087117, 21.233984, 14.885, GO20907_LC|GO20908_LC
210890670, 66.43233, 21.245616, 15.379, GO20907_LC
210890952, 66.194399, 21.250417, 14.55, GO20907_LC|GO20908_LC
210892300, 64.335931, 21.271565, 14.775, GO20907_LC|GO20908_LC
210893155, 66.599071, 21.285404, 15.764, GO20907_LC|GO20908_LC
210893389, 66.394656, 21.28888, 15.285, GO20907_LC
210895551, 65.422195, 21.32312, 14.511, GO20034_LC|GO20907_LC
210895793, 66.643766, 21.326817, 15.187, GO20907_LC|GO20908_LC
210895913, 65.45866, 21.32857, 12.298, GO20011_LC|GO20027_LC|GO20033_LC|GO20034_LC|GO20907_LC|GO20908_LC
210896498, 64.517663, 21.337362, 15.608, GO20907_LC
210896946, 64.574595, 21.344187, 14.966, GO20907_LC|GO20908_LC
210898331, 66.793538, 21.365167, 15.255, GO20907_LC|GO20908_LC
210899851, 65.033307, 21.388198, 13.187, GO20907_LC|GO20908_LC
210901721, 65.372399, 21.417627, 14.808, GO20907_LC
210902623, 67.575502, 21.431811, 15.343, GO20907_LC|GO20908_LC
210902735, 65.620166, 21.433745, 15.775, GO20907_LC
210902852, 65.460265, 21.43548, 14.219, GO20033_LC|GO20034_LC|GO20907_LC|GO20908_LC
210903494, 65.440096, 21.445255, 14.354, GO20907_LC
210906547, 65.847991, 21.492092, 15.226, GO20026_LC|GO20907_LC
210908824, 65.681014, 21.528487, 13.418, GO20907_LC|GO20908_LC
210910189, 66.208175, 21.54929, 15.168, GO20907_LC|GO20908_LC
210911150, 65.272552, 21.56477, 14.221, GO20907_LC|GO20908_LC
210912993, 65.566505, 21.593235, 14.905, GO20907_LC|GO20908_LC
210913721, 65.635683, 21.604896, 15.335, GO20907_LC|GO20908_LC
210913813, 65.563391, 21.606265, 15.211, GO20907_LC|GO20908_LC
210914977, 60.839844, 21.625104, 15.266, GO20033_LC|GO20907_LC|GO20908_LC
210915310, 65.30949, 21.630185, 14.95, GO20014_LC|GO20033_LC|GO20907_LC|GO20908_LC
210916453, 64.283358, 21.647782, 14.63, GO20907_LC|GO20908_LC
210917599, 65.157476, 21.666003, 14.95, GO20907_LC|GO20908_LC
210917990, 60.890655, 21.671407, 15.694, GO20907_LC|GO20908_LC
210918673, 64.079531, 21.68232, 14.985, GO20907_LC|GO20908_LC
210918817, 65.736341, 21.684401, 12.202, GO20907_LC|GO20908_LC
210919474, 65.110666, 21.694896, 15.231, GO20907_LC|GO20908_LC
210919985, 64.861954, 21.703331, 15.237, GO20021_LC|GO20033_LC|GO20907_LC
210920348, 66.111132, 21.709482, 19.03, GO20011_LC|GO20033_LC|GO20907_LC|GO20908_LC
210920541, 64.557037, 21.712507, 14.768, GO20021_LC|GO20907_LC|GO20908_LC
210920582, 66.592892, 21.713052, 15.071, GO20907_LC|GO20908_LC
210920884, 64.485482, 21.718065, 14.94, GO20907_LC|GO20908_LC
210920946, 66.660535, 21.719279, 14.61, GO20907_LC
210921031, 65.243314, 21.720639, 15.49, GO20907_LC
210921037, 64.825771, 21.720702, 12.884, GO20011_LC|GO20027_LC|GO20033_LC|GO20907_LC|GO20908_LC
210921071, 65.638147, 21.721284, 15.583, GO20907_LC
210922545, 64.919141, 21.746063, 14.206, GO20907_LC|GO20908_LC
210923615, 60.75781, 21.76412, 14.669, GO20907_LC
210924101, 64.906871, 21.771902, 11.963, GO20026_LC|GO20907_LC
210924370, 64.397517, 21.776099, 14.412, GO20907_LC|GO20908_LC
210924621, 64.870698, 21.780162, 14.791, GO20907_LC
210925357, 66.128107, 21.792321, 14.955, GO20907_LC|GO20908_LC
210926887, 60.967508, 21.815843, 16.108, GO20033_LC|GO20034_LC|GO20907_LC|GO20908_LC
210928756, 66.12189, 21.845865, 14.156, GO20907_LC|GO20908_LC
210929228, 61.378688, 21.852944, 14.089, GO20002_LC|GO20021_LC|GO20026_LC|GO20907_LC|GO20908_LC
210930032, 66.407809, 21.865557, 15.019, GO20907_LC|GO20908_LC
210930132, 66.352729, 21.867092, 14.888, GO20907_LC|GO20908_LC
210932004, 65.924577, 21.895901, 15.289, GO20907_LC
210933253, 67.302526, 21.916232, 13.593, GO20033_LC|GO20907_LC|GO20908_LC
210934029, 60.934009, 21.928976, 14.926, GO20033_LC|GO20034_LC|GO20907_LC
210934470, 60.683328, 21.936066, 15.388, GO20033_LC|GO20907_LC
210934705, 64.375764, 21.939848, 12.979, GO20907_LC
210934910, 61.133987, 21.943075, 14.201, GO20002_LC|GO20026_LC|GO20907_LC|GO20908_LC
210936757, 61.166032, 21.972631, 13.125, GO20002_LC|GO20021_LC|GO20026_LC|GO20907_LC|GO20908_LC
210937588, 64.822932, 21.986034, 11.694, GO20907_LC|GO20908_LC
210938367, 61.359063, 21.99887, 15.993, GO20907_LC
210939863, 61.067807, 22.023166, 15.696, GO20907_LC|GO20908_LC
210941849, 66.044424, 22.054571, 15.609, GO20021_LC|GO20907_LC|GO20908_LC
210942182, 61.78295, 22.059637, 15.696, GO20907_LC
210945189, 62.028227, 22.107932, 14.731, GO20907_LC|GO20908_LC
210946427, 61.304492, 22.12882, 14.497, GO20002_LC|GO20026_LC|GO20907_LC|GO20908_LC
210950573, 66.231112, 22.193284, 14.695, GO20907_LC|GO20908_LC
210952433, 64.577233, 22.223063, 13.686, GO20011_LC|GO20033_LC|GO20907_LC|GO20908_LC
210953138, 65.449641, 22.234762, 14.905, GO20907_LC|GO20908_LC
210954012, 63.854627, 22.248681, 15.058, GO20907_LC|GO20908_LC
210954147, 61.19887, 22.250756, 15.261, GO20026_LC|GO20907_LC|GO20908_LC
210954982, 66.29384, 22.263549, 11.517, GO20907_LC|GO20908_LC
210955713, 62.090707, 22.274326, 13.374, GO20907_LC|GO20908_LC
210957540, 66.26542, 22.302685, 14.677, GO20907_LC
210959291, 63.976072, 22.330426, 15.529, GO20907_LC
210960590, 61.304254, 22.351187, 13.279, GO20907_LC
210960624, 60.542092, 22.351787, 15.875, GO20907_LC
210962462, 64.877929, 22.381417, 15.356, GO20907_LC
210962574, 66.016336, 22.383473, 15.294, GO20907_LC|GO20908_LC
210963568, 66.256964, 22.398728, 13.472, GO20907_LC|GO20908_LC
210964181, 60.634104, 22.408682, 15.281, GO20021_LC|GO20907_LC
210964624, 66.462665, 22.416118, 15.705, GO20907_LC
210965054, 67.204667, 22.422862, 12.943, GO20011_LC|GO20027_LC|GO20033_LC|GO20034_LC|GO20907_LC|GO20908_LC
210965473, 66.155222, 22.429734, 14.959, GO20907_LC
210966307, 64.413592, 22.44247, 14.431, GO20907_LC
