EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],magnitude,Investigation IDs
202571062, 246.008491, -29.179117, 9.411,GO2001_LC|GO2031_LC|GO2041_LC|GO2049_LC|GO2070_LC|GO2073_LC|GO2091_LC|GO2107_LC|GO2109_LC|GO2114_LC
202748218, 243.591466, -28.510126, 11.812,GO2001_LC|GO2011_LC|GO2031_LC|GO2051_LC|GO2070_LC|GO2073_LC|GO2107_LC|GO2114_LC
203083752, 248.852667, -27.314991, 11.763,GO2001_LC|GO2054_LC|GO2070_LC|GO2104_LC|GO2114_LC
203099398, 243.813044, -27.261664, 10.634,GO2001_LC|GO2031_LC|GO2054_LC|GO2070_LC|GO2104_LC|GO2107_LC|GO2114_LC
203124214, 246.325089, -27.175728, 10.339,GO2001_LC|GO2031_LC|GO2051_LC|GO2070_LC|GO2107_LC|GO2114_LC
203354308, 240.415616, -26.421087, 10.495,GO2001_LC|GO2031_LC|GO2051_LC|GO2070_LC|GO2107_LC|GO2114_LC
203740889, 240.598267, -25.099172, 12.509,GO2001_LC|GO2051_LC|GO2070_LC|GO2073_LC|GO2106_LC|GO2114_LC
203795359, 247.124681, -24.90173, 17.005,GO2045_LC|GO2114_LC
203806838, 246.902548, -24.860025, 18.526,GO2044_SC|GO2045_LC|GO2114_LC
203837701, 246.591244, -24.744379, 13.73,GO2045_LC|GO2051_LC|GO2052_LC|GO2085_LC|GO2092_LC|GO2114_LC
203846043, 246.730907, -24.712091, 18.424,GO2114_LC
203846654, 245.781834, -24.709783, 9.451,GO2001_LC|GO2031_LC|GO2049_LC|GO2070_LC|GO2073_LC|GO2107_LC|GO2113_LC|GO2114_LC
203850058, 246.777484, -24.696901, 13.812,GO2033_LC|GO2051_LC|GO2052_LC|GO2085_LC|GO2092_LC|GO2114_LC
203856041, 246.912269, -24.672409, 18.084,GO2085_LC|GO2092_LC|GO2114_LC
203857357, 246.722301, -24.667313, 16.925,GO2085_LC|GO2114_LC
203861461, 246.657532, -24.650888, 16.398,GO2085_LC|GO2092_LC|GO2114_LC
203863066, 246.910962, -24.64422, 14.597,GO2052_LC|GO2085_LC|GO2114_LC
203869467, 243.72871, -24.618471, 10.691,GO2001_LC|GO2031_LC|GO2051_LC|GO2070_LC|GO2114_LC
203874287, 246.746041, -24.599133, 17.551,GO2085_LC|GO2114_LC
203881088, 242.588467, -24.571267, 12.255,GO2001_LC|GO2031_LC|GO2069_LC|GO2070_LC|GO2107_LC|GO2114_LC
203881856, 246.385067, -24.568077, 16.424,GO2045_LC|GO2114_LC
203887643, 246.713684, -24.544996, 16.741,GO2045_LC|GO2049_LC|GO2085_LC|GO2092_LC|GO2114_LC
203891751, 246.942881, -24.528109, 15.172,GO2052_LC|GO2085_LC|GO2092_LC|GO2114_LC
203902784, 246.920171, -24.483532, 16.051,GO2085_LC|GO2092_LC|GO2114_LC
203903767, 246.595649, -24.479486, 16.347,GO2085_LC|GO2092_LC|GO2114_LC
203904213, 246.980229, -24.477655, 14.369,GO2085_LC|GO2114_LC
203904426, 246.774901, -24.476757, 18.192,GO2045_LC|GO2085_LC|GO2092_LC|GO2114_LC
203912136, 242.765038, -24.445261, 16.264,GO2020_LC|GO2045_LC|GO2092_LC|GO2106_LC|GO2114_LC
203912192, 246.615874, -24.44495, 15.618,GO2052_LC|GO2085_LC|GO2114_LC
203912637, 246.635524, -24.44318, 18.504,GO2045_LC|GO2092_LC|GO2114_LC
203912855, 247.202935, -24.442165, 15.828,GO2052_LC|GO2114_LC
