# Summary of K2 Program GO4033

Title: The Masses and Prevalence of Small Planets with K2

PI: Howard, Andrew William (University of Hawaii)
CoIs: Petigura, Erik; Marcy, Geoffrey William; Stassun, Keivan Guadalupe; Sanchis Ojeda, Roberto; De Lee, Nathan Michael; Winn, Joshua N.; Pepper, Joshua; Sinukoff, Evan; Paegert, Martin

We propose to discover transiting super-Earths and Neptune-size planets in photometry from Campaigns 4 and 5 of the K2 Kepler Extended Mission.  Our search for small planets orbiting main sequence FGK-type stars has two scientific goals.  First, we will measure variations in the occurrence rate of planets in widely varying sky positions to learn whether our prior detailed occurrence measurements from the primary Kepler Mission can be applied directly to the solar neighborhood.  Our new measurements will focus on close-in super-Earths and Neptune-size planets that are abundant and detectable in K2 photometry.  Second, we will measure the masses of many of these small planets using high-precision Doppler spectroscopy from Keck-HIRES.  Our discoveries will significantly expand the sample of well-characterized planets whose bulk densities offer clues to the diversity of compositions for planets between the size of Neptune and Earth.

# Targets requested by this program that have been observed (4772)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
210302627, 58.325839, 10.756204, 12.492, GO4029_LC|GO4033_LC|GO4007_LC
210303168, 58.353616, 10.776454, 12.627, GO4029_LC|GO4033_LC|GO4007_LC|GO4082_LC
210303479, 58.387471, 10.787848, 10.465, GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC
210304352, 58.436573, 10.818656, 12.206, GO4029_LC|GO4033_LC|GO4007_LC
210310009, 58.454463, 11.020746, 12.881, GO4029_LC|GO4033_LC|GO4007_LC
210311597, 58.177066, 11.07353, 12.153, GO4033_LC|GO4007_LC
210312506, 58.172949, 11.10386, 11.998, GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC
210312900, 58.191241, 11.116947, 12.154, GO4020_LC|GO4046_LC|GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC
210312949, 58.94412, 11.118518, 11.444, GO4046_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4106_LC|GO4104_LC|GO4082_LC
210314226, 58.291432, 11.159685, 11.654, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC
210314431, 58.428056, 11.165564, 12.337, GO4029_LC|GO4033_LC|GO4007_LC
210314566, 58.185704, 11.169962, 12.404, GO4029_LC|GO4033_LC|GO4007_LC
210316002, 59.103597, 11.217183, 12.714, GO4029_LC|GO4033_LC|GO4007_LC
210316476, 58.681819, 11.2322, 12.605, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC
210316742, 58.131896, 11.24037, 12.7, GO4029_LC|GO4033_LC|GO4007_LC
210316947, 59.369129, 11.246722, 12.879, GO4029_LC|GO4033_LC|GO4007_LC
210317585, 59.526931, 11.266763, 12.162, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC
210318725, 58.420182, 11.303442, 12.006, GO4029_LC|GO4033_LC|GO4007_LC
210318953, 59.466918, 11.310007, 12.575, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC
210321165, 58.880863, 11.378207, 12.413, GO4029_LC|GO4033_LC|GO4007_LC
210321990, 58.933363, 11.403273, 12.396, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4106_LC
210322064, 59.648853, 11.405735, 11.987, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC
210322349, 59.117514, 11.414905, 9.872, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4082_LC
210322499, 59.079984, 11.419772, 10.006, GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC
210322505, 58.065145, 11.420155, 12.396, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC
210322796, 59.251392, 11.429922, 12.081, GO4020_LC|GO4029_LC|GO4033_LC|GO4007_LC
210323198, 58.071691, 11.440984, 11.258, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4106_LC|GO4104_LC
210324165, 59.63252, 11.473196, 12.662, GO4029_LC|GO4033_LC|GO4007_LC
210324184, 59.916832, 11.473804, 9.23, GO4023_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4064_LC|GO4104_LC
210324363, 58.011338, 11.479392, 11.807, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC
210324926, 58.193991, 11.496446, 12.048, GO4033_LC|GO4007_LC
210324940, 59.398858, 11.496912, 8.633, GO4023_LC|GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4064_LC|GO4104_LC
210326221, 58.818006, 11.537165, 11.528, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4106_LC|GO4104_LC
210326405, 59.953091, 11.542831, 10.015, GO4060_LC|GO4033_LC|GO4007_LC|GO4104_LC
210326472, 59.951278, 11.544821, 8.666, GO4023_LC|GO4033_LC|GO4007_LC|GO4064_LC|GO4104_LC
210326784, 59.667734, 11.554679, 12.368, GO4020_LC|GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4106_LC
