# Summary of K2 Program GO4054

Title: KELP: K2 observations of Evolving Low-mass stars and their Planets

PI: Gaidos, Eric (University of Hawaii)
CoIs: Ansdell, Megan; Mann, Andrew Withycombe; James, David J; Feiden, Gregory A; Guedel, Manuel; Muirhead, Philip Steven

M dwarf stars are attractive targets for searches for Earth-like and potentially habitable exoplanets because their small size permits the detection of Earth-size planets on close-in orbits, and their low luminosity means that such planets may orbit within the habitable zone where surface liquid water can be stable.  Such stars are overrepresented among the host stars of planets, especially those small planets with moderate equilibrium temperatures,  detected by the Kepler mission.  However, the possible dynamical and physical evolution of planets in the compact habitable zones around M dwarfs is poorly understood.  Because such stars evolve slowly after reaching the main sequence, it is difficult to assign ages to M dwarf planet systems and investigate changes with time.  M dwarfs in coeval moving groups of known age can be studied, and the rotation and activity of those stars used to construct a gyrochronology to assign ages to other M dwarfs in the field.    We propose K2 observations of 2121 M dwarf stars in the Campaign 4 and 5 fields that are confirmed or candidate members of the Pleiades, Hyades, and Praesepe clusters.  The members of these clusters have ages of about 120, 650, and 600 Myr, respectively.  We include candidates in the Ecliptic Plane Input Catalog identified as M dwarfs in the recent published literature, as well as stars with matching colors and magnitudes, and proper motions permissive of the stars being dwarfs.  We propose long cadence observations to identify candidate transiting planets on short-period orbits and determine the stellar rotational periods in the resulting light curves.  We will carry out a vigorous campaign of ground-based observations to estimate the fundamental stellar parameters (effective temperature, metallicity, radius, luminosity, and mass) of these stars and use comparisons with a stellar evolution model, and estimates of distance, age, and radial velocity to assess the likelihood of membership of each star in any of the clusters.  We will use archival ultraviolet and X-ray observations from space mission to determine the high-energy radiation from these stars, and propose additional X-ray observations if appropriate.  We will use the rotation periods of these stars as obtained by K2 to construct an improved M dwarf gyrochronology with which we can assign ages to other, field M dwarfs and expand an investigation of the evolution of these stars and their planetary systems with time.

# Targets requested by this program that have been observed (328)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
210317331, 58.775221, 11.259728, 15.103, GO4020_LC|GO4097_LC|GO4011_LC|GO4006_LC|GO4054_LC
210328077, 59.061132, 11.593161, 13.999, GO4020_LC|GO4060_LC|GO4054_LC
210329401, 58.480201, 11.635203, 15.074, GO4060_LC|GO4007_LC|GO4006_LC|GO4054_LC
210331148, 59.395497, 11.687332, 14.871, GO4020_LC|GO4011_LC|GO4054_LC
210331848, 59.411519, 11.708947, 14.434, GO4020_LC|GO4060_LC|GO4011_LC|GO4054_LC
210333193, 59.546561, 11.749777, 15.061, GO4060_LC|GO4011_LC|GO4006_LC|GO4054_LC
210340480, 59.802497, 11.952793, 11.579, GO4020_LC|GO4060_LC|GO4011_LC|GO4029_LC|GO4006_LC|GO4054_LC|GO4104_LC|GO4081_LC|GO4109_LC
210351472, 58.206024, 12.261609, 14.867, GO4020_LC|GO4060_LC|GO4097_LC|GO4006_LC|GO4054_LC
210351536, 59.431362, 12.263468, 13.833, GO4020_LC|GO4060_LC|GO4006_LC|GO4054_LC
210351746, 59.245539, 12.269587, 15.276, GO4060_LC|GO4097_LC|GO4006_LC|GO4054_LC
210355954, 60.240232, 12.384117, 14.149, GO4020_LC|GO4011_LC|GO4054_LC
210357660, 54.847488, 12.430124, 13.815, GO4020_LC|GO4011_LC|GO4054_LC
210358865, 61.592222, 12.462723, 14.08, GO4026_LC|GO4020_LC|GO4060_LC|GO4097_LC|GO4011_LC|GO4006_LC|GO4054_LC
210360545, 59.704651, 12.506448, 12.952, GO4020_LC|GO4097_LC|GO4011_LC|GO4029_LC|GO4006_LC|GO4054_LC|GO4081_LC
210362551, 55.629136, 12.557147, 14.507, GO4020_LC|GO4060_LC|GO4097_LC|GO4006_LC|GO4054_LC
210362756, 59.9489, 12.562872, 13.55, GO4020_LC|GO4008_LC|GO4060_LC|GO4097_LC|GO4006_LC|GO4054_LC
210365118, 57.708404, 12.624309, 14.624, GO4020_LC|GO4060_LC|GO4006_LC|GO4054_LC
210367220, 59.688816, 12.67681, 13.857, GO4020_LC|GO4060_LC|GO4007_LC|GO4006_LC|GO4054_LC
210369286, 55.983656, 12.729831, 13.97, GO4060_LC|GO4054_LC
210372124, 55.196126, 12.803042, 13.828, GO4020_LC|GO4060_LC|GO4054_LC
