# Summary of K2 Program GO4057

Title: Eclipsing Binary Stars: Indispensable Astrophysical Laboratories for Studying Stellar Populations

PI: Prsa, Andrej (Villanova University)
CoIs: Quarles, Billy L; Pepper, Joshua; Conroy, Kyle

Eclipsing Binary Stars are the cornerstone of stellar astrophysics. They provide fundamental stellar parameters (masses, radii, temperatures and luminosities) for objects across the H-R diagram. The K2 mission will probe fields along the ecliptic, thus allowing us to study inherently different stellar populations and their distributions as a function of galactic latitude. Campaigns 4 and 5 focus on some of the best studied clusters, namely the Pleiades, the Hyades, M67 and the Beehive. Because stars in clusters are coeval, share a common evolutionary path and feature the same chemical abundances, eclipsing binaries found in these clusters serve as distance calibrators and stellar population gauges. We collected all known eclipsing binary stars from available online catalogs (via Simbad and VizieR services), and performed a thorough search for binaries in the proprietary Kilodegree Extremely Little Telescope (KELT) and SuperWASP survey data to assemble a list of proposed targets for this solicitation. The reduction and analysis will be done by experienced members of the Kepler Eclipsing Binary Working Group.

# Targets requested by this program that have been observed (203)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
210375290, 59.431116, 12.87837, 10.957, GO4057_LC|GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4082_LC
210386883, 56.392314, 13.159284, 11.245, GO4020_LC|GO4057_LC
210388603, 55.041504, 13.198732, 10.003, GO4057_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC
210390678, 56.400012, 13.247395, 10.127, GO4057_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC
210406057, 54.633151, 13.605955, 9.11, GO4057_LC|GO4023_LC|GO4033_LC|GO4007_LC|GO4083_LC|GO4104_LC
210426551, 54.226192, 14.054624, 10.318, GO4057_LC|GO4008_LC|GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4052_LC
210428113, 56.909574, 14.086888, 9.008, GO4057_LC|GO4033_LC|GO4007_LC
210437941, 58.016866, 14.287523, 12.585, GO4020_LC|GO4057_LC
210441618, 56.935024, 14.360155, 8.673, GO4057_LC|GO4104_LC
210467408, 58.667661, 14.84526, 11.253, GO4057_LC|GO4060_LC|GO4033_LC|GO4007_LC
210493551, 59.948076, 15.30299, 11.884, GO4020_LC|GO4057_LC|GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4106_LC|GO4104_LC
210499243, 63.942852, 15.400696, 6.264, GO4074_SC|GO4018_LC|GO4057_LC|GO4032_LC|GO4023_LC|GO4048_LC|GO4033_LC|GO4074_LC|GO4086_LC|GO4024_LC
210522262, 61.781358, 15.779381, 16.935, GO4036_LC|GO4057_LC|GO4030_LC|GO4081_LC
210566397, 54.013241, 16.467413, 7.552, GO4057_LC|GO4033_LC|GO4007_LC|GO4072_LC|GO4104_LC
210575096, 53.239718, 16.598428, 6.954, GO4057_LC|GO4033_LC|GO4007_LC
210577546, 55.434536, 16.634516, 12.464, GO4057_LC|GO4029_LC|GO4033_LC|GO4007_LC
210579749, 55.938534, 16.667247, 9.982, GO4102_SC|GO4098_SC|GO4020_LC|GO4057_LC|GO4071_LC|GO4060_LC|GO4011_LC|GO4029_LC|GO4072_LC|GO4102_LC|GO4081_LC|GO4098_LC|GO4109_LC
210580056, 55.969017, 16.672025, 9.296, GO4102_SC|GO4098_SC|GO4020_LC|GO4057_LC|GO4071_LC|GO4023_LC|GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4072_LC|GO4102_LC|GO4104_LC|GO4081_LC|GO4098_LC|GO4109_LC
210581202, 60.28298, 16.68862, 10.441, GO4057_LC|GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC
210595704, 59.731151, 16.903444, 9.008, GO4057_LC|GO4060_LC|GO4033_LC|GO4007_LC|GO4072_LC|GO4104_LC|GO4082_LC
210619926, 57.604035, 17.246507, 9.233, GO4043_SC|GO4027_SC|GO4020_LC|GO4018_LC|GO4057_LC|GO4043_LC|GO4032_LC|GO4060_LC|GO4048_LC|GO4029_LC|GO4001_LC|GO4033_LC|GO4007_LC|GO4072_LC|GO4104_LC|GO4027_LC|GO4024_LC
210620533, 57.596678, 17.255203, 17.889, GO4057_LC
210631263, 60.853952, 17.407212, 11.279, GO4020_LC|GO4057_LC|GO4090_LC|GO4092_LC
210634047, 66.472719, 17.447637, 8.261, GO4057_LC|GO4033_LC|GO4012_LC
210636095, 57.5957, 17.476367, 8.326, GO4057_LC|GO4060_LC|GO4033_LC|GO4007_LC|GO4072_LC|GO4104_LC
210637603, 51.773309, 17.497598, 13.68, GO4057_LC|GO4007_LC
