# Summary of K2 Program GO4060

Title: Discovery and Vetting of K2 Exoplanets

PI: Coughlin, Jeffrey Langer (SETI Institute)
CoIs: Caldwell, Douglas A.; Thompson, Susan E; Bryson, Stephen T; Huber, Daniel; Jenkins, Jon Michael; Quintana, Elisa Victoria; Rowe, Jason Frank; Batalha, Natalie Marie

We seek to create a catalog of well-vetted exoplanets discovered by the K2 mission, suitable for follow-up by JWST and other facilities. We propose the observation of 10,000 bright stars, over campaigns 4 and 5, which is expected to yield at least 100 transiting exoplanets. We will thoroughly vet these planets to eliminate many different types of false positives, utilizing our group's vast experience in vetting exoplanets discovered by the main Kepler mission. We will create a publicly available catalog of all planet candidates for use in exoplanet occurrence rate and other studies. This proposal utilizes the unique capabilities of the K2 mission, including its extreme photometric precision and continuous 75-day observing range. This proposal directly contributes towards NASA's Astrophysics Division_x0019_s science goal to "Discover and study planets around other stars, and explore whether they could harbor life."

# Targets requested by this program that have been observed (3442)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
210305942, 58.46272, 10.879433, 13.174, GO4020_LC|GO4060_LC|GO4007_LC
210308588, 58.443532, 10.972975, 14.937, GO4060_LC
210310510, 58.272499, 11.036589, 13.86, GO4020_LC|GO4060_LC|GO4011_LC|GO4006_LC
210312900, 58.191241, 11.116947, 12.154, GO4020_LC|GO4046_LC|GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC
210313423, 58.50412, 11.133252, 13.241, GO4020_LC|GO4060_LC|GO4007_LC
210314226, 58.291432, 11.159685, 11.654, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC
210314232, 58.487284, 11.159783, 15.232, GO4020_LC|GO4060_LC|GO4007_LC|GO4006_LC
210314440, 58.284027, 11.165734, 13.21, GO4020_LC|GO4060_LC|GO4007_LC
210316476, 58.681819, 11.2322, 12.605, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC
210317105, 58.323286, 11.252309, 14.369, GO4020_LC|GO4060_LC|GO4007_LC
210317378, 58.143084, 11.26078, 12.719, GO4002_SC|GO4020_LC|GO4032_LC|GO4060_LC|GO4097_LC|GO4029_LC|GO4002_LC|GO4081_LC|GO4109_LC
210317526, 59.146838, 11.264769, 13.942, GO4020_LC|GO4060_LC|GO4007_LC
210317585, 59.526931, 11.266763, 12.162, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC
210317628, 58.252417, 11.268221, 13.469, GO4060_LC|GO4007_LC
210318238, 58.279767, 11.28812, 11.744, GO4020_LC|GO4060_LC|GO4104_LC|GO4052_LC
210318481, 58.803342, 11.296355, 13.28, GO4060_LC|GO4007_LC
210318953, 59.466918, 11.310007, 12.575, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC
210319059, 58.878453, 11.313793, 13.464, GO4020_LC|GO4060_LC|GO4097_LC|GO4011_LC|GO4006_LC
210320059, 58.880953, 11.344628, 13.435, GO4020_LC|GO4060_LC|GO4007_LC
210321990, 58.933363, 11.403273, 12.396, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4106_LC
210322064, 59.648853, 11.405735, 11.987, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC
210322349, 59.117514, 11.414905, 9.872, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4082_LC
210322505, 58.065145, 11.420155, 12.396, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC
210322534, 58.919447, 11.420899, 13.455, GO4020_LC|GO4060_LC|GO4007_LC
210323198, 58.071691, 11.440984, 11.258, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4106_LC|GO4104_LC
210323331, 59.392548, 11.445091, 14.377, GO4020_LC|GO4060_LC|GO4007_LC|GO4083_LC
210323797, 59.655164, 11.460521, 15.309, GO4060_LC|GO4011_LC|GO4006_LC
210323900, 58.774468, 11.46336, 15.18, GO4020_LC|GO4060_LC|GO4097_LC|GO4011_LC|GO4006_LC
210324150, 58.434377, 11.47249, 13.249, GO4060_LC|GO4007_LC
210324363, 58.011338, 11.479392, 11.807, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC
