EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
210303168, 58.353616, 10.776454, 12.627, GO4029_LC|GO4033_LC|GO4007_LC|GO4082_LC
210312949, 58.94412, 11.118518, 11.444, GO4046_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4106_LC|GO4104_LC|GO4082_LC
210322349, 59.117514, 11.414905, 9.872, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4082_LC
210327399, 59.467355, 11.573452, 9.79, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4082_LC
210330150, 58.963124, 11.657286, 10.21, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4082_LC
210337288, 59.235555, 11.864891, 10.608, GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4082_LC
210345753, 59.303165, 12.100908, 10.373, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4082_LC
210347334, 59.434907, 12.14735, 11.751, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4082_LC
210357078, 60.775689, 12.414654, 9.849, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4082_LC
210366722, 54.675569, 12.664293, 12.485, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4082_LC
210366776, 59.544706, 12.665802, 12.126, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4106_LC|GO4082_LC
210367940, 58.169379, 12.695392, 12.774, GO4029_LC|GO4033_LC|GO4007_LC|GO4082_LC
210371471, 58.035029, 12.786653, 12.821, GO4029_LC|GO4033_LC|GO4007_LC|GO4082_LC
210372185, 58.939021, 12.804275, 12.835, GO4029_LC|GO4033_LC|GO4007_LC|GO4082_LC
210375290, 59.431116, 12.87837, 10.957, GO4057_LC|GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4082_LC
210375985, 60.737843, 12.895185, 10.579, GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4052_LC|GO4082_LC
210378976, 55.77346, 12.970577, 12.714, GO4029_LC|GO4033_LC|GO4007_LC|GO4082_LC
210379010, 59.33911, 12.971325, 10.775, GO4020_LC|GO4060_LC|GO4029_LC|GO4096_LC|GO4033_LC|GO4007_LC|GO4064_LC|GO4104_LC|GO4082_LC
210380337, 55.253562, 13.00243, 12.541, GO4029_LC|GO4033_LC|GO4007_LC|GO4082_LC
210380948, 61.681028, 13.01641, 11.599, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4082_LC
210381178, 62.203685, 13.022334, 9.37, GO4060_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4082_LC
210382978, 59.026393, 13.065658, 12.935, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4082_LC
210384590, 59.649246, 13.105031, 9.168, GO4018_LC|GO4008_LC|GO4060_LC|GO4048_LC|GO4033_LC|GO4007_LC|GO4095_LC|GO4104_LC|GO4024_LC|GO4082_LC
210385859, 54.848153, 13.134524, 11.754, GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4082_LC
210389338, 63.020285, 13.216867, 12.752, GO4029_LC|GO4033_LC|GO4007_LC|GO4082_LC
210390135, 54.639426, 13.234856, 12.878, GO4029_LC|GO4033_LC|GO4007_LC|GO4082_LC
210390397, 58.688257, 13.240743, 12.253, GO4029_LC|GO4033_LC|GO4007_LC|GO4082_LC
210390632, 62.61221, 13.246251, 10.519, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4052_LC|GO4082_LC
210391399, 58.825996, 13.26437, 9.611, GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4082_LC
210391604, 60.887057, 13.268868, 11.878, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4082_LC
210393318, 59.535301, 13.310274, 12.769, GO4029_LC|GO4033_LC|GO4007_LC|GO4082_LC
210394365, 60.51704, 13.335282, 12.341, GO4029_LC|GO4033_LC|GO4007_LC|GO4082_LC
210395123, 57.064809, 13.352956, 12.582, GO4029_LC|GO4033_LC|GO4007_LC|GO4082_LC
210395302, 59.506515, 13.357175, 12.801, GO4029_LC|GO4033_LC|GO4007_LC|GO4082_LC
210399848, 60.734385, 13.462684, 10.82, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4082_LC
210401900, 61.218792, 13.51212, 12.758, GO4029_LC|GO4033_LC|GO4007_LC|GO4082_LC
210403725, 57.551112, 13.554027, 12.347, GO4029_LC|GO4033_LC|GO4007_LC|GO4082_LC
210403748, 59.548368, 13.554677, 11.355, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4082_LC
210406141, 60.715502, 13.607764, 11.556, GO4060_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4082_LC
210407695, 60.228159, 13.642696, 12.528, GO4020_LC|GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4106_LC|GO4082_LC
210408403, 60.288344, 13.658432, 11.038, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4106_LC|GO4104_LC|GO4082_LC
210410249, 60.628873, 13.699693, 12.977, GO4020_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4082_LC
210410512, 59.360237, 13.705254, 12.802, GO4029_LC|GO4033_LC|GO4007_LC|GO4082_LC
210411714, 61.716268, 13.73222, 8.812, GO4060_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4082_LC
210413214, 57.140418, 13.765648, 12.402, GO4029_LC|GO4033_LC|GO4007_LC|GO4082_LC
210417332, 56.905899, 13.856454, 11.159, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4082_LC
210418201, 55.914506, 13.876936, 11.903, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4082_LC
210418216, 55.886462, 13.877221, 10.342, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4104_LC|GO4052_LC|GO4082_LC
210420216, 60.006904, 13.92072, 12.626, GO4029_LC|GO4033_LC|GO4007_LC|GO4082_LC
210420962, 60.937188, 13.936794, 12.804, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4082_LC
210422085, 60.42724, 13.961534, 12.754, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4082_LC
210423815, 53.798648, 13.997589, 12.764, GO4029_LC|GO4033_LC|GO4007_LC|GO4082_LC
210423858, 61.072835, 13.998517, 12.651, GO4029_LC|GO4033_LC|GO4007_LC|GO4082_LC
210425792, 61.016068, 14.03885, 12.429, GO4029_LC|GO4033_LC|GO4007_LC|GO4082_LC
