# Summary of K2 Program GO4086

Title: Using asteroseismology to trace the evolution of intermediate-mass stars in clusters

PI: Antoci, Victoria (Aarhus University)
CoIs: 

The oscillating A and early F type stars, which do not obey scaling relationships as found in red giants and solar-like stars and are more complicated to analyze, also underwent a Keplerian revolution. For example, we have strong evidence that there is more than one pulsation mechanism at work in Delta Sct stars, showing that convection in the outer envelope can play an important role (Antoci et al. 2011, Antoci et al., submitted). Kurtz et al. (2014) measured for the first time the internal rotation rate for a Delta Sct/Gamma Dor hybrid from examination of splittings of individual oscillation modes.

Here we propose to observe all known pulsators, fainter than 7th magnitude in the V band, of Gamma Dor, Delta Sct, SPB and Be type as well as stars with reliable spectral type identification and atmospheric parameter measurements (v sin i, Teff , log g, ...). Our selected stars are located in clusters that are visible in campaigns 4 and 5. We wish to observe over a hundred of stars in these clusters. The Pleiades, NGC 1647, Hyades, M44 and M67 cover a range of ages (approximately 100 Myr to 4.8 Gyr) and offer _x0018_snapshots_x0019_ in the life of stars over a range of masses with approximately the same initial chemical composition. All clusters, with the exception of M67, are young enough to harbour pulsating, intermediate-mass stars on or near the main sequence. In the case of M67 the turn-off mass is only slightly higher than the solar one, meaning that all massive stars have evolved off the main sequence. However, this cluster has several known pulsating blue stragglers, which are thought to be the product of mergers or accretion in binary systems. The true origin of these stars is still under debate but studying their oscillations may uncover their formation scenario. For example, the helium content in the merger scenario is higher and this will influence the oscillatory behaviour, which we can measure. In other words the K2 mission can for the first time offer a homogeneous sample of oscillating intermediate-mass stars over a range of well determined ages and chemical compositions.

Work plan: After basic photometric reductions and identification of the pulsation modes, we plan to do an asteroseismic analyses of the light curves and explore their oscillatory behaviour. We will use the asteroseismic results to test the recently suggested driving mechanism proposed by Antoci et al. (submitted), which is related to the turbulent pressure in the stellar envelope. We will also probe the edges of the instability regions in the HR diagram and select the best targets to do theoretical in-depth studies. K2 is the only mission in the near future, to do the science proposed here because it delivers homogeneous observations and long uninterrupted data sets of pulsating stars in clusters with sufficient precision over a large range of magnitudes. We will be able to determine the oscillation frequencies unambiguously even for the stars oscillating with periods shorter than the Nyquist frequency imposed by the LC data, as studied by Murphy et al. (in prep).

To summarize, the combination of homogeneous K2 observations with already available ground-based photometric and spectroscopic data as well as constrains set from cluster ensemble studies and eclipsing binary systems is a unique opportunity to do asteroseismic studies of early-type stars.

# Targets requested by this program that have been observed (90)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
210499243, 63.942852, 15.400696, 6.264, GO4074_SC|GO4018_LC|GO4057_LC|GO4032_LC|GO4023_LC|GO4048_LC|GO4033_LC|GO4074_LC|GO4086_LC|GO4024_LC
210703831, 65.384451, 18.417581, 8.118, GO4074_SC|GO4018_LC|GO4032_LC|GO4048_LC|GO4033_LC|GO4074_LC|GO4086_LC|GO4024_LC
210779549, 56.256896, 19.559368, 9.74, GO4018_LC|GO4032_LC|GO4048_LC|GO4033_LC|GO4007_LC|GO4086_LC|GO4012_LC|GO4104_LC|GO4024_LC
210837336, 58.036699, 20.438564, 11.491, GO4020_LC|GO4018_LC|GO4032_LC|GO4048_LC|GO4086_LC|GO4106_LC|GO4104_LC|GO4024_LC
210866744, 56.580563, 20.879778, 11.3, GO4018_LC|GO4032_LC|GO4060_LC|GO4048_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4086_LC|GO4104_LC|GO4024_LC
210879932, 58.883093, 21.079509, 11.818, GO4018_LC|GO4032_LC|GO4060_LC|GO4048_LC|GO4033_LC|GO4007_LC|GO4086_LC|GO4104_LC|GO4024_LC
210899950, 58.615974, 21.389763, 10.747, GO4018_LC|GO4032_LC|GO4060_LC|GO4048_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4086_LC|GO4072_LC|GO4104_LC|GO4024_LC
210917230, 58.259898, 21.660162, 10.502, GO4018_LC|GO4032_LC|GO4060_LC|GO4048_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4086_LC|GO4104_LC|GO4024_LC
210917754, 57.925374, 21.668344, 11.241, GO4018_LC|GO4032_LC|GO4060_LC|GO4048_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4086_LC|GO4104_LC|GO4024_LC
