# Summary of K2 Program GO4101

Title: Wide Stellar Binaries in Kepler: Calibrating Gyrochronology Models and Constraining Planetary Properties

PI: West, Andrew A (Boston Univeristy)
CoIs: 

The ability to estimate the age of a star is a crucial step in understanding the evolution of stellar, Galactic and planetary phenomena. One method of stellar age determination, gyrochronology, relies on the color and rotation period of a star; rotation rate offers direct insight into the evolution of stellar angular momentum and decreases with stellar age. Previous studies have found that wide binaries are an ideal sample for constraining gyrochronology models and are particularly useful for age-dating older and low-mass stars (i.e., where empirical methods of age determination are most needed). Using the Ecliptic Plane Input Catalog and the fourth U.S. Naval Observatory CCD Astrograph Catalog, we identified 9786 common proper motion binaries in K2 Fields 4 and 5 and will use long-cadence observations of a subset of these pairs to measure photometric rotation periods and recalibrate the age-rotation relationship. Additionally, given well-determined ages for a sample of binaries with attending planets, we can also extrapolate planetary ages and begin to constrain planet formation and evolution scenarios using an absolute timescale.

# Targets requested by this program that have been observed (256)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
211307745, 127.440801, 10.006903, 12.999, GO5007_LC|GO5029_LC|GO4101_LC|GO5060_LC|GO5082_LC
211310467, 127.400039, 10.061589, 14.999, GO4101_LC|GO5060_LC|GO5054_LC
211313991, 126.878998, 10.133635, 13.51, GO5007_LC|GO4101_LC
211315298, 126.898096, 10.16008, 11.251, GO4101_LC|GO4104_LC
211315632, 130.351167, 10.166728, 15.905, GO4101_LC
211316504, 130.287796, 10.183587, 15.108, GO4101_LC
211316655, 126.872082, 10.186408, 13.432, GO5007_LC|GO4101_LC
211316657, 130.321538, 10.186534, 16.161, GO4101_LC
211320887, 127.440802, 10.270807, 14.092, GO5007_LC|GO5020_LC|GO4101_LC|GO5060_LC
211322008, 127.517055, 10.293355, 13.659, GO5007_LC|GO5020_LC|GO4101_LC|GO5060_LC
211323918, 130.666286, 10.331578, 14.577, GO4101_LC
211323989, 130.611872, 10.333085, 15.265, GO4101_LC
211324815, 134.007049, 10.348174, 13.017, GO5007_LC|GO4101_LC|GO5060_LC
211325246, 133.949638, 10.355915, 16.393, GO4101_LC
211329653, 128.264933, 10.439063, 14.16, GO5007_LC|GO5020_LC|GO4101_LC
211331063, 128.244932, 10.465824, 14.493, GO5007_LC|GO5020_LC|GO4101_LC
211333077, 131.066794, 10.503859, 12.646, GO5007_LC|GO5029_LC|GO5033_LC|GO4101_LC|GO5060_LC
211335826, 131.101806, 10.555492, 14.349, GO4101_LC
211335837, 127.578977, 10.55587, 15.416, GO4101_LC
211336478, 127.555245, 10.568059, 12.799, GO5007_LC|GO5029_LC|GO5033_LC|GO4101_LC|GO5060_LC
211360065, 129.677395, 10.989138, 15.515, GO4101_LC
211360257, 129.692684, 10.99237, 14.892, GO5046_LC|GO4101_LC|GO5060_LC
211372330, 129.571485, 11.196055, 13.429, GO5007_LC|GO4101_LC|GO5060_LC
211372334, 127.593241, 11.196088, 15.317, GO4101_LC
211374149, 130.924242, 11.224801, 14.479, GO4101_LC
211374237, 133.906189, 11.226372, 14.196, GO5007_LC|GO5020_LC|GO4101_LC
211375724, 130.903639, 11.251996, 14.709, GO5006_LC|GO4101_LC|GO5060_LC
211376489, 133.961622, 11.264763, 14.351, GO4101_LC
211385544, 130.008289, 11.412464, 15.01, GO4101_LC
211395034, 132.448567, 11.565056, 15.441, GO5006_LC|GO4101_LC
