# Summary of K2 Program GO5001

Title: A Search for Habitable Planets Around White Dwarfs in Fields 4 and 5

PI: Kilic, Mukremin (University of Oklahoma)
CoIs: Mazeh, Tsevi Moshe; Loeb, Abraham; Mullally, Fergal; Maoz, Dan; Debes, John Henry; Brown, Warren R; Agol, Eric

A large fraction of white dwarfs (WDs) may hot planets in their habitable zones. These planets may provide our best chance to detect bio-markers on a transiting exoplanet, thanks to the diminished contrast ratio between the Earth-sized WD and its Earth-sized planets. The James Webb Space Telescope is capable of obtaining the first spectroscopic measurements of such planets, yet there are no known planets around WDs. Here we propose to take advantage of the unique capability of the K2 mission to perform a transit survey that is capable of detecting the first planet in the habitable zone of a white dwarf. There are nearly 400 WDs known in Fields 4 and 5. Thanks to the large field of view of Kepler, for the first time in history, a large number of WDs can be observed at the same time, which is essential for discovering transits. This survey will maintain Kepler's spirit of searching for habitable Earths, but near new hosts.

# Targets requested by this program that have been observed (346)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
211305065, 131.894796, 9.951837, 18.997, GO5001_LC|GO5041_LC
211307909, 130.477754, 10.010719, 18.413, GO5001_LC|GO5017_LC|GO5041_LC
211308950, 127.809749, 10.030836, 18.96, GO5001_LC
211311300, 133.509839, 10.07865, 19.682, GO5001_LC
211321596, 133.515902, 10.28478, 19.099, GO5001_LC|GO5041_LC
211330756, 126.552966, 10.460183, 19.916, GO5001_LC
211331839, 132.266856, 10.480368, 18.782, GO5001_LC|GO5041_LC
211340012, 129.824905, 10.631478, 15.307, GO5001_LC
211351691, 131.10212, 10.845547, 18.632, GO5001_LC|GO5041_LC
211355501, 126.768479, 10.913099, 18.802, GO5001_LC
211381995, 129.565624, 11.355218, 19.149, GO5001_LC
211383343, 127.847944, 11.377755, 18.951, GO5073_SC|GO5001_LC|GO5041_LC|GO5073_LC
211387162, 129.670274, 11.437829, 18.768, GO5073_SC|GO5001_LC|GO5073_LC
211401138, 132.280276, 11.657119, 17.084, GO5073_SC|GO5001_LC|GO5017_LC|GO5041_LC|GO5043_LC|GO5073_LC
211414313, 126.522787, 11.856616, 19.58, GO5001_LC
211419037, 126.286415, 11.926783, 18.747, GO5001_LC
211419924, 130.990471, 11.94004, 19.145, GO5001_LC
211434324, 127.92927, 12.160018, 17.89, GO5001_LC|GO5057_LC
211466783, 136.435098, 12.656491, 18.649, GO5001_LC
211478473, 125.039892, 12.828279, 19.341, GO5001_LC
211480823, 130.771794, 12.862178, 19.523, GO5001_LC
211484572, 124.780749, 12.915439, 18.878, GO5001_LC
211493869, 130.546078, 13.051918, 18.525, GO5073_SC|GO5001_LC|GO5017_LC|GO5041_LC|GO5073_LC
211494257, 130.232165, 13.058194, 17.219, GO5043_SC|GO5001_LC|GO5043_LC
211502080, 126.529115, 13.168655, 16.57, GO5001_LC
211508679, 126.197884, 13.26201, 19.669, GO5001_LC
211508852, 127.954819, 13.264437, 19.197, GO5073_SC|GO5001_LC|GO5073_LC
211509442, 124.075714, 13.272362, 17.151, GO5001_LC
211514591, 130.269617, 13.344401, 17.939, GO5073_SC|GO5001_LC|GO5073_LC
211515262, 126.711338, 13.354216, 18.99, GO5073_SC|GO5001_LC|GO5041_LC|GO5073_LC
211515644, 129.597912, 13.359319, 18.396, GO5001_LC
211517043, 127.886453, 13.378867, 16.005, GO5073_SC|GO5001_LC|GO5017_LC|GO5041_LC|GO5073_LC
211517387, 127.43645, 13.384032, 17.324, GO5050_SC|GO5001_LC|GO5047_LC|GO5050_LC
211519519, 130.081385, 13.413783, 18.862, GO5073_SC|GO5001_LC|GO5041_LC|GO5073_LC
211520086, 137.151562, 13.421919, 18.91, GO5001_LC|GO5041_LC
211525077, 129.911118, 13.493058, 19.188, GO5073_SC|GO5001_LC|GO5073_LC
211533336, 135.797914, 13.608934, 17.84, GO5001_LC
211540647, 135.851958, 13.710961, 18.975, GO5001_LC|GO5041_LC
211541153, 135.648689, 13.718326, 19.287, GO5001_LC
211543935, 124.831752, 13.756818, 18.076, GO5001_LC
211547876, 126.268908, 13.813444, 19.07, GO5073_SC|GO5001_LC|GO5041_LC|GO5073_LC
211553385, 135.549019, 13.888149, 18.65, GO5073_SC|GO5001_LC|GO5041_LC|GO5073_LC
211557304, 136.960959, 13.944158, 17.405, GO5001_LC
211562244, 135.880409, 14.013676, 16.421, GO5001_LC|GO5041_LC
211564222, 123.585097, 14.042017, 19.799, GO5001_LC
211565111, 123.273214, 14.054849, 16.325, GO5001_LC
211565467, 123.173045, 14.060157, 18.127, GO5017_SC|GO5001_LC|GO5017_LC|GO5041_LC
211574170, 126.716995, 14.181166, 19.326, GO5001_LC
211579636, 126.210021, 14.258168, 19.665, GO5001_LC
211585136, 124.967629, 14.337039, 19.065, GO5001_LC|GO5041_LC
211594262, 129.974007, 14.462749, 18.075, GO5073_SC|GO5001_LC|GO5043_LC|GO5057_LC|GO5073_LC
211594465, 124.880097, 14.465581, 17.19, GO5001_LC
211596649, 128.016598, 14.495103, 19.049, GO5073_SC|GO5001_LC|GO5041_LC|GO5073_LC
211597731, 125.098036, 14.509428, 18.198, GO5073_SC|GO5001_LC|GO5017_LC|GO5041_LC|GO5073_LC
211602914, 127.497064, 14.578264, 15.641, GO5001_LC
211606609, 136.694052, 14.628477, 17.556, GO5001_LC
211606711, 136.132575, 14.629857, 18.406, GO5001_LC|GO5017_LC|GO5041_LC
211608635, 124.290457, 14.65639, 19.075, GO5001_LC|GO5041_LC
211612140, 126.673561, 14.703273, 19.639, GO5001_LC
211615590, 125.966644, 14.751851, 17.375, GO5001_LC|GO5096_LC|GO4100_LC
211623161, 129.904053, 14.859898, 19.648, GO5001_LC
211624615, 129.117064, 14.880194, 18.208, GO5001_LC|GO5017_LC|GO5041_LC
211628322, 126.617097, 14.93284, 18.901, GO5073_SC|GO5001_LC|GO5041_LC|GO5073_LC
211628690, 126.715524, 14.937995, 17.901, GO5001_LC
211628722, 123.112127, 14.938459, 19.595, GO5001_LC
211629697, 130.225591, 14.952495, 18.391, GO5043_SC|GO5001_LC|GO5017_LC|GO5041_LC|GO5043_LC
211630249, 135.208368, 14.960367, 18.727, GO5073_SC|GO5001_LC|GO5073_LC
211633441, 131.345605, 15.005654, 19.594, GO5001_LC
211680980, 132.224646, 15.65972, 19.95, GO5001_LC
211683036, 133.871048, 15.687165, 19.492, GO5001_LC
211685279, 132.750961, 15.717118, 18.87, GO5073_SC|GO5001_LC|GO5041_LC|GO5073_LC
211686133, 124.452295, 15.728098, 19.724, GO5001_LC
211691600, 130.721527, 15.802667, 18.51, GO5001_LC
211692110, 127.958037, 15.809851, 18.826, GO5073_SC|GO5001_LC|GO5041_LC|GO5073_LC
211693279, 131.229648, 15.825565, 19.361, GO5001_LC
211696659, 129.016618, 15.871219, 15.502, GO5050_SC|GO5093_SC|GO5001_LC|GO5047_LC|GO5050_LC|GO5093_LC
211696850, 128.920654, 15.873578, 19.734, GO5001_LC
211699039, 128.205804, 15.902392, 18.38, GO5001_LC
211708181, 123.140314, 16.023293, 13.775, GO5050_SC|GO5093_SC|GO5001_LC|GO5047_LC|GO5050_LC|GO5093_LC
211708367, 130.331192, 16.025831, 18.049, GO5001_LC|GO5057_LC
211709744, 129.17952, 16.044815, 19.001, GO5073_SC|GO5001_LC|GO5073_LC
211713741, 129.042045, 16.099658, 17.885, GO5073_SC|GO5001_LC|GO5041_LC|GO5073_LC
211718120, 127.553187, 16.159409, 19.08, GO5073_SC|GO5001_LC|GO5041_LC|GO5043_LC|GO5073_LC
211719633, 126.390942, 16.180115, 17.924, GO5001_LC|GO5057_LC
211719918, 134.078957, 16.18438, 15.733, GO5017_SC|GO5043_SC|GO5001_LC|GO5017_LC|GO5041_LC|GO5043_LC
211720816, 129.756278, 16.196671, 16.709, GO5001_LC|GO5070_LC
211722117, 130.074792, 16.214795, 19.707, GO5001_LC
211725539, 126.349758, 16.260999, 19.024, GO5001_LC|GO5041_LC
211727748, 130.344641, 16.292858, 14.99, GO5050_SC|GO5093_SC|GO5001_LC|GO5047_LC|GO5050_LC|GO5093_LC
211729188, 130.076347, 16.313802, 19.393, GO5001_LC
211734464, 133.815775, 16.389254, 19.224, GO5001_LC
211745108, 130.282051, 16.539361, 17.373, GO5073_SC|GO5001_LC|GO5017_LC|GO5041_LC|GO5073_LC
211745676, 126.821417, 16.547358, 18.032, GO5073_SC|GO5001_LC|GO5073_LC
211752996, 129.099401, 16.649881, 18.672, GO5073_SC|GO5001_LC|GO5017_LC|GO5041_LC|GO5073_LC
211754321, 129.296321, 16.668723, 18.988, GO5073_SC|GO5001_LC|GO5041_LC|GO5073_LC
211755392, 133.849449, 16.683052, 18.757, GO5073_SC|GO5001_LC|GO5017_LC|GO5041_LC|GO5043_LC|GO5073_LC
211756535, 127.853599, 16.699598, 17.209, GO5001_LC|GO5017_LC|GO5041_LC
211762603, 124.339768, 16.786101, 18.213, GO5073_SC|GO5001_LC|GO5073_LC
211765471, 133.348574, 16.826456, 14.035, GO5068_SC|GO5001_LC|GO5068_LC
211768391, 124.405552, 16.866512, 18.509, GO5073_SC|GO5001_LC|GO5017_LC|GO5041_LC|GO5073_LC
211771334, 127.61277, 16.909933, 18.737, GO5073_SC|GO5001_LC|GO5073_LC
211771782, 123.27726, 16.915906, 18.835, GO5001_LC
211777425, 129.307522, 16.995491, 18.484, GO5001_LC
211779753, 133.217363, 17.029423, 18.974, GO5001_LC
211782027, 123.49722, 17.06102, 19.483, GO5001_LC
211788137, 124.364099, 17.146694, 18.591, GO5073_SC|GO5001_LC|GO5041_LC|GO5073_LC
211792851, 131.987371, 17.214927, 19.513, GO5001_LC
