# Summary of K2 Program GO5011

Title: A K2 Search for Planets Transiting Bright M Dwarf Stars

PI: Beichman, Charles A. (JPL)
CoIs: Howell, Steve B; Stauffer, John R.; Kirkpatrick, Joseph Davy; Vasisht, Gautam; Cochran, William D.; Christiansen, Jessie L; Ciardi, David R; hillenbrand, lynne a; Cody, Ann Marie; Plavchan, Peter P; Endl, Michael; Marcy, Geoffrey William; Lin, Douglas Nelson Chao

This program continues an ongoing  effort (Campaigns 0-3) to survey a large sample of M stars to identify new transiting systems, emphasizing small planets (1-4 REarth) near the Habitable Zones of nearby M stars. By observing ~1800  sources per field in Campaigns 4 and 5 we anticipate being able to find ~45 planets orbiting stars with  spectral types from M0-M6. An emphasis is placed on rapid follow-up to ensure timely validation and characterization to support early observations with JWST.

# Targets requested by this program that have been observed (1232)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
211379249, 131.807192, 11.309623, 15.115, GO5006_LC|GO5097_LC|GO5011_LC
211381169, 129.678788, 11.341732, 17.201, GO5011_LC
211381872, 129.542663, 11.352941, 14.36, GO5007_LC|GO5020_LC|GO5060_LC|GO5011_LC
211382023, 128.978938, 11.355577, 17.911, GO5011_LC
211382732, 126.933892, 11.367483, 12.872, GO5006_LC|GO5020_LC|GO5029_LC|GO5060_LC|GO5011_LC
211383783, 126.650714, 11.384914, 15.78, GO5006_LC|GO5097_LC|GO5054_LC|GO5011_LC
211384926, 128.985451, 11.402109, 16.475, GO5097_LC|GO5011_LC
211384984, 132.236626, 11.403042, 15.279, GO5006_LC|GO5011_LC
211385897, 127.267145, 11.418134, 11.67, GO5006_LC|GO5007_LC|GO5020_LC|GO5029_LC|GO5081_LC|GO4104_LC|GO4106_LC|GO5060_LC|GO5011_LC|GO4109_LC
211386132, 132.403157, 11.421306, 16.395, GO5011_LC
211386270, 132.401545, 11.423432, 16.585, GO5011_LC
211387332, 129.919026, 11.44045, 14.495, GO5006_LC|GO5020_LC|GO5097_LC|GO5060_LC|GO5011_LC
211388587, 130.947143, 11.460684, 16.151, GO5011_LC
211388799, 133.959686, 11.464034, 15.18, GO5006_LC|GO5097_LC|GO5011_LC
211388827, 132.3997, 11.464599, 15.23, GO5097_LC|GO5011_LC|GO5006_LC
211389211, 126.23189, 11.470136, 15.321, GO5006_LC|GO5097_LC|GO5011_LC
211389268, 132.299407, 11.471088, 15.403, GO5006_LC|GO5097_LC|GO5060_LC|GO5011_LC
211389346, 129.931945, 11.472235, 14.229, GO5006_LC|GO5020_LC|GO5097_LC|GO5011_LC
211389565, 130.884719, 11.475897, 16.282, GO5011_LC
211391815, 132.749099, 11.513723, 14.57, GO5006_LC|GO5020_LC|GO5097_LC|GO5011_LC
211392649, 129.72864, 11.527282, 17.023, GO5006_LC|GO5011_LC
211392806, 126.989419, 11.530014, 16.81, GO5011_LC
211392983, 132.381632, 11.532741, 15.64, GO5006_LC|GO5011_LC
211393678, 127.989662, 11.543982, 14.751, GO5020_LC|GO5097_LC|GO5060_LC|GO5011_LC
211393897, 133.722807, 11.547411, 15.808, GO5097_LC|GO5011_LC|GO5006_LC
211394152, 130.647907, 11.551612, 15.883, GO5097_LC|GO5011_LC|GO5006_LC
211395063, 133.584119, 11.565508, 15.239, GO5011_LC
211395279, 129.144612, 11.568803, 15.174, GO5006_LC|GO5011_LC
211395648, 131.989441, 11.574822, 16.927, GO5006_LC|GO5011_LC
211399555, 131.117582, 11.633681, 14.893, GO5097_LC|GO5006_LC|GO5011_LC
211400379, 130.210167, 11.64609, 16.136, GO5006_LC|GO5011_LC
211400515, 129.939903, 11.648102, 18.265, GO5011_LC
211400665, 133.661221, 11.650397, 16.014, GO5006_LC|GO5097_LC|GO5011_LC
211401871, 126.10329, 11.66893, 15.2, GO5006_LC|GO5060_LC|GO5054_LC|GO5011_LC
211402150, 130.84193, 11.673545, 15.075, GO5011_LC
211402588, 131.922182, 11.681003, 17.563, GO5011_LC
211402904, 133.071012, 11.685844, 14.719, GO5006_LC|GO5048_LC|GO5097_LC|GO5011_LC
211402999, 129.844374, 11.687288, 15.179, GO5006_LC|GO5011_LC
211403326, 133.549176, 11.692034, 17.093, GO5011_LC
211403836, 132.21191, 11.700574, 17.667, GO5011_LC
211403992, 132.210168, 11.702938, 14.542, GO5007_LC|GO5020_LC|GO5060_LC|GO5011_LC
211404088, 133.534071, 11.704476, 15.634, GO5006_LC|GO5020_LC|GO5097_LC|GO5011_LC
211404816, 127.709373, 11.715345, 16.814, GO5011_LC
211405049, 129.724604, 11.718542, 14.876, GO5006_LC|GO5007_LC|GO5097_LC|GO5011_LC
211405261, 130.631618, 11.721682, 16.296, GO5006_LC|GO5097_LC|GO5011_LC
211405788, 129.808435, 11.729821, 14.55, GO5020_LC|GO5054_LC|GO5011_LC|GO5006_LC
211406567, 126.587477, 11.741038, 16.309, GO5006_LC|GO5011_LC
211406646, 133.898513, 11.742536, 15.13, GO5011_LC
211406723, 128.312123, 11.743642, 14.801, GO5006_LC|GO5060_LC|GO5011_LC
211406802, 126.670492, 11.744845, 14.702, GO5020_LC|GO5011_LC|GO5054_LC
211406948, 126.799039, 11.747295, 15.538, GO5011_LC|GO5006_LC
211407372, 126.162975, 11.753806, 14.411, GO5006_LC|GO5020_LC|GO5060_LC|GO5011_LC
211408887, 129.502059, 11.776405, 16.004, GO5006_LC|GO5097_LC|GO5011_LC
211409720, 132.259375, 11.788828, 16.904, GO5011_LC
211410200, 131.172964, 11.7955, 14.844, GO5006_LC|GO5097_LC|GO5011_LC
211410771, 130.041072, 11.803772, 13.813, GO5006_LC|GO5020_LC|GO5097_LC|GO5060_LC|GO5011_LC
211410892, 128.932789, 11.805563, 14.253, GO5020_LC|GO5006_LC|GO5011_LC
211411197, 127.419211, 11.809992, 16.785, GO5011_LC
211411786, 129.791391, 11.818369, 14.574, GO5020_LC|GO5006_LC|GO5054_LC|GO5011_LC
211411789, 129.483461, 11.818433, 15.096, GO5006_LC|GO5060_LC|GO5011_LC|GO5054_LC
211411955, 129.458569, 11.820742, 14.847, GO5060_LC|GO5054_LC|GO5011_LC
211412155, 127.758368, 11.82377, 15.055, GO5060_LC|GO5011_LC
211412221, 133.349534, 11.824831, 13.441, GO5006_LC|GO5020_LC|GO5060_LC|GO5011_LC
211412247, 126.382255, 11.825264, 14.462, GO5006_LC|GO5020_LC|GO5060_LC|GO5054_LC|GO5011_LC
211412257, 132.54874, 11.825376, 16.43, GO5006_LC|GO5048_LC|GO5011_LC
211412403, 127.401307, 11.827605, 16.357, GO5006_LC|GO5097_LC|GO5011_LC
211414043, 127.189527, 11.852807, 13.907, GO5020_LC|GO5011_LC
211414675, 126.859582, 11.862344, 15.248, GO5006_LC|GO5020_LC|GO5097_LC|GO5011_LC
211414984, 130.865947, 11.866923, 16.516, GO5006_LC|GO5097_LC|GO5011_LC
211416307, 128.28773, 11.886589, 16.957, GO5011_LC
211416911, 126.960407, 11.89538, 14.487, GO5020_LC|GO5097_LC|GO5011_LC|GO5006_LC
211417315, 132.135996, 11.90169, 15.549, GO5097_LC|GO5006_LC|GO5011_LC
211418016, 129.76603, 11.911908, 11.739, GO5007_LC|GO5020_LC|GO5029_LC|GO5033_LC|GO5046_LC|GO4104_LC|GO4106_LC|GO5060_LC|GO5011_LC
