# Summary of K2 Program GO5018

Title: PICK2: Planets In Clusters with K2

PI: Cochran, William D. (The University of Texas at Austin)
CoIs: Endl, Michael; Rauer, Heike; Hatzes, Artie; Lee, Byeong-Cheol; Johnson, Marshall C; Yong, David

We propose to obtain high precision K2 photometry of the members of four open stellar clusters to be observed fields 4 and 5 in order to search for young, newly formed planets.  Open clusters provide a homogeneous sample of stars in which the major independent variable is the stellar mass.  The different ages of the clusters will help us to understand the early dynamical evolution of planetary systems.  We have assembled a large, diverse and highly experienced international team.  We will search the light curves for planetary transit signatures. We will conduct extensive followup observations including ground-based photometry, high precision RV measurement, and high resolution optical and near-IR spectroscopy in order to confirm the planetary candidates. We will perform detailed spectral analysis in order to derive stellar parameters and chemical abundances, and will perform Doppler tomographic analysis of rapidly rotating planetary candidates.  These results will provide important new constraints on the physics of planetary system formation and early dynamical evolution.  We will address the Kepler mission goals of obtaining an inventory of the diversity of planetary systems around sun-like stars.  We will also obtain data very complementary to the goals of the TESS program, and help guide planetary system science for JWST studies.

# Targets requested by this program that have been observed (919)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
211380313, 133.068999, 11.327279, 9.766, GO5018_LC|GO5020_LC|GO5031_LC|GO5104_LC
211392837, 133.045694, 11.530332, 10.642, GO5018_LC|GO5020_LC|GO5031_LC|GO5104_LC
211397333, 132.892435, 11.599911, 14.874, GO5018_LC|GO5048_LC
211397558, 132.883994, 11.603473, 13.272, GO5007_LC|GO5018_LC|GO5048_LC
211398149, 132.726239, 11.612308, 15.146, GO5018_LC|GO5048_LC
211398314, 132.780912, 11.614871, 13.42, GO5007_LC|GO5018_LC|GO5048_LC
211398530, 132.806597, 11.618138, 15.59, GO5018_LC|GO5048_LC
211398747, 132.595827, 11.621687, 14.997, GO5018_LC|GO5031_LC|GO5048_LC
211399087, 132.649178, 11.626759, 15.165, GO5018_LC|GO5048_LC
211399481, 132.893529, 11.63261, 13.16, GO5007_LC|GO5018_LC|GO5048_LC
211399695, 132.620892, 11.635911, 13.816, GO5007_LC|GO5018_LC|GO5031_LC|GO5048_LC
211399819, 132.855062, 11.63783, 15.153, GO5018_LC|GO5048_LC
211400215, 132.860339, 11.643578, 13.68, GO5007_LC|GO5018_LC|GO5048_LC
211400500, 132.84945, 11.647812, 14.501, GO5018_LC|GO5019_LC|GO5048_LC
211400616, 132.937205, 11.6497, 13.534, GO5007_LC|GO5018_LC|GO5048_LC
211400767, 133.087277, 11.651773, 13.129, GO5007_LC|GO5018_LC|GO5048_LC
211400944, 132.846625, 11.65412, 14.846, GO5018_LC|GO5048_LC
211401338, 132.823319, 11.66001, 13.564, GO5007_LC|GO5018_LC|GO5048_LC
211401366, 132.805777, 11.660429, 15.662, GO5018_LC|GO5048_LC
211401403, 132.836633, 11.661146, 13.672, GO5007_LC|GO5018_LC|GO5048_LC
211401706, 132.600752, 11.6662, 13.944, GO5018_LC|GO5020_LC|GO5048_LC
211403356, 132.486754, 11.692479, 9.72, GO5018_LC|GO5020_LC|GO5031_LC
211403974, 132.618051, 11.702723, 12.983, GO5007_LC|GO5018_LC|GO5029_LC|GO5031_LC|GO5033_LC|GO5048_LC
211404848, 132.611787, 11.715776, 14.584, GO5018_LC|GO5048_LC
211405388, 133.07787, 11.723501, 12.629, GO5007_LC|GO5018_LC|GO5029_LC|GO5031_LC|GO5033_LC|GO5048_LC
211406539, 133.078929, 11.740652, 16.408, GO5018_LC
211406540, 133.077388, 11.74066, 10.204, GO5018_LC|GO5020_LC|GO5031_LC|GO5048_LC|GO5104_LC
211409099, 133.091003, 11.779632, 13.68, GO5007_LC|GO5018_LC|GO5031_LC|GO5048_LC
211411112, 132.612448, 11.808697, 13.405, GO5007_LC|GO5018_LC|GO5031_LC|GO5048_LC
211411477, 133.094603, 11.813881, 14.548, GO5018_LC|GO5031_LC|GO5048_LC
211411722, 133.092595, 11.817472, 14.713, GO5018_LC|GO5031_LC|GO5048_LC
211413212, 132.589892, 11.839767, 14.576, GO5018_LC|GO5031_LC|GO5048_LC
211413537, 133.089153, 11.844945, 12.567, GO5007_LC|GO5018_LC|GO5029_LC|GO5031_LC|GO5033_LC
211414329, 132.551269, 11.8568, 8.534, GO5018_LC|GO5020_LC|GO5031_LC|GO5104_LC
211414938, 132.597465, 11.866257, 14.657, GO5018_LC|GO5031_LC|GO5048_LC
211415618, 132.60144, 11.876724, 15.19, GO5018_LC|GO5031_LC|GO5048_LC
211417004, 132.567905, 11.896681, 12.971, GO5007_LC|GO5018_LC|GO5029_LC|GO5031_LC|GO5033_LC|GO5048_LC
211417658, 132.576613, 11.906684, 14.901, GO5018_LC|GO5031_LC|GO5048_LC
211417735, 132.571969, 11.907725, 15.288, GO5018_LC|GO5048_LC
211418092, 132.568833, 11.912931, 15.127, GO5018_LC|GO5048_LC
211418176, 132.616886, 11.914045, 14.223, GO5007_LC|GO5018_LC|GO5019_LC|GO5031_LC|GO5048_LC
211422418, 132.58814, 11.976902, 15.322, GO5018_LC|GO5031_LC|GO5048_LC
211422715, 132.63146, 11.981334, 15.387, GO5018_LC|GO5048_LC
211423010, 132.589044, 11.9858, 14.91, GO5018_LC|GO5031_LC|GO5048_LC
211425084, 133.084159, 12.016493, 15.809, GO5018_LC|GO5048_LC
211425896, 133.02528, 12.029361, 15.718, GO5018_LC|GO5048_LC
211425924, 133.050414, 12.029698, 15.338, GO5018_LC|GO5048_LC
211427210, 133.052945, 12.049781, 14.533, GO5018_LC|GO5020_LC|GO5048_LC
