# Summary of K2 Program GO5022

Title: K2 Exoplanet Ecliptic Survey - KEES

PI: Burke, Christopher J (SETI Institute)
CoIs: Shah, Yash S; Mullally, Fergal; Huber, Daniel

For billions of years the Earth's shadow against the Sun has swept a path through space revealing our existence to our stellar neighbors within 0.26 degrees of the ecliptic.  We propose to survey all GKM dwarf stars within 0.26 degrees of the ecliptic using the K2 spacecraft in order to identify transiting planetary systems that can mutually discover Earth via transit observations performed by another civilization.  This survey will significantly expand the number of ecliptic aligned planets known from the two Jupiter-class planets (the hot-Jupiter, WASP-47b and the direct imaging, 5 Myr old 1RXS-J160929b) into the regime of Super-Earth size planets.  We will employ our extensive background in the analysis of Kepler data in order to search and provide a catalog of planet candidates from the K2 data within the ecliptic using tools and techniques developed for Kepler.  The primary goal is to generate a catalog of planet candidates for prioritization of SETI searches.  Secondary goals are to provide a well vetted sample of planet candidates to the community to follow up for asteroseismic or spectroscopic stellar characterization and radial velocity confirmation.

# Targets requested by this program that have been observed (839)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
211778930, 134.28317, 17.017911, 13.886, GO5007_LC|GO5022_LC
211780074, 134.336718, 17.033751, 14.088, GO5007_LC|GO5022_LC|GO5060_LC
211781374, 134.18495, 17.05186, 11.543, GO5007_LC|GO5029_LC|GO5033_LC|GO4104_LC|GO5022_LC|GO5060_LC
211781539, 134.226756, 17.054095, 14.809, GO4101_LC|GO5022_LC
211781908, 134.130096, 17.059452, 14.544, GO5022_LC
211781998, 133.989594, 17.060588, 14.449, GO5007_LC|GO5020_LC|GO5022_LC
211782127, 134.170281, 17.062477, 13.951, GO5022_LC
211782861, 134.047407, 17.073266, 13.366, GO5007_LC|GO5022_LC
211782936, 134.114781, 17.074252, 13.126, GO5007_LC|GO5022_LC
211784201, 133.927797, 17.091617, 14.395, GO5022_LC|GO5060_LC
211787577, 134.031617, 17.139156, 13.351, GO5007_LC|GO5022_LC
211788355, 134.261693, 17.149694, 14.39, GO5020_LC|GO5022_LC
211788533, 134.149886, 17.152566, 13.02, GO5007_LC|GO5022_LC
211788742, 133.792708, 17.155587, 14.168, GO5022_LC
