# Summary of K2 Program GO5052

Title: K2: Expanding the Exoplanet Legacy of Kepler

PI: Buzasi, Derek L (Florida Gulf Coast University)
CoIs: Preston, Heather

Although the Kepler mission has revolutionized exoplanet science, the success of transit surveys cannot fully replace ground-based spectroscopic radial velocity observations. In particular, radial velocity surveys such as those executed by HARPS and HIRES yield the planetary mass, assuming the host star is well-characterized. However, radial velocity surveys are inefficient, as they require relatively large amounts of large telescope time, and instruments observe only one star at a time. Proper target selection is therefore critical to maximize the probability of success. Typically search programs focus on relatively bright (V < 12) mid-G to early M dwarfs, excluding known active stars and spectroscopic binaries. This proposal takes advantage of the capabilities of K2 to greatly improve target selection and the resulting exoplanet detection rate, through the use of a technique which allows us to preferentially select systems with large values of sini based on photometry alone.  We propose to observe all lower main sequence stars (Teff = 2700-6500 K ) with V < 12 in both K2 fields 4 and 5. This amounts to approximately 4000 targets in each field. Our expected scientific outcomes are: 1. Identification of the best targets in these K2 fields for future planet searches.
2. Improved data on stellar rotation and activity as functions of metallicity and other fundamental parameters for our target stars. The use of different fields than the original Kepler FOV will enable sampling new portions of the stellar population of the Galaxy.
3. Detection of short-period (P < 20 d ) planets around our targets.

# Targets requested by this program that have been observed (128)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
211307091, 126.537599, 9.994316, 11.658, GO5007_LC|GO5029_LC|GO5052_LC|GO5104_LC|GO5060_LC
211316539, 127.027776, 10.18431, 10.403, GO5007_LC|GO5052_LC|GO5104_LC|GO5060_LC
211318502, 129.774316, 10.223779, 11.751, GO5007_LC|GO5033_LC|GO5052_LC|GO5104_LC|GO5060_LC
211319549, 129.829297, 10.245497, 11.064, GO5007_LC|GO5029_LC|GO5033_LC|GO5052_LC|GO5104_LC|GO5060_LC
211323244, 131.975865, 10.318449, 11.551, GO5007_LC|GO5029_LC|GO5033_LC|GO5052_LC|GO5104_LC|GO5060_LC
211327452, 130.332191, 10.397968, 11.119, GO5020_LC|GO5052_LC|GO5104_LC
211330837, 127.931721, 10.461911, 10.535, GO5007_LC|GO5029_LC|GO5033_LC|GO5052_LC|GO5104_LC|GO5060_LC
211330878, 127.887898, 10.462561, 10.488, GO5020_LC|GO5052_LC|GO5104_LC
211333425, 128.933608, 10.510452, 11.848, GO5007_LC|GO5029_LC|GO5033_LC|GO5052_LC|GO5104_LC|GO5060_LC
211336235, 126.020832, 10.563524, 11.789, GO5007_LC|GO5029_LC|GO5052_LC|GO5104_LC
