# Summary of K2 Program GO5082

Title: Searching for planets in the SuperWASP noise

PI: Brown, David J A (University of Warwick)
CoIs: Gomez Maqueo Chew, Yilen; Osborn, Hugh P; Armstrong, David; McCormac, James J; Pollacco, Don L

We propose that K2 observe a large sample of over 500 bright, solar-type stars using long cadence mode, in order to search for the telltale signatures of transits by small, potentially rocky planets. Our proposed targets have previously been observed by the ground-based SuperWASP project; no evidence was found for close-in gas giant planets orbiting any of the stars.

Small companions to close-in gas giants are rare, and solar-type stars are known to host large numbers of small planets. Therefore a search around stars that have already been vetted for the presence of close-in gas giants has a high probability of detecting planets small, potentially rocky planets.

The sensitivity of K2 is orders of magnitude better than that of SuperWASP. As such it will be able to find the signatures of small planets that are hiding in the noise on the SuperWASP measurements. Moreover WASP target stars are bright, and thus radial velocity follow-up to confirm the planets and measure their masses is feasible.

# Targets requested by this program that have been observed (58)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
211307745, 127.440801, 10.006903, 12.999, GO5007_LC|GO5029_LC|GO5101_LC|GO5060_LC|GO5082_LC
211312522, 125.966896, 10.103811, 12.684, GO5007_LC|GO5029_LC|GO5082_LC
211317152, 126.059515, 10.196315, 12.119, GO5007_LC|GO5029_LC|GO5082_LC
211318687, 126.227811, 10.227356, 10.631, GO5007_LC|GO5029_LC|GO5104_LC|GO5060_LC|GO5082_LC
211320890, 126.379963, 10.270899, 11.296, GO5007_LC|GO5029_LC|GO5104_LC|GO5060_LC|GO5082_LC
211324701, 126.980877, 10.346056, 12.453, GO5007_LC|GO5020_LC|GO5029_LC|GO5106_LC|GO5060_LC|GO5082_LC
211327855, 127.231507, 10.405143, 13.297, GO5007_LC|GO5020_LC|GO5082_LC
211331032, 127.692762, 10.465445, 14.026, GO5007_LC|GO5020_LC|GO5082_LC
211331892, 128.051659, 10.481311, 13.055, GO5007_LC|GO5020_LC|GO5082_LC
211344701, 126.872633, 10.717725, 12.324, GO5007_LC|GO5029_LC|GO5060_LC|GO5082_LC
211349978, 127.371997, 10.813856, 13.473, GO5007_LC|GO5020_LC|GO5060_LC|GO5082_LC
211545500, 135.003792, 13.779236, 12.846, GO5007_LC|GO5029_LC|GO5033_LC|GO5060_LC|GO5082_LC
211555232, 135.776373, 13.914521, 10.061, GO5007_LC|GO5029_LC|GO5033_LC|GO5052_LC|GO5104_LC|GO5082_LC
211559240, 136.106501, 13.971107, 11.996, GO5007_LC|GO5020_LC|GO5029_LC|GO5033_LC|GO5089_LC|GO5104_LC|GO5082_LC
211561975, 123.906612, 14.010028, 13.516, GO5007_LC|GO5060_LC|GO5082_LC
211562400, 123.728311, 14.015752, 13.587, GO5020_LC|GO5082_LC
211564455, 135.356751, 14.045308, 12.414, GO5007_LC|GO5029_LC|GO5033_LC|GO5060_LC|GO5082_LC
211564757, 135.609723, 14.049766, 12.327, GO5007_LC|GO5029_LC|GO5033_LC|GO5060_LC|GO5082_LC
211565412, 135.696957, 14.059442, 12.806, GO5007_LC|GO5029_LC|GO5033_LC|GO5060_LC|GO5082_LC
211565708, 124.91165, 14.063506, 12.539, GO5007_LC|GO5029_LC|GO5082_LC
