# Summary of K2 Program GO5106

Title: Looking for Very Short-Period Planets with the K2 Mission

PI: Jackson, Brian K (Boise State University)
CoIs: Adams, Elisabeth Rose; Endl, Michael

Recent discoveries of nearly one hundred Earth-size and smaller exoplanets and candidates with orbital periods less than 1 day pose the severest challenges yet to theories of planetary origins, but understanding their origins may elucidate key processes in formation and evolution. Given their short orbital periods, building the requisite signal-to-noise to detect the candidates by stacking multiple transits requires a much shorter observational baseline than for longer-period planets, and the transits are likely more robust than those of longer-period planets. Likewise, ground-based follow-up to study the host stars spectrally and estimate the planets' masses via radial-velocity measurements require only modest resources. In this proposal, we briefly describe our plans for using K2 photometry to find more very short-period planets orbiting Sun-like stars and to follow them up with ground-based spectral observations. We request data for 999 targets, split between campaigns 4 and 5, making this a ``small'' proposal, and we will focus especially on involving students in the research. Given the estimated frequencies of very short-period planets, we expect to find between 5 and 10 such objects -- a small enough number that a dedicated ground-based follow-up program is imminently feasible but still scientifically compelling.

# Targets requested by this program that have been observed (549)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
211301433, 133.902227, 9.874564, 12.034, GO5007_LC|GO5020_LC|GO5029_LC|GO5033_LC|GO4106_LC|GO5060_LC
211307408, 133.010655, 10.000233, 12.398, GO5007_LC|GO5020_LC|GO5029_LC|GO5033_LC|GO4106_LC
211309192, 126.961732, 10.035521, 12.172, GO5007_LC|GO5020_LC|GO5029_LC|GO4106_LC|GO5060_LC
211309270, 130.019933, 10.037191, 12.287, GO5007_LC|GO5029_LC|GO5033_LC|GO4106_LC|GO5060_LC
211310148, 130.373596, 10.054744, 11.141, GO5020_LC|GO4104_LC|GO4106_LC|GO5083_LC
211312003, 130.380009, 10.093028, 11.391, GO5007_LC|GO5020_LC|GO5029_LC|GO5033_LC|GO4104_LC|GO4106_LC|GO5060_LC
211312243, 127.551994, 10.097663, 12.492, GO5007_LC|GO5020_LC|GO5029_LC|GO5033_LC|GO4106_LC|GO5060_LC
211313944, 126.113656, 10.132613, 11.552, GO5007_LC|GO5029_LC|GO4104_LC|GO4106_LC|GO5060_LC
211315907, 132.228758, 10.171737, 12.479, GO5007_LC|GO5029_LC|GO5033_LC|GO4106_LC|GO5060_LC
211316605, 126.255742, 10.185484, 12.611, GO5007_LC|GO5020_LC|GO5029_LC|GO4106_LC|GO5060_LC
211317457, 131.866933, 10.203145, 11.991, GO5007_LC|GO5029_LC|GO5033_LC|GO4104_LC|GO4106_LC|GO5060_LC
211318537, 129.023206, 10.224462, 12.557, GO5007_LC|GO5029_LC|GO5033_LC|GO4106_LC|GO5060_LC
211319617, 126.463933, 10.246968, 12.393, GO5007_LC|GO5029_LC|GO4106_LC|GO5060_LC
211320565, 126.452141, 10.264745, 12.198, GO5007_LC|GO5020_LC|GO5029_LC|GO4106_LC|GO5060_LC
211323255, 127.367306, 10.318639, 12.609, GO5007_LC|GO5029_LC|GO4106_LC|GO5060_LC
211324134, 132.161769, 10.335582, 12.388, GO5007_LC|GO5020_LC|GO5029_LC|GO5033_LC|GO4106_LC|GO5060_LC
211324701, 126.980877, 10.346056, 12.453, GO5007_LC|GO5020_LC|GO5029_LC|GO4106_LC|GO5060_LC|GO5082_LC
211326288, 127.029523, 10.376131, 11.891, GO5006_LC|GO5007_LC|GO5020_LC|GO5029_LC|GO4104_LC|GO4106_LC|GO5060_LC
211326502, 133.753352, 10.380154, 12.606, GO5007_LC|GO5020_LC|GO5029_LC|GO5033_LC|GO4106_LC|GO5060_LC
211327582, 128.333742, 10.400664, 12.386, GO5007_LC|GO5029_LC|GO5033_LC|GO4106_LC|GO5060_LC
211328337, 128.976675, 10.414083, 12.502, GO5007_LC|GO5020_LC|GO5029_LC|GO5033_LC|GO4106_LC|GO5060_LC
211328600, 132.135536, 10.419602, 12.568, GO5007_LC|GO5029_LC|GO5033_LC|GO4106_LC|GO5060_LC
211329428, 126.821176, 10.434979, 12.612, GO5020_LC|GO4106_LC|GO5060_LC
211337069, 133.223739, 10.578562, 11.761, GO5007_LC|GO5020_LC|GO5029_LC|GO5033_LC|GO4104_LC|GO4106_LC|GO5060_LC
211337160, 133.605325, 10.580164, 11.594, GO5007_LC|GO5020_LC|GO5029_LC|GO5033_LC|GO4104_LC|GO4106_LC|GO5060_LC
211339633, 127.317684, 10.624322, 12.551, GO5007_LC|GO5029_LC|GO4106_LC|GO5060_LC
211340125, 129.108919, 10.633661, 12.657, GO5007_LC|GO5029_LC|GO5033_LC|GO4106_LC|GO5060_LC
211344306, 132.583197, 10.710653, 12.576, GO5007_LC|GO5033_LC|GO4106_LC|GO5060_LC
211348110, 126.015804, 10.779993, 11.252, GO5007_LC|GO5029_LC|GO4104_LC|GO4106_LC
211350232, 133.318734, 10.818911, 12.683, GO5007_LC|GO5029_LC|GO5033_LC|GO4106_LC|GO5060_LC
