# Summary of K2 Program GO6016

Title: Statistics of Variability in Main-Sequence Stars of Kepler 2 Fields 6 and 7

PI: Guzik, Joyce Ann (Los Alamos National Laboratory)
CoIs: Bradley, Paul A; Jackiewicz, Jason; Kinemuchi, Karen; Nelson, Nicholas; Kosak, Katie

We propose to observe with the Kepler spacecraft in long-cadence mode about one thousand main-sequence stars in each of K2 Fields 6 and 7.  Our goal is to discover new pulsating variables, as well as eclipsing binaries and magnetically active stars with variability produced by rotating spots.  We will use colors and magnitudes listed in the EPIC catalog to select main-sequence stars with Kepler magnitude between approximately 8 and 12.   Our selection of stars in this magnitude range will minimize the number of pixels required, yet the stars will be bright enough for ground-based ground-based follow-up observations including high-resolution spectroscopic observations.

Observations by the Kepler spacecraft have turned out to be ideal for discovery and characterization of pulsations of main-sequence stars that pulsate in radial and non-radial pressure and gravity modes.  The long time series and high precision of the photometry have enabled determining the frequencies and amplitudes of the modes with periods of order a day (g modes) to a few hours (p and mixed modes) using long-cadence data (30-min integrations per data point).    Analysis of the Kepler data has raised a number of questions about the possible pulsation driving mechanisms for gamma Doradus g-mode and delta Scuti p-mode pulsations, and revealed a surprising number of hybrid star candidates that show pulsations in both types of modes.  The Kepler data has also been used to study slowly pulsating B (SPB) stars (g-mode pulsators), beta Cephei stars (p-mode pulsators) and their hybrids to test stellar pulsation theory in the presumably simpler case for these hotter stars with smaller envelope convection zones.  The analysis has also identified a number of apparently non-pulsating stars that lie within the pulsation instability regions established by theory that need to be explained.  We expect to increase the numbers of these types of stars available for detailed study, especially for candidates brighter than those found in the original Kepler field.   We also expect to discover additional eclipsing binaries and magnetically active stars.  

Our sample selection will not be biased toward known pulsators, and will include enough stars to derive statistics of the occurrence of variability.  We will compare our results with similar surveys of stars in the original Kepler Cygnus-Lyra field, and with surveys of stars in young open clusters for K2 Fields 0-5.   We will also produce a catalog of all of the candidate variables, eclipsing binaries, and magnetically active stars that we find.

# Targets requested by this program that have been observed (996)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212268120, 207.6888428, -18.5656738, 14.215, GO6016_LC
212268198, 207.6858368, -18.5629692, 13.796, GO6016_LC|GO6030_LC
212270813, 206.9646912, -18.4675179, 13.55, GO6016_LC|GO6030_LC
212271639, 208.0127716, -18.4390507, 14.546, GO6016_LC
212271690, 208.0159454, -18.437109, 14.95, GO6016_LC
212272104, 207.6363525, -18.4220791, 14.915, GO6016_LC
212272431, 207.1118927, -18.410675, 14.331, GO6016_LC
212275188, 207.9449158, -18.3137264, 12.878, GO6016_LC|GO6030_LC
212276430, 206.4284363, -18.2718067, 14.45, GO6016_LC|GO6032_LC
212279315, 207.137146, -18.1746311, 14.754, GO6016_LC
212279548, 204.8926544, -18.166214, 14.436, GO6016_LC|GO6032_LC
212279637, 204.8894196, -18.1633663, 13.713, GO6016_LC|GO6032_LC
212280539, 208.1147614, -18.1337395, 14.065, GO6016_LC|GO6032_LC
212280974, 204.0401306, -18.1179447, 11.953, GO6016_LC|GO6040_LC
212282981, 204.559494, -18.0501537, 14.053, GO6016_LC|GO6032_LC
212283243, 205.0919952, -18.0423298, 14.715, GO6016_LC
212283278, 205.0887604, -18.0412807, 14.613, GO6016_LC
212283840, 205.9042664, -18.0237427, 13.598, GO6016_LC|GO6030_LC|GO6032_LC
212283985, 207.1850281, -18.0186119, 14.572, GO6016_LC|GO6032_LC
212285567, 203.3738098, -17.9696007, 14.636, GO6008_LC|GO6016_LC|GO6032_LC
212285846, 207.9587402, -17.9608479, 14.855, GO6016_LC
212286224, 207.9774933, -17.9504757, 14.423, GO6016_LC
212286667, 206.1304474, -17.9370022, 7.666, GO6016_LC|GO6019_LC|GO6030_LC
212286832, 202.8164368, -17.9316463, 14.88, GO6016_LC
212286965, 207.7444763, -17.9279804, 12.238, GO6016_LC|GO6030_LC
