# Summary of K2 Program GO6030

Title: The Masses and Prevalence of Small Planets with K2 - Cycle 2

PI: Howard, Andrew William (University of Hawaii)
CoIs: Petigura, Erik; Sanchis Ojeda, Roberto; Crossfield, Ian JM; Stassun, Keivan Guadalupe; Winn, Joshua N.; Pepper, Joshua; Paegert, Martin

Our team is searching for transiting planets orbiting FGK dwarf stars in K2 fields.  The first of our two objectives is to measure variations in the occurrence rate of planets as a function of sky position, sampling different star formation environments and stellar densities. We will learn whether our detailed occurrence measurements from the prime Kepler Mission (Howard et al. 2012, Petigura et al. 2013, Sanchis-Ojeda et al. 2014) can be applied directly to the solar neighborhood. We already see differences between the populations of planets orbiting nearby stars and stars in the prime Kepler Field.  For example, hot Jupiters are 2.5 times less abundant in the Kepler Field (Howard et al. 2012).  We have to wonder if the occurrence of Earth-size planets in the Habitable Zone (Petigura et al. 2013) is similarly reduced relative to nearby stars. With this proposal we will measure the occurrence of detectable, short-period super-Earths and Neptune-size planets (~2-3 Earth-radii). Our second goal is to discover small planets suitable for high-precision Doppler spectroscopy with Keck-HIRES and other instruments.  Measuring the planets masses will significantly refine our knowledge of the variation of planet density, composition, and atmospheric extent with planet size.  This Cycle 2 proposal for the C6 and C7 fields is part of our larger effort covering all K2 fields and is a merger of the Cycle 1 programs by A. Howard/E. Petigura and J. Winn/R. Sanchis-Ojeda.

We select stars from the provisional TESS Dwarf Star Catalog (TDC), which combines 2MASS, Tycho-2, UCAC4, and other catalogs.  Giant stars were cleansed using reduced proper motion cuts. request approximately 5000 stars in a magnitude-limited sample with Kp < 13 and approximately 3000 stars with Kp > 13 but excellent planet detectability (mostly late G and K dwarfs).  This Cycle 2 request for Campaigns 6 and 7 is similar to our previous K2 Guest Observer proposals in C0 (R. Sanchis-Ojeda - 3641/7758 selected), C1 (R. Sanchis-Ojeda - 3755/7000 selected), C2 (E. Petigura - 4115/5311 selected), C3 (E. Petigura; 3859/5875 selected), C4 (A. Howard - 5195 proposed; J. Winn - 16,700 proposed), C5 (A. Howard - 4471 proposed; J. Winn - 15,600 proposed) constitute the primary sample of the bright FGK dwarf stars observed by K2.

We are searching for transit signals in the K2 photometry using the well-vetted TERRA pipeline (Petigura & Marcy 2012, Petigura et al. 2013). We will compute the occurrence rates of small, close-in planets using injection-and-recovery tests to account for the sensitivity of TERRA and will report the field-to-field variability and overall rates of planet occurrence. Assuming a precision of 80 ppm over 6.5 hours, a 2 Earth-radii planet with P = 20-day will be detectable at SNR = 8 during a single 75-day K2 campaign.  Based on the prime mission occurrence statistics, we expect to find 3.1 planets of size 2-3 Earth-radii with P < 20 days per 1,000 stars observed. A sample of 5,000 stars is expected to yield ~15 planets of size 2-3 Earth-radii with orbital periods less than 20 days, providing an occurrence measurement with 25% fractional uncertainty. With 5,000 stars, we will be sensitive to factor-of-two variations in the occurrence rate of 2-3 Earth-radii planets at 4-sigma significance.

In addition, we will identify the planets most amenable to Doppler mass measurements and observe them using Keck-HIRES and other facilities. These mass measurements will focus on detectable small planets -- short-period super-Earths and Neptunes and ultrashort-period Earths. Our team demonstrated technical expertise in all of the above areas during the prime Kepler mission.

This proposal directly addresses two objectives from the prime Kepler mission: measuring planet occurrence rates and characterizing small planets with Doppler mass measurements.

# Targets requested by this program that have been observed (9757)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212267079, 208.061676, -18.6034336, 13.307, GO6030_LC|GO6032_LC
212268198, 207.6858368, -18.5629692, 13.796, GO6016_LC|GO6030_LC
212269698, 207.9120331, -18.5090446, 13.664, GO6030_LC
212269706, 207.9297791, -18.5088615, 12.047, GO6028_LC|GO6030_LC|GO6069_LC
212269730, 207.9634705, -18.5082226, 13.376, GO6030_LC
212270340, 207.0595856, -18.4848442, 11.014, GO6028_LC|GO6030_LC|GO6069_LC|GO6084_LC|GO6086_LC|GO6087_LC
212270430, 208.0600891, -18.4817257, 13.964, GO6030_LC
212270573, 206.9658051, -18.4766178, 13.072, GO6030_LC|GO6032_LC|GO6086_LC
212270677, 207.1442871, -18.4730911, 13.633, GO6030_LC|GO6032_LC
212270746, 206.8377533, -18.4704247, 13.533, GO6030_LC|GO6032_LC
212270813, 206.9646912, -18.4675179, 13.55, GO6016_LC|GO6030_LC
212270839, 206.8602142, -18.4666481, 13.372, GO6030_LC|GO6032_LC|GO6086_LC
212270861, 207.9585724, -18.4659672, 11.816, GO6030_LC|GO6087_LC
212270970, 207.7914886, -18.4617271, 13.352, GO6030_LC
212271573, 207.4736328, -18.4409904, 12.433, GO6030_LC|GO6069_LC|GO6086_LC
212271587, 206.7364655, -18.4404583, 11.082, GO6030_LC|GO6069_LC|GO6086_LC
212271691, 206.5461884, -18.4370461, 12.875, GO6030_LC|GO6069_LC
212271775, 207.7086182, -18.4339352, 13.617, GO6030_LC
212271980, 206.8977661, -18.4263058, 11.264, GO6030_LC|GO6069_LC|GO6084_LC|GO6086_LC|GO6087_LC
212272030, 207.7011719, -18.4246616, 13.455, GO6030_LC
212272037, 206.4697571, -18.4245586, 13.345, GO6030_LC
212272120, 207.5522919, -18.4217281, 11.813, GO6030_LC|GO6086_LC
212272379, 207.1157074, -18.4121666, 13.012, GO6030_LC
212272599, 207.9583588, -18.4043732, 13.937, GO6030_LC|GO6032_LC
212272644, 207.1604919, -18.4030647, 13.999, GO6030_LC
212272872, 207.60289, -18.3951416, 12.62, GO6030_LC|GO6069_LC
212273378, 207.3658142, -18.3781395, 13.109, GO6030_LC
212273454, 207.1369934, -18.3754196, 11.964, GO6030_LC
212273572, 207.7771149, -18.3713131, 12.325, GO6030_LC|GO6069_LC|GO6086_LC
212273934, 207.8897705, -18.3571434, 9.045, GO6030_LC|GO6055_LC
212274366, 207.0181274, -18.3426743, 13.621, GO6030_LC
212274426, 206.9114685, -18.3407211, 13.367, GO6030_LC
212274832, 207.7921295, -18.3265114, 12.766, GO6030_LC|GO6069_LC
212275025, 205.9283447, -18.3193302, 12.786, GO6030_LC|GO6069_LC
212275031, 205.7039032, -18.3190823, 13.958, GO6030_LC|GO6032_LC
212275033, 207.9430847, -18.3189754, 13.104, GO6030_LC|GO6032_LC|GO6086_LC
212275087, 207.9970398, -18.3172188, 11.938, GO6028_LC|GO6030_LC|GO6069_LC|GO6086_LC|GO6087_LC
212275188, 207.9449158, -18.3137264, 12.878, GO6016_LC|GO6030_LC
212275195, 207.8135071, -18.3135033, 11.638, GO6030_LC|GO6069_LC
212275224, 207.9465027, -18.3126602, 10.265, GO6030_LC|GO6032_LC|GO6069_LC|GO6086_LC
212275268, 207.4835815, -18.3109779, 13.98, GO6030_LC
212275294, 208.0511475, -18.3100662, 13.389, GO6030_LC|GO6032_LC|GO6086_LC
